element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Sn,2,Sn II,181.1197,181.1197,181.12009,vacuum,14000.0,14000,64000000.0,B+,4251.494,59463.481,5s2.5p,2P*,3/2,5s.5p2,2D,5/2
Sn,2,Sn II,183.1757,183.1757,183.17472,vacuum,11000.0,11000,22000000.0,C+,4251.494,58844.181,5s2.5p,2P*,3/2,5s.5p2,2D,3/2
Sn,2,Sn II,189.9901,189.9901,189.98812,vacuum,7200.0,7200,560000000.0,B+,4251.494,56886.363,5s2.5p,2P*,3/2,5s2.6s,2S,1/2
Sn,1,Sn I,207.30746,207.30746,207.30741,air,3000.0,3000,3600000.0,D,0.000,48222.159,5s2.5p2,3P,0,5s2.5p.7s,3P*,1
Sn,2,Sn II,215.08442,215.08442,215.08451,air,520.0,520,400000.0,D+,4251.494,50730.224,5s2.5p,2P*,3/2,5s.5p2,4P,5/2
Sn,2,Sn II,215.15135,215.15135,215.15136,air,530.0,530,2100000.0,C+,0.00,46464.290,5s2.5p,2P*,1/2,5s.5p2,4P,1/2
Sn,1,Sn I,219.93455,219.93455,219.93456,air,6200.0,6200r,29000000.0,D,1691.806,47145.684,5s2.5p2,3P,1,5s2.5p.5d,1D*,2
Sn,1,Sn I,220.96597,220.96597,220.96595,air,7700.0,7700r,56000000.0,D,3427.673,48669.409,5s2.5p2,3P,2,5s2.5p.5d,3P*,2
Sn,1,Sn I,224.60573,224.60573,224.60563,air,7400.0,7400r,160000000.0,D,0.000,44508.677,5s2.5p2,3P,0,5s2.5p.5d,3D*,1
Sn,2,Sn II,226.60156,226.60156,226.60149,air,260.0,260,430000.0,D+,4251.494,48368.185,5s2.5p,2P*,3/2,5s.5p2,4P,3/2
Sn,1,Sn I,226.89296,226.89296,226.89296,air,7800.0,7800r,120000000.0,D,3427.673,47487.696,5s2.5p2,3P,2,5s2.5p.5d,3D*,3
Sn,1,Sn I,228.66812,228.66812,228.66814,air,4700.0,4700r,31000000.0,D,3427.673,47145.684,5s2.5p2,3P,2,5s2.5p.5d,1D*,2
Sn,1,Sn I,231.72301,231.72301,231.723,air,9800.0,9800r,200000000.0,D,8612.955,51754.671,5s2.5p2,1D,2,5s2.5p.6d,3F*,3
Sn,1,Sn I,233.48124,233.48124,233.4812,air,6300.0,6300r,66000000.0,D,1691.806,44508.677,5s2.5p2,3P,1,5s2.5p.5d,3D*,1
Sn,1,Sn I,235.48499,235.48499,235.485,air,17000.0,17000r,170000000.0,D,1691.806,44144.368,5s2.5p2,3P,1,5s2.5p.5d,3D*,2
Sn,2,Sn II,236.82265,236.82265,236.82265,air,310.0,310,560000.0,C+,4251.494,46464.290,5s2.5p,2P*,3/2,5s.5p2,4P,1/2
Sn,1,Sn I,238.074,238.074,238.07403,air,3000.0,3000,3100000.0,D,1691.806,43682.737,5s2.5p2,3P,1,5s2.5p.5d,3F*,2
