element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Sr,2,Sr II,201.866,201.866,201.8657,air,,,12000000.0,D,23715.19,73237.1,4p6.5p,2P*,1/2,4p6.8s,2S,1/2
Sr,2,Sr II,205.188,205.188,205.1869,air,,,24000000.0,D,24516.65,73237.1,4p6.5p,2P*,3/2,4p6.8s,2S,1/2
Sr,2,Sr II,215.284,215.284,215.285,air,,,236000000.0,C,14555.90,60991.34,4p6.4d,2D,3/2,4p6.4f,2F*,5/2
Sr,2,Sr II,216.5928,216.5928,216.5928,air,,,16800000.0,C,14836.24,60991.34,4p6.4d,2D,5/2,4p6.4f,2F*,5/2
Sr,2,Sr II,216.5989,216.5989,216.5989,air,,,253000000.0,C,14836.24,60990.04,4p6.4d,2D,5/2,4p6.4f,2F*,7/2
Sr,1,Sr I,219.3977,219.3977,219.39814,air,,,256000.0,A',0.000,45565.00,5s2,1S,0,5s.20p,1P*,1
Sr,1,Sr I,219.6214,219.6214,219.62161,air,,,320000.0,B',0.000,45518.64,5s2,1S,0,5s.19p,1P*,1
Sr,1,Sr I,219.8892,219.8892,219.89033,air,,,420000.0,B',0.000,45463.02,5s2,1S,0,5s.18p,1P*,1
Sr,1,Sr I,220.2176,220.2176,220.2182,air,,,500000.0,B',0.000,45395.34,5s2,1S,0,5s.17p,1P*,1
Sr,1,Sr I,220.6239,220.6239,220.62332,air,,,640000.0,B',0.000,45311.99,5s2,1S,0,5s.16p,1P*,1
Sr,1,Sr I,221.131,221.131,221.1317,air,,,850000.0,B',0.000,45207.83,5s2,1S,0,5s.15p,1P*,1
Sr,1,Sr I,221.7816,221.7816,221.78198,air,,,1170000.0,B',0.000,45075.29,5s2,1S,0,5s.14p,1P*,1
Sr,1,Sr I,222.6304,222.6304,222.63055,air,,,1570000.0,B',0.000,44903.50,5s2,1S,0,5s.13p,1P*,1
Sr,1,Sr I,223.7655,223.7655,223.76566,air,,,2400000.0,B',0.000,44675.737,5s2,1S,0,5s.12p,1P*,1
