element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ta,1,Ta I,252.635,252.635,252.6351,air,1200.0,1200D,45000000.0,D+,2010.10,41580.98,5d3.6s2,a 4F,5/2,5d4.(5D).6p,y 6F*,5/2
Ta,1,Ta I,255.107,255.107,255.1097,air,460.0,460D,50000000.0,D+,6068.91,45255.98,5d3.6s2,a 4P,3/2,5d4.(5D).6p,x 6D*,5/2
Ta,1,Ta I,277.588,277.588,277.5881,air,770.0,770,36000000.0,C+,0.00,36013.97,5d3.6s2,a 4F,3/2,5d3.6s.(3H).6p,z 4G*?,5/2
Ta,1,Ta I,289.184,289.184,289.1837,air,770.0,770,56000000.0,C+,2010.10,36580.06,5d3.6s2,a 4F,5/2,5d3.6s.(3G).6p,y 4F*?,3/2
Ta,1,Ta I,291.412,291.412,291.4109,air,210.0,210,38000000.0,D+,10950.22,45255.98,5d3.6s2,a 2P,3/2,5d4.(5D).6p,x 6D*,5/2
Ta,1,Ta I,302.748,302.748,302.7474,air,290.0,290D,59000000.0,D+,12234.76,45255.98,5d4.(5D).6s,a 6D,7/2,5d4.(5D).6p,x 6D*,5/2
Ta,1,Ta I,312.776,312.776,312.7865,air,150.0,150bl(Ta II),570000.0,C+,0.00,31961.42,5d3.6s2,a 4F,3/2,5d3.6s.(5P).6p,z 6P*,5/2
Ta,1,Ta I,316.818,316.818,316.8265,air,70.0,70bl(Ta II),600000.0,C+,0.00,31553.89,5d3.6s2,a 4F,3/2,,315*,3/2
Ta,1,Ta I,317.0289,317.0289,317.029,air,320.0,320,8500000.0,C+,3963.92,35497.65,5d3.6s2,a 4F,7/2,,354*,9/2
Ta,1,Ta I,320.549,320.549,320.5471,air,8.0,8w,560000.0,C,2010.10,33197.75,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,z 6P*,7/2
Ta,1,Ta I,326.0182,326.0182,326.0143,air,70.0,70,580000.0,C+,0.00,30664.66,5d3.6s2,a 4F,3/2,5d3.6s.(5P).6p,y 6D*,3/2
Ta,1,Ta I,331.7928,331.7928,331.7915,air,210.0,210,6100000.0,C,3963.92,34094.66,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,y 6D*,7/2
Ta,1,Ta I,333.7799,333.7799,333.7791,air,70.0,70,1320000.0,B,2010.10,31961.42,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,z 6P*,5/2
Ta,1,Ta I,338.384,338.384,338.3834,air,8.0,8,530000.0,B,2010.10,31553.89,5d3.6s2,a 4F,5/2,,315*,3/2
Ta,1,Ta I,340.6935,340.6935,340.6937,air,450.0,450,6800000.0,B+,0.00,29343.46,5d3.6s2,a 4F,3/2,,293*,5/2
Ta,1,Ta I,341.9748,341.9748,341.9714,air,75.0,75,1910000.0,B,3963.92,33197.75,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,z 6P*,7/2
Ta,1,Ta I,346.3771,346.3771,346.377,air,230.0,230,2620000.0,B+,0.00,28862.01,5d3.6s2,a 4F,3/2,,288*,5/2
Ta,1,Ta I,348.4621,348.4621,348.4621,air,45.0,45,850000.0,B,0.00,28689.31,5d3.6s2,a 4F,3/2,,286*,3/2
Ta,1,Ta I,348.8847,348.8847,348.8847,air,110.0,110h,730000.0,B,2010.10,30664.66,5d3.6s2,a 4F,5/2,5d3.6s.(5P).6p,y 6D*,3/2
Ta,1,Ta I,349.7848,349.7848,349.7845,air,380.0,380,4880000.0,B+,2010.10,30590.95,5d3.6s2,a 4F,5/2,,305*,7/2
Ta,1,Ta I,350.3868,350.3868,350.3868,air,240.0,240,55000000.0,C,9975.81,38507.54,5d4.(5D).6s,a 6D,3/2,5d4.(5D).6p,y 6F*,1/2
Ta,1,Ta I,350.4976,350.4976,350.4961,air,130.0,130*,2720000.0,B+,3963.92,32486.75,5d3.6s2,a 4F,7/2,5d3.6s.(5P).6p,y 6D*,5/2
Ta,1,Ta I,351.1043,351.1043,351.1019,air,490.0,490,5700000.0,D+,5621.04,34094.66,5d3.6s2,a 4F,9/2,5d3.6s.(5P).6p,y 6D*,7/2
Ta,1,Ta I,355.3415,355.3415,355.3418,air,55.0,55,330000.0,B,0.00,28133.88,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,y 4D*,5/2
Ta,1,Ta I,360.7406,360.7406,360.7405,air,750.0,750,4630000.0,B+,2010.10,29722.95,5d3.6s2,a 4F,5/2,,297*,7/2
Ta,1,Ta I,362.5238,362.5238,362.5215,air,55.0,55,1030000.0,B,5621.04,33197.75,5d3.6s2,a 4F,9/2,5d3.6s.(5P).6p,z 6P*,7/2
Ta,1,Ta I,362.6617,362.6617,362.661,air,980.0,980,7100000.0,B+,3963.92,31530.02,5d3.6s2,a 4F,7/2,,315*,9/2
Ta,1,Ta I,364.2057,364.2057,364.205,air,500.0,500,5500000.0,B+,5621.04,33070.28,5d3.6s2,a 4F,9/2,,330*,11/2
Ta,1,Ta I,365.7495,365.7495,365.7491,air,60.0,60,430000.0,C+,2010.10,29343.46,5d3.6s2,a 4F,5/2,,293*,5/2
Ta,1,Ta I,373.1017,373.1017,373.1012,air,130.0,130,530000.0,C+,0.00,26794.76,5d3.6s2,a 4F,3/2,5d3.6s.(5F).6p,z 6D*,5/2
Ta,1,Ta I,375.4517,375.4517,375.4515,air,110.0,110,650000.0,B,3963.92,30590.95,5d3.6s2,a 4F,7/2,,305*,7/2
Ta,1,Ta I,378.4254,378.4254,378.4246,air,190.0,190,4300000.0,B,6068.91,32486.75,5d3.6s2,a 4P,3/2,5d3.6s.(5P).6p,y 6D*,5/2
