element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Ti,2,Ti II,191.061227,191.061227,191.061231,vacuum,45.0,45,380000000.0,A',0.0000,52339.242,3d2.(3F).4s,a 4F,3/2,3d.(2D).4s.4p.(3P*),4D*,1/2
Ti,2,Ti II,191.09538,191.09538,191.09538,vacuum,67.0,67,179000000.0,A,0.0000,52329.889,3d2.(3F).4s,a 4F,3/2,3d.(2D).4s.4p.(3P*),4F*,3/2
Ti,3,Ti III,194.8508,194.8508,194.851,vacuum,5.0,5,72000000.0,D,32475.5,83796.86,3p6.3d2,1S,0,3p6.3d.4p,1P*,1
Ti,3,Ti III,200.736,200.736,200.7357,air,4.0,4,340000000.0,D,80939.19,130739.82,3p6.3d.4p,3P*,1,3p6.3d.4d,3S,1
Ti,3,Ti III,200.7604,200.7604,200.7586,air,2.0,2,120000000.0,D,80944.87,130739.82,3p6.3d.4p,3P*,0,3p6.3d.4d,3S,1
Ti,3,Ti III,201.08,201.08,201.0801,air,6.0,6,540000000.0,D,81024.47,130739.82,3p6.3d.4p,3P*,2,3p6.3d.4d,3S,1
Ti,3,Ti III,209.7299,209.7299,209.7301,air,9.0,9,330000000.0,D,81024.47,128689.67,3p6.3d.4p,3P*,2,3p6.3d.4d,3D,3
Ti,3,Ti III,209.9862,209.9862,209.9856,air,7.0,7,250000000.0,D,80939.19,128546.38,3p6.3d.4p,3P*,1,3p6.3d.4d,3D,2
Ti,3,Ti III,210.36,210.36,210.3625,air,5.0,5,56000000.0,D,81024.47,128546.38,3p6.3d.4p,3P*,2,3p6.3d.4d,3D,2
Ti,3,Ti III,210.4857,210.4857,210.4852,air,4.0,4,110000000.0,D,80939.19,128433.40,3p6.3d.4p,3P*,1,3p6.3d.4d,3D,1
