element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Tl,2,Tl II,190.864,190.864,190.8617,vacuum,25.0,25r,26000000.0,,0.00,52393.96,5d10.6s2,1S,0,5d10.6s.6p,3P*,1
Tl,1,Tl I,210.5,210.5,,air,,,4000000.0,D,,,,,1/2,,,3/2
Tl,1,Tl I,211.91,211.91,,air,,,2000000.0,D,,,,,1/2,,,1/2
Tl,1,Tl I,212.928,212.928,,air,1.0,1r,5800000.0,D,,,,,1/2,,,3/2
Tl,1,Tl I,215.192,215.192,,air,1.0,1r,3100000.0,D,,,,,1/2,,,1/2
Tl,1,Tl I,216.859,216.859,,air,4.0,4r,9800000.0,D,,,,,1/2,,,3/2
Tl,1,Tl I,223.784,223.784,,air,6.0,6r,19000000.0,D,,,,,1/2,,,3/2
Tl,1,Tl I,231.598,231.598,,air,140.0,140,7800000.0,D,,,,,1/2,,,1/2
Tl,1,Tl I,237.969,237.969,237.958,air,900.0,900w,44000000.0,C,0.0,42011.4,6s2.6p,2P*,1/2,6s2.7d,2D,3/2
Tl,1,Tl I,250.794,250.794,,air,1.0,1r,1100000.0,C,,,,,3/2,,,1/2
Tl,2,Tl II,253.086,253.086,253.0739,air,20.0,20,118000000.0,,75663.33,115165.60,5d10.6s.6p,1P*,1,5d10.6s.6d,1D,2
Tl,1,Tl I,253.818,253.818,,air,2.0,2r,1600000.0,C,,,,,3/2,,,1/2
Tl,1,Tl I,258.014,258.014,258.015,air,700.0,700,18000000.0,D,0.0,38745.9,6s2.6p,2P*,1/2,6s2.8s,2S,1/2
Tl,1,Tl I,260.899,260.899,,air,60.0,60,10000000.0,C,,,,,3/2,,,5/2
Tl,1,Tl I,260.977,260.977,,air,4.0,4r,1900000.0,C,,,,,3/2,,,3/2
Tl,1,Tl I,266.557,266.557,,air,80.0,80,5700000.0,C,,,,,3/2,,,1/2
Tl,1,Tl I,270.923,270.923,,air,420.0,420,17000000.0,C,,,,,3/2,,,5/2
Tl,1,Tl I,271.067,271.067,,air,50.0,50w,3700000.0,C,,,,,3/2,,,3/2
Tl,1,Tl I,276.787,276.787,276.789,air,4400.0,4400bl,126000000.0,C,0.0,36117.9,6s2.6p,2P*,1/2,6s2.6d,2D,3/2
Tl,1,Tl I,282.616,282.616,,air,280.0,280,8000000.0,C,,,,,3/2,,,1/2
Tl,1,Tl I,291.832,291.832,291.832,air,2800.0,2800,42000000.0,C,7792.7,42049.0,6s2.6p,2P*,3/2,6s2.7d,2D,5/2
Tl,1,Tl I,292.152,292.152,,air,440.0,440,7600000.0,C,,,,,3/2,,,3/2
Tl,1,Tl I,322.975,322.975,322.975,air,1200.0,1200,17300000.0,C,7792.7,38745.9,6s2.6p,2P*,3/2,6s2.8s,2S,1/2
Tl,1,Tl I,351.924,351.924,351.923,air,20000.0,20000,124000000.0,C,7792.7,36199.9,6s2.6p,2P*,3/2,6s2.6d,2D,5/2
Tl,1,Tl I,352.943,352.943,352.942,air,5000.0,5000,22000000.0,C,7792.7,36117.9,6s2.6p,2P*,3/2,6s2.6d,2D,3/2
Tl,1,Tl I,377.572,377.572,377.572,air,12000.0,12000w,62500000.0,B,0.0,26477.5,6s2.6p,2P*,1/2,6s2.7s,2S,1/2
Tl,1,Tl I,535.046,535.046,535.05,air,18000.0,18000,70500000.0,B,7792.7,26477.5,6s2.6p,2P*,3/2,6s2.7s,2S,1/2
