element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Tm,1,Tm I,251.3778,251.3778,251.3778,air,900.0,900D,5300000.0,B+,0.000,39768.79,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<5/2>.6s2,"(4,5/2)",9/2
Tm,1,Tm I,252.7022,252.7022,252.702,air,1300.0,1300,14700000.0,B+,0.000,39560.41,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<3/2>.6s2,,7/2
Tm,1,Tm I,252.785,252.785,252.7857,air,350.0,350,6400000.0,C+,0.000,39547.31,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).5d.6p.(3F*<2>),"(7/2,2)",5/2
Tm,1,Tm I,254.981,254.981,254.981,air,400.0,400,2700000.0,C+,0.000,39206.84,4f13.(2F*).6s2,2F*,7/2,,,9/2
Tm,1,Tm I,255.2764,255.2764,255.2766,air,3600.0,3600,36800000.0,B+,0.000,39161.45,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,7/2?
Tm,1,Tm I,258.342,258.342,258.3421,air,350.0,350,3500000.0,C+,0.000,38696.79,4f13.(2F*).6s2,2F*,7/2,,,5/2
Tm,1,Tm I,259.6489,259.6489,259.6491,air,1700.0,1700h,14000000.0,B+,0.000,38502.00,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,9/2
Tm,1,Tm I,260.1092,260.1092,260.1091,air,1100.0,1100,14900000.0,B+,0.000,38433.92,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,5/2
Tm,1,Tm I,262.1936,262.1936,262.1937,air,230.0,230,620000.0,C+,0.000,38128.37,4f13.(2F*).6s2,2F*,7/2,,,5/2
Tm,1,Tm I,262.2467,262.2467,262.2464,air,400.0,400,5200000.0,C+,0.000,38120.71,4f13.(2F*).6s2,2F*,7/2,4f12.(1G<4>).5d<3/2>.6s2,"(4,3/2)",9/2
Tm,1,Tm I,265.095,265.095,265.09517,air,150.0,150,380000.0,C+,0.000,37711.074,4f13.(2F*).6s2,2F*,7/2,,,9/2
Tm,1,Tm I,266.0417,266.0417,266.04203,air,260.0,260,460000.0,C+,0.000,37576.866,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.7p,,9/2
Tm,1,Tm I,283.5098,283.5098,283.50993,air,210.0,210,1130000.0,C+,0.000,35261.762,4f13.(2F*).6s2,2F*,7/2,,,5/2
