element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
U,1,U I,355.295,355.295,,air,20.0,20,2000000.0,C,,,,,6,,,6
U,1,U I,355.301,355.301,,air,370.0,370,1400000.0,C,,,,,4,,,3
U,1,U I,355.3435,355.3435,,air,720.0,720,2200000.0,C,,,,,7,,,6
U,1,U I,355.4499,355.4499,,air,600.0,600,840000.0,C,,,,,5,,,4
U,1,U I,355.4874,355.4874,,air,390.0,390,790000.0,C,,,,,7,,,8
U,1,U I,355.532,355.532,,air,680.0,680,2700000.0,C,,,,,6,,,7
U,1,U I,355.5827,355.5827,,air,570.0,570,410000.0,C,,,,,6,,,5
U,1,U I,355.6925,355.6925,,air,30.0,30,750000.0,C,,,,,6,,,5
U,1,U I,355.7841,355.7841,,air,910.0,910,2900000.0,C,,,,,6,,,6
U,1,U I,355.8015,355.8015,,air,120.0,120,1600000.0,C,,,,,5,,,6
U,1,U I,355.8579,355.8579,,air,470.0,470,3900000.0,C,,,,,4,,,3
U,1,U I,355.94,355.94,,air,290.0,290,1500000.0,C,,,,,3,,,4
U,1,U I,356.0309,356.0309,,air,290.0,290,6400000.0,C,,,,,4,,,3
U,1,U I,356.141,356.141,,air,320.0,320,5500000.0,C,,,,,7,,,6
U,1,U I,356.146,356.146,,air,110.0,110,2500000.0,C,,,,,4,,,4
U,1,U I,356.18,356.18,,air,1200.0,1200,5700000.0,C,,,,,6,,,5
U,1,U I,356.366,356.366,,air,390.0,390,2900000.0,C,,,,,6,,,6
U,1,U I,356.3816,356.3816,,air,40.0,40,1100000.0,C,,,,,3,,,3
U,1,U I,356.5046,356.5046,,air,470.0,470,2900000.0,C,,,,,6,,,5
U,1,U I,356.6002,356.6002,,air,490.0,490,1700000.0,C,,,,,6,,,7
U,1,U I,356.659,356.659,,air,2300.0,2300,24000000.0,B,,,,,5,,,5
U,1,U I,356.8779,356.8779,,air,600.0,600,3800000.0,C,,,,,6,,,6
U,1,U I,356.908,356.908,,air,530.0,530,11000000.0,C,,,,,8,,,7
U,1,U I,356.9367,356.9367,,air,290.0,290,1500000.0,C,,,,,4,,,4
U,1,U I,357.0094,357.0094,,air,230.0,230,1300000.0,C,,,,,6,,,5
U,1,U I,357.0217,357.0217,,air,370.0,370,530000.0,C,,,,,5,,,4
U,1,U I,357.0584,357.0584,,air,210.0,210,2700000.0,C,,,,,6,,,7
U,1,U I,357.0711,357.0711,,air,430.0,430,1200000.0,C,,,,,7,,,7
U,1,U I,357.1164,357.1164,,air,550.0,550,630000.0,C,,,,,5,,,5
U,1,U I,357.1551,357.1551,,air,230.0,230,13000000.0,C,,,,,8,,,7
U,1,U I,357.2927,357.2927,,air,470.0,470,1500000.0,C,,,,,6,,,7
U,1,U I,357.3875,357.3875,,air,450.0,450,4000000.0,C,,,,,6,,,5
U,1,U I,357.411,357.411,,air,290.0,290,3500000.0,C,,,,,6,,,7
U,1,U I,357.476,357.476,,air,320.0,320,1900000.0,C,,,,,6,,,7
U,1,U I,357.7069,357.7069,,air,370.0,370,4300000.0,C,,,,,8,,,7
U,1,U I,357.749,357.749,,air,230.0,230,780000.0,C,,,,,7,,,6
U,1,U I,357.7781,357.7781,,air,430.0,430,830000.0,C,,,,,5,,,5
U,1,U I,357.792,357.792,,air,360.0,360,2300000.0,C,,,,,6,,,6
U,1,U I,357.8327,357.8327,,air,620.0,620,2000000.0,C,,,,,6,,,5
U,1,U I,357.9952,357.9952,,air,160.0,160,1200000.0,C,,,,,4,,,4
U,1,U I,358.0246,358.0246,,air,640.0,640,2900000.0,C,,,,,5,,,4
U,1,U I,358.0365,358.0365,,air,530.0,530,750000.0,C,,,,,5,,,6
U,1,U I,358.0921,358.0921,,air,430.0,430,2100000.0,C,,,,,6,,,6
U,1,U I,358.2622,358.2622,,air,530.0,530,2900000.0,C,,,,,6,,,6
U,1,U I,358.4641,358.4641,,air,240.0,240,2400000.0,C,,,,,3,,,2
U,1,U I,358.488,358.488,,air,3200.0,3200,18000000.0,B,,,,,6,,,7
U,1,U I,358.5375,358.5375,,air,600.0,600,1900000.0,C,,,,,5,,,5
U,1,U I,358.5837,358.5837,,air,640.0,640,2800000.0,C,,,,,5,,,4
U,1,U I,358.7784,358.7784,,air,150.0,150,1300000.0,C,,,,,4,,,5
U,1,U I,358.8348,358.8348,,air,210.0,210,1800000.0,C,,,,,3,,,4
U,1,U I,358.9659,358.9659,,air,640.0,640,2100000.0,C,,,,,5,,,6
U,1,U I,358.9787,358.9787,,air,570.0,570,5900000.0,C,,,,,7,,,6
U,1,U I,359.0726,359.0726,,air,190.0,190,2200000.0,C,,,,,4,,,3
U,1,U I,359.174,359.174,,air,390.0,390,5300000.0,C,,,,,5,,,4
U,1,U I,359.2969,359.2969,,air,370.0,370,1400000.0,C,,,,,5,,,5
U,1,U I,359.3194,359.3194,,air,410.0,410,4200000.0,C,,,,,6,,,7
U,1,U I,359.3686,359.3686,,air,410.0,410,7200000.0,C,,,,,5,,,5
