element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
V,2,V II,180.5605,180.5605,180.56065,vacuum,1200.0,1200hD,130000000.0,D+,30673.089,86056.143,3d4,d 3F1,2,3d2.(3F).4s.4p.(1P*),q 3D*,1
V,2,V II,180.59217,180.59217,180.59217,vacuum,8300.0,8300,120000000.0,D+,30318.5317,85691.918,3d3.(2F).4s,c 3F,4,3d2.(3F).4s.4p.(1P*),s 3F*,4
V,2,V II,180.64902,180.64902,180.649034,vacuum,21000.0,21000,23000000.0,D+,14556.0689,69912.025,3d4,a 3G,4,3d2.(3F).4s.4p.(3P*),v 3G*,4
V,2,V II,180.7145,180.7145,180.713831,vacuum,2300.0,2300,5000000.0,D+,13608.9393,68945.047,3d4,b 3F2,4,3d2.(3F).4s.4p.(3P*),u 3D*,3
V,2,V II,180.8349,180.8349,180.8349,vacuum,820.0,820,50000000.0,D+,20522.148,75821.22,3d3.(2D2).4s,b 3D,1,3d2.(3P).4s.4p.(3P*),y 1S*,0
V,2,V II,180.97434,180.97434,180.974457,vacuum,9000.0,9000,4100000.0,D+,14655.6082,69912.025,3d4,a 3G,5,3d2.(3F).4s.4p.(3P*),v 3G*,4
V,2,V II,180.9795,180.9795,180.979258,vacuum,2900.0,2900D,4500000.0,D+,13542.6461,68797.597,3d4,b 3F2,3,3d2.(3F).4s.4p.(3P*),u 3D*,2
V,2,V II,181.21711,181.21711,181.21705,vacuum,17000.0,17000,23000000.0,D+,14461.7495,69644.195,3d4,a 3G,3,3d2.(3F).4s.4p.(3P*),v 3G*,3
V,2,V II,181.4664,181.4664,181.46507,vacuum,1200.0,1200,9000000.0,D+,30267.511,85374.535,3d3.(2F).4s,c 3F,2,3d2.(3F).4s.4p.(1P*),s 3F*,3
V,2,V II,181.52726,181.52726,181.527322,vacuum,5300.0,5300,4300000.0,D+,14556.0689,69644.195,3d4,a 3G,4,3d2.(3F).4s.4p.(3P*),v 3G*,3
