element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
W,3,W III,185.0791,185.0791,185.079,vacuum,100.0,100,11000000.0,C,13700.95,67731.94,5d4,3H,4,5d3.(4F).6p,5F*,5
W,3,W III,196.0451,196.0451,196.045,vacuum,80.0,80,5300000.0,D,16723.24,67731.94,5d4,3H,5,5d3.(4F).6p,5F*,5
W,3,W III,198.4331,198.4331,198.4333,vacuum,80.0,80,14000000.0,C,12427.09,62821.85,5d3.(4F).6s,5F,2,,,2
W,3,W III,198.6033,198.6033,198.6037,vacuum,1000.0,1000,84400000.0,B,17380.40,67731.94,5d3.(4F).6s,5F,4,5d3.(4F).6p,5F*,5
W,3,W III,198.8407,198.8407,198.8405,vacuum,60.0,60,23300000.0,B,9904.30,60195.86,5d4,3P2,0,5d3.(4F).6p,5F*,1
W,3,W III,200.1715,200.1715,200.1722,air,,,96600000.0,B,12881.03,62821.85,5d4,3P2,1,,,2
W,3,W III,202.5468,202.5468,202.5462,air,5.0,5d,8600000.0,C,18376.40,67731.94,5d4,3F2,4,5d3.(4F).6p,5F*,5
W,3,W III,202.5652,202.5652,202.5647,air,40.0,40,4100000.0,C,18380.90,67731.94,5d4,3H,6,5d3.(4F).6p,5F*,5
W,3,W III,203.0744,203.0744,203.0739,air,100.0,100,43600000.0,B,10968.54,60195.86,5d3.(4F).6s,5F,1,5d3.(4F).6p,5F*,1
W,2,W II,204.08731,204.08731,204.08718,air,12.0,12,24800000.0,B,0.000,48982.939,5d4.(5D).6s,6D,1/2,5d3.(4F).6s.(5F).6p,6D*,3/2
W,3,W III,204.728,204.728,204.7277,air,200.0,200*,35400000.0,B,13992.14,62821.85,5d4,3F2,2,,,2
W,2,W II,204.963568,204.963568,204.963568,air,52.0,52,74900000.0,B,1518.829,50292.354,5d4.(5D).6s,6D,3/2,5d3.(4F).6s.(5F).6p,6D*,5/2
W,3,W III,207.8347,207.8347,207.8344,air,800.0,800,150000000.0,B,19632.05,67731.94,5d3.(4F).6s,5F,5,5d3.(4F).6p,5F*,5
W,2,W II,207.911801,207.911801,207.911797,air,296.0,296*,374000000.0,B,6147.085,54229.082,5d4.(5D).6s,6D,9/2,5d4.(5D).6p,6F*,11/2
W,3,W III,209.2096,209.2096,209.2094,air,900.0,900*,147000000.0,B,15038.04,62821.85,5d3.(4F).6s,5F,3,,,2
W,3,W III,209.2755,209.2755,209.2753,air,800.0,800,205000000.0,B,12427.09,60195.86,5d3.(4F).6s,5F,2,5d3.(4F).6p,5F*,1
W,2,W II,209.475078,209.475078,209.475078,air,142.0,142,176000000.0,B,1518.829,49242.042,5d4.(5D).6s,6D,3/2,,,5/2
W,2,W II,210.06747,210.06747,210.067481,air,39.0,39,62700000.0,B,0.000,47588.647,5d4.(5D).6s,6D,1/2,5d4.(5D).6p,6P*,3/2
W,2,W II,210.618717,210.618717,210.618726,air,64.0,64,80400000.0,B,1518.829,48982.939,5d4.(5D).6s,6D,3/2,5d3.(4F).6s.(5F).6p,6D*,3/2
W,3,W III,211.283,211.283,211.2833,air,100.0,100,31600000.0,B,12881.03,60195.86,5d4,3P2,1,5d3.(4F).6p,5F*,1
W,3,W III,211.3518,211.3518,211.3522,air,40.0,40,67600000.0,B,20432.53,67731.94,5d4,3G,4,5d3.(4F).6p,5F*,5
W,2,W II,211.88744,211.88744,211.887453,air,80.0,80,67000000.0,B,0.000,47179.941,5d4.(5D).6s,6D,1/2,,,3/2
W,2,W II,212.15753,212.15753,212.15756,air,15.0,15,16700000.0,B,3172.473,50292.354,5d4.(5D).6s,6D,5/2,5d3.(4F).6s.(5F).6p,6D*,5/2
W,3,W III,216.3646,216.3646,216.3649,air,60.0,60,12800000.0,B,13992.14,60195.86,5d4,3F2,2,5d3.(4F).6p,5F*,1
W,3,W III,216.3788,216.3788,216.3787,air,800.0,800bl*,30500000.0,B,16621.08,62821.85,5d4,3P2,2,,,2
W,2,W II,216.99374,216.99374,216.99379,air,11.0,11,17100000.0,B,1518.829,47588.647,5d4.(5D).6s,6D,3/2,5d4.(5D).6p,6P*,3/2
W,2,W II,218.22242,218.22242,218.222413,air,36.0,36,36400000.0,B,3172.473,48982.939,5d4.(5D).6s,6D,5/2,5d3.(4F).6s.(5F).6p,6D*,3/2
W,2,W II,218.936272,218.936272,218.936277,air,57.0,57,43300000.0,B,1518.829,47179.941,5d4.(5D).6s,6D,3/2,,,3/2
W,2,W II,219.34481,219.34481,219.344812,air,31.0,31,23500000.0,B,4716.278,50292.354,5d4.(5D).6s,6D,7/2,5d3.(4F).6s.(5F).6p,6D*,5/2
W,2,W II,219.452792,219.452792,219.452796,air,43.0,43,27100000.0,B,0.000,45553.652,5d4.(5D).6s,6D,1/2,,,3/2
W,2,W II,222.5901,222.5901,222.5901,air,162.0,162,85100000.0,B,0.000,44911.659,5d4.(5D).6s,6D,1/2,,,3/2
W,2,W II,224.51942,224.51942,224.519428,air,54.0,54,49100000.0,B,4716.278,49242.042,5d4.(5D).6s,6D,7/2,,,5/2
W,2,W II,224.875783,224.875783,224.875783,air,253.0,253,319000000.0,B,0.000,44455.212,5d4.(5D).6s,6D,1/2,5d3.(4F).6s.(5F).6p,6F*,1/2
W,2,W II,225.073448,225.073448,225.073448,air,74.0,74,72100000.0,B,3172.473,47588.647,5d4.(5D).6s,6D,5/2,5d4.(5D).6p,6P*,3/2
W,2,W II,227.02288,227.02288,227.0228,air,70.0,70p,35100000.0,B,1518.829,45553.652,5d4.(5D).6s,6D,3/2,,,3/2
W,1,W I,227.7583,227.7583,227.7584,air,60.0,60r,62000000.0,C,0.00,43892.62,5d4.6s2,5D,0,,*,1
W,3,W III,229.4194,229.4194,229.4198,air,10.0,10,4300000.0,C,16621.08,60195.86,5d4,3P2,2,5d3.(4F).6p,5F*,1
W,2,W II,230.381893,230.381893,230.381904,air,164.0,164,71600000.0,B,1518.829,44911.659,5d4.(5D).6s,6D,3/2,,,3/2
W,1,W I,231.317,231.317,231.3175,air,30.0,30r,50000000.0,C,0.00,43217.33,5d4.6s2,5D,0,,*,1
W,3,W III,232.6482,232.6482,232.6492,air,40.0,40*,5900000.0,C,19851.87,62821.85,5d4,3G,3,,,2
W,2,W II,232.83126,232.83126,232.831255,air,42.0,42,47400000.0,B,1518.829,44455.212,5d4.(5D).6s,6D,3/2,5d3.(4F).6s.(5F).6p,6F*,1/2
W,2,W II,233.18035,233.18035,233.1804,air,3.0,3,1030000.0,B,7420.261,50292.354,5d5,6S,5/2,5d3.(4F).6s.(5F).6p,6D*,5/2
W,2,W II,233.37711,233.37711,233.37717,air,86.0,86p,17100000.0,B,1518.829,44354.784,5d4.(5D).6s,6D,3/2,,,5/2
W,1,W I,234.797,234.797,234.797,air,10.0,10,14800000.0,B,3325.53,45902.48,5d4.6s2,5D,2,,*,2
W,2,W II,235.88167,235.88167,235.881659,air,61.0,61,25300000.0,B,3172.473,45553.652,5d4.(5D).6s,6D,5/2,,,3/2
W,1,W I,236.3072,236.3072,236.3068,air,18.0,18r,69000000.0,B,1670.29,43975.22,5d4.6s2,5D,1,,*,2
W,1,W I,236.7693,236.7693,236.7692,air,10.0,10,23000000.0,C,1670.29,43892.62,5d4.6s2,5D,1,,*,1
W,1,W I,237.4468,237.4468,237.4468,air,30.0,30r,62000000.0,C,4830.00,46931.84,5d4.6s2,5D,3,,*,4
W,2,W II,239.03701,239.03701,239.03701,air,110.0,110,66900000.0,B,7420.261,49242.042,5d5,6S,5/2,,,5/2
W,2,W II,239.292814,239.292814,239.292809,air,231.0,231,22800000.0,B,4716.278,46493.356,5d4.(5D).6s,6D,7/2,5d3.(4F).6s.(5F).6p,6G*,9/2
W,2,W II,239.51009,239.51009,239.51006,air,14.0,14,5830000.0,B,3172.473,44911.659,5d4.(5D).6s,6D,5/2,,,3/2
W,2,W II,239.707936,239.707936,239.707924,air,294.0,294,52400000.0,B,3172.473,44877.209,5d4.(5D).6s,6D,5/2,5d4.(5D).6p,6F*,7/2
