element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Xe,1,Xe I,368.59,368.59,368.59,air,40.0,40,450000.0,D,67067.547,94190.24,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).9p,2[3/2],2
Xe,1,Xe I,369.349,369.349,369.3487,air,40.0,40,310000.0,D+,67067.547,94134.53,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).9p,2[5/2],3
Xe,1,Xe I,379.63,379.63,379.6306,air,40.0,40,160000.0,C,67067.547,93401.466,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).5f,2[5/2],3
Xe,1,Xe I,395.0924,395.0924,395.09237,air,120.0,120,560000.0,C+,67067.547,92370.923,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).8p,2[3/2],2
Xe,1,Xe I,396.75411,396.75411,396.75405,air,200.0,200,530000.0,C+,67067.547,92264.950,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).8p,2[5/2],3
Xe,1,Xe I,397.4417,397.4417,397.44158,air,40.0,40,140000.0,D+,67067.547,92221.362,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).8p,2[5/2],2
Xe,1,Xe I,419.3528,419.3528,419.35296,air,150.0,150,220000.0,B,67067.547,90907.090,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).4f,2[5/2],3
Xe,1,Xe I,420.3695,420.3695,420.3695,air,,,110000.0,D+,67067.547,90849.440,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).4f,2[3/2],2
Xe,2,Xe II,433.052,433.052,433.052,air,1000.0,1000,140000000.0,,113512.36,136597.81,5s2.5p4.(3P<2>).6p,2[3]*,5/2,5s2.5p4.(3P<2>).6d,2[4],7/2
Xe,2,Xe II,441.484,441.484,441.482,air,300.0,300*,100000000.0,,109563.14,132207.76,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[2]*,5/2
Xe,1,Xe I,450.0978,450.0978,450.0979,air,,,1460000.0,C+,67067.547,89278.706,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<1/2>).6p,2[1/2],1
Xe,1,Xe I,452.46805,452.46805,452.4681,air,,,460000.0,C+,67067.547,89162.356,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<1/2>).6p,2[3/2],2
Xe,1,Xe I,458.27472,458.27472,458.2747,air,,,1300000.0,C,68045.156,89860.015,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<1/2>).6p,2[1/2],0
Xe,2,Xe II,460.303,460.303,460.304,air,600.0,600h,82000000.0,,95064.38,116783.09,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).6p,2[1]*,3/2
Xe,1,Xe I,461.18882,461.18882,461.189,air,100.0,100,30000.0,D,67067.547,88744.559,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[3/2],1
Xe,1,Xe I,462.42756,462.42756,462.4276,air,,,2420000.0,B,67067.547,88686.500,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[3/2],2
Xe,1,Xe I,467.12258,467.12258,467.1226,air,,,2490000.0,B,67067.547,88469.213,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[5/2],3
Xe,1,Xe I,469.097,469.097,469.0972,air,100.0,100,280000.0,C+,67067.547,88379.126,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<1/2>).6p,2[3/2],1
Xe,1,Xe I,469.70208,469.70208,469.7021,air,,,736000.0,B,67067.547,88351.681,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[5/2],2
Xe,1,Xe I,473.41518,473.41518,473.4152,air,600.0,600,1380000.0,C+,68045.156,89162.356,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<1/2>).6p,2[3/2],2
Xe,1,Xe I,479.2619,479.2619,479.262,air,150.0,150,120000.0,D+,67067.547,87927.131,5p5.(2P*<3/2>).6s,2[3/2]*,2,5p5.(2P*<3/2>).7p,2[1/2],1
Xe,1,Xe I,480.7019,480.7019,480.7019,air,500.0,500,4290000.0,B,68045.156,88842.256,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<3/2>).7p,2[1/2],0
Xe,1,Xe I,482.9708,482.9708,482.9708,air,400.0,400,600000.0,D+,68045.156,88744.559,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<3/2>).7p,2[3/2],1
Xe,1,Xe I,484.32934,484.32934,484.3293,air,300.0,300,702000.0,B,68045.156,88686.500,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<3/2>).7p,2[3/2],2
Xe,2,Xe II,484.433,484.433,484.432,air,2000.0,2000,110000000.0,,93068.44,113705.40,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).6p,2[3]*,7/2
Xe,2,Xe II,487.65,487.65,487.649,air,500.0,500h,63000000.0,,109563.14,130063.96,5s2.5p4.(1D<2>).6s,2[2],5/2,5s2.5p4.(1D<2>).6p,2[3]*,7/2
Xe,1,Xe I,491.6507,491.6507,491.6506,air,500.0,500,1600000.0,C+,68045.156,88379.126,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<1/2>).6p,2[3/2],1
Xe,1,Xe I,492.3152,492.3152,492.3151,air,500.0,500,974000.0,B,68045.156,88351.681,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<3/2>).7p,2[5/2],2
Xe,1,Xe I,502.82794,502.82794,502.8279,air,200.0,200,160000.0,D+,68045.156,87927.131,5p5.(2P*<3/2>).6s,2[3/2]*,1,5p5.(2P*<3/2>).7p,2[1/2],1
Xe,1,Xe I,520.607,520.607,520.607,air,1.0,1,110000.0,C,77269.145,96472.13,5p5.(2P*<3/2>).6p,2[1/2],1,5p5.(2P*<3/2>).13s,2[3/2]*,2
Xe,2,Xe II,526.044,526.044,526.044,air,200.0,200,22000000.0,,104250.06,123254.60,5s2.5p4.(3P<1>).5d,2[1],1/2,5s2.5p4.(3P<1>).6p,2[2]*,3/2
Xe,2,Xe II,526.195,526.195,526.198,air,200.0,200,85000000.0,,112924.84,131923.79,5s2.5p4.(1D<2>).6s,2[2],3/2,5s2.5p4.(1D<2>).6p,2[2]*,3/2
Xe,2,Xe II,529.222,529.222,529.221,air,1000.0,1000,89000000.0,,93068.44,111958.89,5s2.5p4.(3P<2>).6s,2[2],5/2,5s2.5p4.(3P<2>).6p,2[2]*,5/2
Xe,1,Xe I,530.637,530.637,530.636,air,3.0,3,160000.0,C+,77269.145,96109.22,5p5.(2P*<3/2>).6p,2[1/2],1,5p5.(2P*<3/2>).12s,2[3/2]*,2
Xe,2,Xe II,537.239,537.239,537.239,air,300.0,300,71000000.0,,95064.38,113672.89,5s2.5p4.(3P<2>).6s,2[2],3/2,5s2.5p4.(3P<2>).6p,2[1]*,1/2
