element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Y,1,Y I,274.25018,274.25018,274.250022,air,70.0,70,660000.0,B,0.000,36452.295,4d.5s2,a 2D,3/2,4d2.(1D).5p,w 2D*,3/2
Y,1,Y I,288.64547,288.64547,288.64547,air,95.0,95,1720000.0,C+,11359.757,45994.176,5s2.5p,z 2P*,3/2,5p2.(3P).4d?,f 2P,3/2
Y,1,Y I,294.8406,294.8406,294.84025,air,390.0,390,35600000.0,B+,0.000,33906.761,4d.5s2,a 2D,3/2,4d2.(3F).5p,x 2D*,3/2
Y,1,Y I,297.4588,297.4588,297.45861,air,480.0,480,35200000.0,B+,0.000,33608.312,4d.5s2,a 2D,3/2,4d2.(3F).5p,x 2F*,5/2
Y,1,Y I,298.4254,298.4254,298.425284,air,750.0,750,47800000.0,B+,530.351,34029.802,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2F*,7/2
Y,1,Y I,299.52574,299.52574,299.525466,air,70.0,70,5100000.0,B+,530.351,33906.761,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2D*,3/2
Y,1,Y I,299.6939,299.6939,299.6943,air,140.0,140,8400000.0,B+,0.000,33357.608,4d.5s2,a 2D,3/2,4d2.(3F).5p,y 4D*,5/2
Y,1,Y I,300.52618,300.52618,300.525976,air,70.0,70,4700000.0,B+,0.000,33265.298,4d.5s2,a 2D,3/2,4d2.(3F).5p,y 4D*,3/2
Y,1,Y I,302.22814,302.22814,302.228076,air,90.0,90,6600000.0,B+,530.351,33608.312,4d.5s2,a 2D,5/2,4d2.(3F).5p,x 2F*,5/2
Y,1,Y I,303.8467,303.8467,303.846861,air,12.0,12,520000.0,B+,530.351,33432.092,4d.5s2,a 2D,5/2,4d2.(3F).5p,z 2G*,7/2
Y,1,Y I,304.53628,304.53628,304.536308,air,190.0,190,10700000.0,B+,530.351,33357.608,4d.5s2,a 2D,5/2,4d2.(3F).5p,y 4D*,5/2
Y,1,Y I,305.395112,,305.395112,air,,,186000.0,B,530.351,33265.298,4d.5s2,a 2D,5/2,4d2.(3F).5p,y 4D*,3/2
