element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Yb,2,Yb II,211.667,211.667,211.6675,air,2500.0,2500,341000000.0,,0.00,47228.96,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[1/2]*,1/2
Yb,2,Yb II,212.674,212.674,212.6741,air,3000.0,3000,49100000.0,,0.00,47005.46,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(1D),1[3/2]*,3/2
Yb,2,Yb II,218.571,218.571,218.5716,air,850.0,850,31600000.0,,0.00,45737.29,4f14.6s,2S,1/2,4f13.(2F*<7/2>).5d2.(3F),*,3/2
Yb,2,Yb II,222.446,222.446,222.4467,air,640.0,640,47900000.0,,0.00,44940.61,4f14.6s,2S,1/2,4f13.(2F*<5/2>).5d.6s.(3D),*,3/2
Yb,1,Yb I,246.45,246.45,246.4497,air,460.0,460,100000000.0,,0.000,40563.97,4f14.6s2,1S,0,4f14.6s.7p,1P*,1
Yb,2,Yb II,265.375,265.375,265.3745,air,990.0,990,390000000.0,,21418.75,59090.13,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.6p.(1P*<1>),,7/2
Yb,1,Yb I,267.196,267.196,267.196,air,390.0,390,14300000.0,,0.000,37414.59,4f14.6s2,1S,0,4f13.(2F*).5d2.6s?,*,1
Yb,2,Yb II,275.048,275.048,275.0478,air,1300.0,1300,320000000.0,,21418.75,57765.32,4f13.(2F*).6s2,2F*,7/2,4f13.(2F*<7/2>).6s.6p.(1P*<1>),"(7/2,1)",9/2
Yb,2,Yb II,289.138,289.138,289.1385,air,3600.0,3600,34200000.0,,0.00,34575.37,4f14.6s,2S,1/2,4f13.(2F*<7/2>).5d.6s.(1D),1[3/2]*,3/2
Yb,2,Yb II,297.056,297.056,297.056,air,2000.0,2000,26100000.0,,0.00,33653.86,4f14.6s,2S,1/2,4f13.(2F*<7/2>).5d.6s.(3D),3[3/2]*,1/2
Yb,2,Yb II,328.937,328.937,328.9367,air,18000.0,18000,162000000.0,,0.00,30392.23,4f14.6s,2S,1/2,4f14.6p,2P*,3/2
Yb,1,Yb I,346.437,346.437,346.43698,air,2400.0,2400,68300000.0,,0.000,28857.014,4f14.6s2,1S,0,4f13.(2F*<7/2>).5d<5/2>.6s2,"(7/2,5/2)*",1
Yb,2,Yb II,369.419,369.419,369.4192,air,32000.0,32000,123000000.0,,0.00,27061.82,4f14.6s,2S,1/2,4f14.6p,2P*,1/2
Yb,1,Yb I,398.799,398.799,398.79864,air,32000.0,32000,192000000.0,,0.000,25068.222,4f14.6s2,1S,0,4f14.6s.6p,1P*,1
Yb,1,Yb I,555.647,555.647,555.6481,air,2400.0,2400,1150000.0,,0.000,17992.007,4f14.6s2,1S,0,4f14.6s.6p,3P*,1
