element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Zn,2,Zn II,192.967,192.967,192.967,vacuum,100.0,100bl,2710000.0,C,65441.64,117264.0,3d9.4s2,2D,3/2,3d10.4f,2F*,5/2
Zn,2,Zn II,202.54845,202.54845,202.5483,air,500.0,500,407000000.0,B+,0.00,49355.04,3d10.4s,2S,1/2,3d10.4p,2P*,3/2
Zn,2,Zn II,206.20011,206.20011,206.2004,air,500.0,500,386000000.0,B+,0.00,48481.00,3d10.4s,2S,1/2,3d10.4p,2P*,1/2
Zn,2,Zn II,206.42266,206.42266,206.423,air,200.0,200,460000000.0,C+,48481.00,96909.74,3d10.4p,2P*,1/2,3d10.4d,2D,3/2
Zn,2,Zn II,209.99273,209.99273,209.9937,air,300.0,300,560000000.0,C,49355.04,96960.40,3d10.4p,2P*,3/2,3d10.4d,2D,5/2
Zn,2,Zn II,210.21661,210.21661,210.2175,air,200.0,200,93000000.0,C+,49355.04,96909.74,3d10.4p,2P*,3/2,3d10.4d,2D,3/2
Zn,1,Zn I,213.857351,213.857351,213.857354,air,80000000.0,80000000r,714000000.0,A,0.0000,46745.4032,3d10.4s2,1S,0,3d10.4s.4p,1P*,1
Zn,2,Zn II,250.19945,250.19945,250.199,air,1000.0,1000,197000000.0,C+,48481.00,88437.15,3d10.4p,2P*,1/2,3d10.5s,2S,1/2
Zn,2,Zn II,255.7946,255.7946,255.7948,air,1000.0,1000,391000000.0,C+,49355.04,88437.15,3d10.4p,2P*,3/2,3d10.5s,2S,1/2
Zn,2,Zn II,257.0652,257.0652,257.065,air,30.0,30,17600000.0,C,62722.45,101611.4,3d9.4s2,2D,5/2,3d10.5p,2P*,3/2
Zn,2,Zn II,276.3955,276.3955,276.392,air,30.0,30,1910000.0,C,65441.64,101611.4,3d9.4s2,2D,3/2,3d10.5p,2P*,3/2
Zn,2,Zn II,278.281,278.281,278.281,air,30.0,30,4370000.0,C,65441.64,101365.9,3d9.4s2,2D,3/2,3d10.5p,2P*,1/2
Zn,1,Zn I,307.589713,307.589713,307.589703,air,88000.0,88000,38000.0,B,0.0000,32501.3990,3d10.4s2,1S,0,3d10.4s.4p,3P*,1
Zn,1,Zn I,328.232559,328.232559,328.232554,air,360000.0,360000,90000000.0,B,32311.3176,62768.7462,3d10.4s.4p,3P*,0,3d10.4s.4d,3D,1
Zn,1,Zn I,330.258289,330.258289,330.25829,air,1400000.0,1400000,120000000.0,B,32501.3990,62772.0144,3d10.4s.4p,3P*,1,3d10.4s.4d,3D,2
Zn,1,Zn I,330.293949,330.293949,330.293951,air,550000.0,550000,67000000.0,B,32501.3990,62768.7462,3d10.4s.4p,3P*,1,3d10.4s.4d,3D,1
Zn,1,Zn I,334.501339,334.501339,334.50134,air,2900000.0,2900000,170000000.0,B,32890.3267,62776.9809,3d10.4s.4p,3P*,2,3d10.4s.4d,3D,3
Zn,1,Zn I,334.556939,334.556939,334.556938,air,530000.0,530000,40000000.0,B,32890.3267,62772.0144,3d10.4s.4p,3P*,2,3d10.4s.4d,3D,2
Zn,1,Zn I,334.59353,334.59353,334.593534,air,75000.0,75000,4500000.0,B,32890.3267,62768.7462,3d10.4s.4p,3P*,2,3d10.4s.4d,3D,1
Zn,2,Zn II,407.814,407.814,407.813,air,40.0,40,8900000.0,C,101365.9,125880.0,3d10.5p,2P*,1/2,3d10.7s,2S,1/2
Zn,2,Zn II,411.939,411.939,411.939,air,40.0,40,15600000.0,C,101611.4,125880.0,3d10.5p,2P*,3/2,3d10.7s,2S,1/2
Zn,2,Zn II,491.16269,491.16269,491.161,air,800.0,800,182000000.0,C,96909.74,117264.0,3d10.4d,2D,3/2,3d10.4f,2F*,5/2
Zn,2,Zn II,492.40132,492.40132,492.401,air,500.0,500,272000000.0,C,96960.40,117263.4,3d10.4d,2D,5/2,3d10.4f,2F*,7/2
Zn,2,Zn II,602.118,602.118,602.12,air,500.0,500,75000000.0,C,101365.9,117969.32,3d10.5p,2P*,1/2,3d10.5d,2D,3/2
Zn,2,Zn II,610.249,610.249,610.25,air,500.0,500,62100000.0,C,101611.4,117993.61,3d10.5p,2P*,3/2,3d10.5d,2D,5/2
Zn,2,Zn II,611.153,611.153,611.16,air,100.0,100,4280000.0,C,101611.4,117969.32,3d10.5p,2P*,3/2,3d10.5d,2D,3/2
Zn,1,Zn I,636.23458,636.23458,636.23458,air,240000.0,240000,47000000.0,C,46745.4032,62458.5323,3d10.4s.4p,1P*,1,3d10.4s.4d,1D,2
Zn,2,Zn II,758.84648,758.84648,758.85,air,300.0,300,54000000.0,D+,88437.15,101611.4,3d10.5s,2S,1/2,3d10.5p,2P*,3/2
Zn,2,Zn II,761.29,761.29,761.28,air,100.0,100,32200000.0,D+,101365.9,114498.02,3d10.5p,2P*,1/2,3d10.6s,2S,1/2
Zn,2,Zn II,773.24886,773.24886,773.26,air,300.0,300,51000000.0,D+,88437.15,101365.9,3d10.5s,2S,1/2,3d10.5p,2P*,1/2
Zn,2,Zn II,775.79,775.79,775.79,air,200.0,200,64000000.0,D+,101611.4,114498.02,3d10.5p,2P*,3/2,3d10.6s,2S,1/2
