element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Zr,3,Zr III,180.5193,180.5193,180.51933,vacuum,8000000.0,8000000,238000000.0,,681.59,56077.32,4d2,3F,3,4d.5p,3F*,3
Zr,3,Zr III,182.2295,182.2295,182.22899,vacuum,40.0,40,667000.0,,681.59,55557.60,4d2,3F,3,4d.5p,3F*,2
Zr,3,Zr III,183.1814,183.1814,183.1808,vacuum,150000.0,150000,5290000.0,,1486.45,56077.32,4d2,3F,4,4d.5p,3F*,3
Zr,3,Zr III,183.2131,183.2131,183.2128,vacuum,200.0,200,28700000.0,,55557.60,110138.94,4d.5p,3F*,2,4d.5d,3P,2
Zr,3,Zr III,183.3054,183.3054,183.3053,vacuum,70.0,70,26300000.0,,56077.32,110631.13,4d.5p,3F*,3,4d.5d,1G,4
Zr,3,Zr III,185.2306,185.2306,185.2306,vacuum,2.0,2,10400000.0,,55615.87,109602.63,4d.5p,3D*,1,4d.5d,3P,1
Zr,3,Zr III,185.3357,185.3357,185.33593,vacuum,150000.0,150000,44000000.0,,5743.39,59699.47,4d2,1D,2,4d.5p,3P*,1
Zr,3,Zr III,185.6967,185.6967,185.6967,vacuum,6.0,6,14200000.0,,59699.47,113550.71,4d.5p,3P*,1,4d.5d,1S,0
Zr,3,Zr III,185.9071,185.9071,185.90716,vacuum,10000.0,10000,13500000.0,,8327.12,62117.41,4d2,3P,1,4d.5p,1P*,1
Zr,3,Zr III,186.1671,186.1671,186.16739,vacuum,10000.0,10000,199000000.0,,55557.60,109272.70,4d.5p,3F*,2,4d.5d,1D,2
Zr,3,Zr III,186.3972,186.3972,186.39718,vacuum,700000.0,700000,121000000.0,,0.00,53648.88,4d2,3F,2,4d.5p,1D*,2
Zr,3,Zr III,186.5379,186.5379,186.5382,vacuum,9000.0,9000,192000000.0,,53648.88,107257.20,4d.5p,1D*,2,4d.5d,3F,2
Zr,3,Zr III,186.5813,186.5813,186.5817,vacuum,200.0,200,76000000.0,,55615.87,109211.69,4d.5p,3D*,1,4d.5d,3P,0
Zr,3,Zr III,187.6963,187.6963,187.69671,vacuum,150000.0,150000,47100000.0,,8839.97,62117.41,4d2,3P,2,4d.5p,1P*,1
Zr,3,Zr III,187.9856,187.9856,187.98625,vacuum,80.0,80,23000000.0,,56077.32,109272.70,4d.5p,3F*,3,4d.5d,1D,2
Zr,3,Zr III,188.0935,188.0935,188.09417,vacuum,1000.0,1000,97000000.0,,56437.77,109602.63,4d.5p,3D*,2,4d.5d,3P,1
Zr,3,Zr III,189.1937,189.1937,189.19478,vacuum,125000.0,125000,279000000.0,,53648.88,106504.46,4d.5p,1D*,2,4d.(2D<5/2>).6s,2[5/2],2
Zr,3,Zr III,189.4289,189.4289,189.42953,vacuum,800.0,800,53400000.0,,57348.86,110138.94,4d.5p,3D*,3,4d.5d,3P,2
Zr,3,Zr III,191.3273,191.3273,191.32751,vacuum,60.0,60,12100000.0,,55557.60,107824.00,4d.5p,3F*,2,4d.5d,3F,3
Zr,3,Zr III,191.4167,191.4167,191.417,vacuum,800.0,800,49200000.0,,56077.32,108319.29,4d.5p,3F*,3,4d.5d,3F,4
Zr,3,Zr III,192.192,192.192,192.19208,vacuum,180000.0,180000,86400000.0,,8327.12,60358.40,4d2,3P,1,4d.5p,3P*,2
Zr,3,Zr III,192.5896,192.5896,192.58976,vacuum,100.0,100,26400000.0,,57348.86,109272.70,4d.5p,3D*,3,4d.5d,1D,2
Zr,3,Zr III,192.6566,192.6566,192.65677,vacuum,75.0,75,17000000.0,,53648.88,105554.66,4d.5p,1D*,2,4d.5d,1P,1
Zr,3,Zr III,193.2492,193.2492,193.24911,vacuum,150000.0,150000,487000000.0,,56077.32,107824.00,4d.5p,3F*,3,4d.5d,3F,3
Zr,3,Zr III,193.4251,193.4251,193.42509,vacuum,12000.0,12000,291000000.0,,55557.60,107257.20,4d.5p,3F*,2,4d.5d,3F,2
Zr,3,Zr III,193.5097,193.5097,193.5099,vacuum,8000.0,8000,180000000.0,,53648.88,105325.82,4d.5p,1D*,2,4d.(2D<3/2>).6s,2[3/2],2
Zr,3,Zr III,193.6433,193.6433,193.64335,vacuum,150000.0,150000,1100000000.0,,55615.87,107257.20,4d.5p,3D*,1,4d.5d,3F,2
Zr,3,Zr III,193.6638,193.6638,193.6639,vacuum,200000.0,200000,97700000.0,,8063.63,59699.47,4d2,3P,0,4d.5p,3P*,1
Zr,3,Zr III,193.7215,193.7215,193.72145,vacuum,200000.0,200000,411000000.0,,8327.12,59947.63,4d2,3P,1,4d.5p,3P*,0
Zr,3,Zr III,193.7784,193.7784,193.77791,vacuum,50.0,50,224000.0,,5743.39,57348.86,4d2,1D,2,4d.5p,3D*,3
Zr,3,Zr III,194.0234,194.0234,194.02357,vacuum,8000000.0,8000000,233000000.0,,11050.57,62590.70,4d2,1G,4,4d.5p,1F*,3
Zr,3,Zr III,194.1055,194.1055,194.10529,vacuum,2500000.0,2500000,326000000.0,,8839.97,60358.40,4d2,3P,2,4d.5p,3P*,2
Zr,3,Zr III,194.4266,194.4266,194.4266,vacuum,1500.0,1500,248000000.0,,62117.41,113550.71,4d.5p,1P*,1,4d.5d,1S,0
Zr,3,Zr III,194.6048,194.6048,194.60466,vacuum,200000.0,200000,995000000.0,,56437.77,107824.00,4d.5p,3D*,2,4d.5d,3F,3
Zr,3,Zr III,194.6573,194.6573,194.65724,vacuum,250000.0,250000,100000000.0,,8327.12,59699.47,4d2,3P,1,4d.5p,3P*,1
Zr,3,Zr III,194.6908,194.6908,194.6909,vacuum,10000.0,10000,197000000.0,,53648.88,105012.34,4d.5p,1D*,2,4d.(2D<3/2>).6s,2[3/2],1
Zr,3,Zr III,195.1824,195.1824,195.18281,vacuum,5.0,5,17300000.0,,53648.88,104882.90,4d.5p,1D*,2,4d.5d,3D,3
Zr,3,Zr III,195.3893,195.3893,195.38928,vacuum,100.0,100,30500000.0,,56077.32,107257.20,4d.5p,3F*,3,4d.5d,3F,2
Zr,3,Zr III,196.1239,196.1239,196.12416,vacuum,10000.0,10000,244000000.0,,53648.88,104636.99,4d.5p,1D*,2,4d.5d,3G,3
Zr,3,Zr III,196.1923,196.1923,196.1922,vacuum,400000.0,400000,1020000000.0,,57348.86,108319.29,4d.5p,3D*,3,4d.5d,3F,4
Zr,3,Zr III,196.2829,196.2829,196.28295,vacuum,8000.0,8000,165000000.0,,55557.60,106504.46,4d.5p,3F*,2,4d.(2D<5/2>).6s,2[5/2],2
Zr,3,Zr III,196.5077,196.5077,196.5077,vacuum,50.0,50,48300000.0,,55615.87,106504.46,4d.5p,3D*,1,4d.(2D<5/2>).6s,2[5/2],2
Zr,3,Zr III,196.6198,196.6198,196.6201,vacuum,400000.0,400000,122000000.0,,8839.97,59699.47,4d2,3P,2,4d.5p,3P*,1
Zr,3,Zr III,196.775,196.775,196.77513,vacuum,600.0,600,85400000.0,,56437.77,107257.20,4d.5p,3D*,2,4d.5d,3F,2
Zr,3,Zr III,197.2604,197.2604,197.26052,vacuum,50.0,50,6660.0,,5743.39,56437.77,4d2,1D,2,4d.5p,3D*,2
Zr,3,Zr III,197.4913,197.4913,197.4912,vacuum,200000.0,200000,422000000.0,,57684.12,108319.29,4d.5p,3F*,4,4d.5d,3F,4
Zr,3,Zr III,198.1174,198.1174,198.11733,vacuum,80.0,80,36400000.0,,57348.86,107824.00,4d.5p,3D*,3,4d.5d,3F,3
Zr,3,Zr III,198.1685,198.1685,198.16884,vacuum,120.0,120,37800000.0,,53648.88,104110.90,4d.5p,1D*,2,4d.5d,3D,2
Zr,3,Zr III,198.2574,198.2574,198.25744,vacuum,50.0,50,57400000.0,,59699.47,110138.94,4d.5p,3P*,1,4d.5d,3P,2
Zr,3,Zr III,198.3057,198.3057,198.30591,vacuum,4000.0,4000,84300000.0,,56077.32,106504.46,4d.5p,3F*,3,4d.(2D<5/2>).6s,2[5/2],2
Zr,3,Zr III,198.6731,198.6731,198.67314,vacuum,100.0,100,742000.0,,5743.39,56077.32,4d2,1D,2,4d.5p,3F*,3
Zr,3,Zr III,198.9786,198.9786,198.9788,vacuum,400000.0,400000,1120000000.0,,48506.59,98763.19,5s2,1S,0,5s.5p,1P*,1
Zr,3,Zr III,199.0879,199.0879,199.08806,vacuum,5000.0,5000,86100000.0,,56077.32,106306.35,4d.5p,3F*,3,4d.(2D<5/2>).6s,2[5/2],3
Zr,3,Zr III,199.442,199.442,199.442,vacuum,1000.0,1000,42400000.0,,57684.12,107824.00,4d.5p,3F*,4,4d.5d,3F,3
Zr,3,Zr III,199.6943,199.6943,199.694,vacuum,15.0,15,11400000.0,,53648.88,103725.49,4d.5p,1D*,2,4d.5d,3D,1
Zr,3,Zr III,199.9472,199.9472,199.94697,air,10000.0,10000,188000000.0,,55557.60,105554.66,4d.5p,3F*,2,4d.5d,1P,1
Zr,3,Zr III,200.1911,200.1911,200.19097,air,400000.0,400000,949000000.0,,53648.88,103585.01,4d.5p,1D*,2,4d.5d,1F,3
Zr,3,Zr III,200.3232,200.3232,200.32325,air,800.0,800,108000000.0,,59699.47,109602.63,4d.5p,3P*,1,4d.5d,3P,1
Zr,3,Zr III,200.4469,200.4469,200.4465,air,2.0,2,397000.0,,5743.39,55615.87,4d2,1D,2,4d.5p,3D*,1
Zr,3,Zr III,200.462,200.462,200.46218,air,10.0,10,7420000.0,,56437.77,106306.35,4d.5p,3D*,2,4d.(2D<5/2>).6s,2[5/2],3
Zr,3,Zr III,200.6812,200.6812,200.68101,air,1000000.0,1000000,228000000.0,,5743.39,55557.60,4d2,1D,2,4d.5p,3F*,2
Zr,3,Zr III,200.8171,200.8171,200.81676,air,200000.0,200000,490000000.0,,60358.40,110138.94,4d.5p,3P*,2,4d.5d,3P,2
Zr,3,Zr III,201.3251,201.3251,201.32455,air,1000.0,1000,479000000.0,,59947.63,109602.63,4d.5p,3P*,0,4d.5d,3P,1
Zr,3,Zr III,201.6569,201.6569,201.65668,air,4000.0,4000,250000000.0,,59699.47,109272.70,4d.5p,3P*,1,4d.5d,1D,2
Zr,3,Zr III,201.9055,201.9055,201.9052,air,2500.0,2500,189000000.0,,59699.47,109211.69,4d.5p,3P*,1,4d.5d,3P,0
Zr,3,Zr III,202.1402,202.1402,202.13991,air,2000.0,2000,66500000.0,,55557.60,105012.34,4d.5p,3F*,2,4d.(2D<3/2>).6s,2[3/2],1
Zr,3,Zr III,202.3785,202.3785,202.37839,air,7.0,7,1950000.0,,55615.87,105012.34,4d.5p,3D*,1,4d.(2D<3/2>).6s,2[3/2],1
