element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Mg,3,Mg III,180.0662,180.0662,180.065,vacuum,15.0,15,821000000.0,A,477435.7,532971.2,2s2.2p5.3p,1D,2,2s2.2p5.3d,1F*,3
Co,3,Co III,180.0745,,180.0745,vacuum,,,63.0,C,841.36,56373.944,3d7,a 4F,7/2,3d6.(5D).4s,a 4D,5/2
N,3,N III,180.08,,180.08,vacuum,,,70600000.0,C+,332826.0,388356.8,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,3/2
Hg,2,Hg II,180.0815,180.0815,180.081392,vacuum,1500.0,1500,12000000.0,,50555.567,106086.013,5d9.6s2,2D,3/2,5d9.6s.6p,"(2D<5/2>,1P<1>)*",3/2
Fe,2,Fe II,180.08273,180.08273,180.082715,vacuum,3600.0,3600,1300000.0,D,54232.201,109762.239,3d5.4s2,b 4G,11/2,3d6.(3H).5p,4I*,11/2
Co,3,Co III,180.09595,180.09595,180.0939,vacuum,1200.0,1200*,560000000.0,C+,116440.00,171966.6,3d6.(1G1).4s,d 2G,7/2,3d6.(1G1).4p,s 2F*,5/2
Co,3,Co III,180.09595,180.09595,180.0974,vacuum,1200.0,1200*,100000000.0,D+,83791.34,139316.85,3d6.(3D).4s,b 4D,1/2,3d6.(3D).4p,x 4P*,1/2
Co,3,Co III,180.1028,180.1028,180.10306,vacuum,600.0,600,110000000.0,D+,76792.604,132316.37,3d6.(3P2).4s,b 2P,3/2,3d6.(3P2).4p,z 2S*,1/2
Re,3,Re III,180.10843,180.10843,180.1088,vacuum,440.0,440,142000000.0,,53402.71,108924.72,5d4.(3H).6s,2H,11/2,5d4.6p,108924*,11/2
Re,3,Re III,180.111,180.111,180.1103,vacuum,366.0,366,15000000.0,,36927.52,92449.06,5d5,2H,11/2,5d4.6p,92449*,9/2
Os,3,Os III,180.11256,180.11256,180.1119,vacuum,611.0,611,60900000.0,,28702.51,84223.56,5d5.(4G).6s,5G,5,5d5.(4G).6p,5F*,5
Fe,2,Fe II,180.11284,180.11284,180.112841,vacuum,6000.0,6000,8000000.0,E,54273.656,109794.406,3d5.4s2,b 4G,9/2,3d5.(2G2).4s.4p.(3P*),4H*,11/2
Fe,3,Fe III,180.12403,,180.12403,vacuum,,,19.0,D+,50411.95,105929.25,3d6,b 3P,2,3d5.(b 2D).4s,3D,3
Re,3,Re III,180.14042,180.14042,180.1408,vacuum,35.0,35,37500000.0,,39595.72,95107.85,5d4.(5D).6s,4D,5/2,,95107*,3/2
N,3,N III,180.164,,180.164,vacuum,,,47000000.0,C+,332804.4,388309.3,2s.2p.(3P*).3d,4D*,3/2,2s.2p.(3P*).4f,4D,5/2
Fe,3,Fe III,180.1787,180.1787,180.17856,vacuum,53000.0,53000,130000000.0,D+,93512.71,149013.21,3d5.(a 2G).4s,1G,4,3d5.(2H).4p,1G*,4
Cs,3,Cs III,180.18297,180.18297,180.18302,vacuum,6000.0,6000,23800000.0,,120782.636,176281.761,5s2.5p4.(3P<2>).5d,2[3],7/2,5s2.5p4.(3P<1>).6p,2[2]*,5/2
Co,2,Co II,180.1909,180.1909,180.19153,vacuum,350.0,350d,1300000.0,E,27902.161,83398.664,3d7.(2H).4s,a 3H,4,3d7.(2F).4p,w 3G*,4
Fe,3,Fe III,180.1961,,180.1961,vacuum,,,25.0,C,21461.92,76957.02,3d6,a 3F,4,3d5.(4D).4s,3D,3
Fe,3,Fe III,180.19862,,180.19862,vacuum,,,16.0,D+,50411.95,105906.27,3d6,b 3P,2,3d5.(b 2D).4s,3D,2
Fe,2,Fe II,180.205,180.205,180.205146,vacuum,700.0,700,3900000.0,D,47626.110,103118.421,3d6.(5D).4p,z 4P*,1/2,3d6.(5D).6s,4D,3/2
Re,3,Re III,180.21002,180.21002,180.2101,vacuum,36.0,36,25000000.0,,41210.25,96701.04,5d5,2D2,3/2,5d4.6p,96701*,3/2
Fe,2,Fe II,180.217,180.217,180.217253,vacuum,360.0,360d?,29000000.0,E,54273.656,109762.239,3d5.4s2,b 4G,9/2,3d6.(3H).5p,4I*,11/2
Ga,2,Ga II,180.2251,180.2251,180.225,vacuum,15.0,15,1460000000.0,,70701.427,126187.61,4s.4p,1P*,1,4s.4d,1D,2
Os,3,Os III,180.2302,180.2302,180.2304,vacuum,72.0,72,17100000.0,,21136.37,76620.91,5d6,3D,2,5d5.6p,76620*,3
N,3,N III,180.234,,180.234,vacuum,,,115000000.0,C+,332826.0,388309.3,2s.2p.(3P*).3d,4D*,5/2,2s.2p.(3P*).4f,4D,5/2
Co,3,Co III,180.2621,180.2621,180.2621,vacuum,99.0,99,36000000.0,D+,112108.471,167583.25,3d6.(3F1).4s,d 2F,5/2,3d6.(3P1).4p,v 2P*,3/2
Re,3,Re III,180.28501,180.28501,180.2847,vacuum,578.0,578,100000000.0,,45608.03,101075.86,,45608,7/2,,101075*,7/2
Co,3,Co III,180.29158,180.29158,180.29123,vacuum,340.0,340,22000000.0,D+,77122.520,132588.334,3d6.(3G).4s,a 4G,9/2,3d6.(3G).4p,y 4H*,9/2
Si,3,Si III,180.3018,,180.3018,vacuum,,,127000000.0,C,159069.61,214532.17,3s.4s,1S,0,3s.5p,1P*,1
