element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Al,2,"=""181.8352""","=""181.8355""","=""50""","=""5.45e+08""",B+,"=""95549.42""","=""150544.17""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3D*""","=""3""",7,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""181.8392""","=""181.8391""","=""3""","=""6.82e+07""",C+,"=""95550.51""","=""150544.17""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""3""",5,7,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""""","=""181.9249""","=""""","=""9.54e+07""",C+,"=""95549.42""","=""150517.17""","=""3s.3d""","=""3D""","=""3""","=""3p.3d""","=""3D*""","=""2""",7,5,,"=""T6298c4,LS""","=""""",
Al,2,"=""181.9285""","=""181.9285""","=""1""","=""4.25e+08""",B,"=""95550.51""","=""150517.17""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""2""",5,5,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""""","=""181.9315""","=""""","=""9.17e+07""",C+,"=""95551.44""","=""150517.17""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3D*""","=""2""",3,5,,"=""T6298c4,LS""","=""""",
Al,2,"=""""","=""182.0092""","=""""","=""1.53e+08""",C+,"=""95550.51""","=""150492.80""","=""3s.3d""","=""3D""","=""2""","=""3p.3d""","=""3D*""","=""1""",5,3,,"=""T6298c4,LS""","=""""",
Al,2,"=""182.0124""","=""182.0122""","=""2""","=""4.57e+08""",B,"=""95551.44""","=""150492.80""","=""3s.3d""","=""3D""","=""1""","=""3p.3d""","=""3D*""","=""1""",3,3,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""182.85876""","=""182.8587""","=""290""","=""4.72e+08""",B,"=""91274.50""","=""145961.54""","=""3s.4s""","=""3S""","=""1""","=""3p.4s""","=""3P*""","=""2""",3,5,,"=""T6298c4,LS""","=""L3460""",
Al,2,"=""183.28374""","=""183.2838""","=""225""","=""4.69e+08""",B,"=""91274.50""","=""145834.70""","=""3s.4s""","=""3S""","=""1""","=""3p.4s""","=""3P*""","=""1""",3,3,,"=""T6298c4,LS""","=""L3460""",
Al,2,"=""183.48077""","=""183.4807""","=""170""","=""4.67e+08""",C+,"=""91274.50""","=""145776.15""","=""3s.4s""","=""3S""","=""1""","=""3p.4s""","=""3P*""","=""0""",3,1,,"=""T6298c4,LS""","=""L3460""",
Al,2,"=""183.69635""","=""183.6965""","=""60""","=""4.03e+07""",C,"=""85481.35""","=""139918.98""","=""3p2""","=""1D""","=""2""","=""3s.7p""","=""1P*""","=""1""",5,3,,"=""T6533""","=""L3460""",
Al,3,"=""185.47164""","=""185.4716""","=""1000g""","=""5.44e+08""",A+,"=""0.00""","=""53916.60""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.3p""","=""2P*""","=""3/2""",2,4,,"=""c32""","=""L277""",
Al,2,"=""185.59286""","=""185.5926""","=""190""","=""8.38e+07""",B+,"=""37393.03""","=""91274.50""","=""3s.3p""","=""3P*""","=""0""","=""3s.4s""","=""3S""","=""1""",1,3,,"=""c47""","=""L3460""",
Al,2,"=""185.80262""","=""185.8025""","=""315""","=""2.49e+08""",A,"=""37453.91""","=""91274.50""","=""3s.3p""","=""3P*""","=""1""","=""3s.4s""","=""3S""","=""1""",3,3,,"=""c47""","=""L3460""",
Al,2,"=""185.99796""","=""185.99809""","=""110""","=""8.68e+07""",B,"=""85481.35""","=""139245.343""","=""3p2""","=""1D""","=""2""","=""3s.6f""","=""1F*""","=""3""",5,7,,"=""T6533""","=""L3460""",
Al,2,"=""186.23111""","=""186.2311""","=""400""","=""4.08e+08""",A,"=""37577.79""","=""91274.50""","=""3s.3p""","=""3P*""","=""2""","=""3s.4s""","=""3S""","=""1""",5,3,,"=""c47""","=""L3460""",
Al,3,"=""186.27895""","=""186.2790""","=""600g""","=""5.36e+08""",A+,"=""0.00""","=""53682.93""","=""2p6.3s""","=""2S""","=""1/2""","=""2p6.3p""","=""2P*""","=""1/2""",2,2,,"=""c32""","=""L277""",
Al,2,"=""190.4326""","=""190.4327""","=""8""","=""2.7e+08""",D,"=""94084.96""","=""146596.95""","=""3p2""","=""3P""","=""0""","=""3s.10p""","=""3P*""","=""1""",1,3,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""190.64082""","=""190.6409""","=""25""","=""2.0e+08""",D,"=""94147.46""","=""146602.10""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""2""",3,5,,"=""T6298c4,LS""","=""L3460""",
Al,2,"=""190.6596""","=""190.6596""","=""4""","=""2.0e+08""",D,"=""94147.46""","=""146596.95""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""1""",3,3,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""190.6674""","=""190.6673""","=""8""","=""8.2e+08""",D,"=""94147.46""","=""146594.85""","=""3p2""","=""3P""","=""1""","=""3s.10p""","=""3P*""","=""0""",3,1,,"=""T6298c4,LS""","=""L4575""",
Al,2,"=""191.08252""","=""191.0825""","=""80""","=""5.8e+08""",D,"=""94268.68""","=""146602.10""","=""3p2""","=""3P""","=""2""","=""3s.10p""","=""3P*""","=""2""",5,5,,"=""T6298c4,LS""","=""L3460""",
Al,2,"=""191.1013""","=""191.1013""","=""15""","=""3.4e+08""",D,"=""94268.68""","=""146596.95""","=""3p2""","=""3P""","=""2""","=""3s.10p""","=""3P*""","=""1""",5,3,,"=""T6298c4,LS""","=""L4575""",
Al,3,"=""""","=""191.1817""","=""""","=""3.45e+06""",A,"=""126164.05""","=""178470.32""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""3/2""",2,4,,"=""c32""","=""""",
Al,3,"=""""","=""191.3166""","=""""","=""3.75e+06""",A,"=""126164.05""","=""178433.43""","=""2p6.4s""","=""2S""","=""1/2""","=""2p6.5p""","=""2P*""","=""1/2""",2,2,,"=""c32""","=""""",
Al,2,"=""192.99775""","=""192.9977""","=""150""","=""1.15e+08""",C+,"=""94147.46""","=""145961.54""","=""3p2""","=""3P""","=""1""","=""3p.4s""","=""3P*""","=""2""",3,5,,"=""T6298c4,LS""","=""L3460""",
