element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
B,1,"=""181.784370""","=""0.000017""","=""181.784357""","=""0.000008""","=""20""","=""3.12e+07""",B+,"=""0.0000""","=""55010.2338""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.4s""","=""2S""","=""1/2""",2,2,,"=""T7192""","=""u29""",
B,1,"=""181.834891""","=""0.000017""","=""181.834888""","=""0.000009""","=""30""","=""6.22e+07""",B+,"=""15.287""","=""55010.2338""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.4s""","=""2S""","=""1/2""",4,2,,"=""T7192""","=""u29""",
B,1,"=""182.589390""","=""0.000017""","=""182.589392""","=""0.000009""","=""70""","=""1.70e+08""",A,"=""0.0000""","=""54767.6944""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s2.3d""","=""2D""","=""3/2""",2,4,,"=""T7194""","=""u29""",
B,1,"=""182.639952""","=""0.000017""","=""182.639890""","=""0.000010""","=""100""","=""2.04e+08""",A,"=""15.287""","=""54767.8387""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""5/2""",4,6,,"=""T7194""","=""u29""",
B,1,"=""""","=""""","=""182.640371""","=""0.000009""","=""m""","=""3.39e+07""",A,"=""15.287""","=""54767.6944""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s2.3d""","=""2D""","=""3/2""",4,4,,"=""T7194""","=""u29""",
B,2,"=""184.2820""","=""0.0001""","=""184.28193""","=""0.00007""","=""2000""","=""1.33e+09""",A,"=""73396.510""","=""127661.19""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s2.2p2""","=""1S""","=""0""",3,1,,"=""T7096""","=""L12120""",
B,2,"=""184.828""","=""0.005""","=""184.8275""","=""0.0020""","=""18""","=""1.67e+08""",B,"=""127661.19""","=""181765.7""","=""1s2.2p2""","=""1S""","=""0""","=""1s2.2s.5p""","=""1P*""","=""1""",1,3,,"=""u27""","=""L12120""",
B,2,"=""""","=""""","=""185.7183""","=""0.0010""","=""""","=""4.5e+06""",D,"=""129773.83""","=""183618.81""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""2""",3,5,,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""185.7183""","=""0.0014""","=""""","=""4.4e+06""",D,"=""129773.83""","=""183618.81""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""1""",3,3,,"=""u27,LS""","=""""",
B,2,"=""""","=""""","=""185.7183""","=""0.0017""","=""""","=""4.4e+06""",D,"=""129773.83""","=""183618.81""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.5p""","=""3P*""","=""0""",3,1,,"=""u27,LS""","=""""",
B,2,"=""189.121""","=""0.005""","=""189.1194""","=""0.0018""","=""25""","=""2.74e+07""",C,"=""144102.94""","=""196979.6""","=""1s2.2s.3p""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1D""","=""2""",3,5,,"=""u27""","=""L12120""",
B,2,"=""192.6670""","=""0.0010""","=""192.6674""","=""0.0011""","=""350""","=""2.24e+08""",B,"=""129773.83""","=""181676.76""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2p.3s""","=""3P*""","=""2""",3,5,,"=""u27,LS""","=""L12120""",
B,2,"=""192.7462""","=""0.0010""","=""192.7461""","=""0.0011""","=""280""","=""2.24e+08""",B,"=""129773.83""","=""181655.55""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2p.3s""","=""3P*""","=""1""",3,3,,"=""u27,LS""","=""L12120""",
