element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Be,3,"=""""","=""""","=""191.649""","=""0.021""","=""""","=""1.9561e+08""",AAA,"=""[1127716.0]""","=""[1179894.7]""","=""1s.3s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
Be,1,"=""192.967""","=""0.005""","=""192.965""","=""0.009""","=""7*""","=""5.12e+06""",B,"=""21978.925""","=""73801.8""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""2""",3,5,,"=""u28""","=""L7412""",
Be,1,"=""192.967""","=""0.005""","=""192.966""","=""0.011""","=""7*""","=""3.79e+06""",B,"=""21978.31""","=""73801""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.9d""","=""3D""","=""1""",1,3,,"=""u28""","=""L7412""",
Be,1,"=""192.967""","=""0.005""","=""192.967""","=""0.007""","=""7*""","=""6.81e+06""",B,"=""21981.26""","=""73803.6""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""3""",5,7,,"=""u28""","=""L7412""",
Be,1,"=""192.967""","=""0.005""","=""192.968""","=""0.011""","=""7*""","=""2.85e+06""",B,"=""21978.925""","=""73801""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s2.2s.9d""","=""3D""","=""1""",3,3,,"=""u28""","=""L7412""",
Be,1,"=""192.967""","=""0.005""","=""192.974""","=""0.009""","=""7*""","=""1.71e+06""",B,"=""21981.26""","=""73801.8""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""2""",5,5,,"=""u28""","=""L7412""",
Be,1,"=""192.967""","=""0.005""","=""192.977""","=""0.011""","=""7*""","=""1.90e+05""",B,"=""21981.26""","=""73801""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s2.2s.9d""","=""3D""","=""1""",5,3,,"=""u28""","=""L7412""",
Be,3,"=""""","=""""","=""193.067""","=""0.019""","=""""","=""3.2254e+03""",AAA,"=""[1127716.0]""","=""[1179511.40]""","=""1s.3s""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
Be,1,"=""194.368""","=""0.005""","=""194.3592""","=""0.0006""","=""11*""","=""5.43e+06""",B,"=""21978.31""","=""73429.43""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s2.2s.8d""","=""3D""","=""1""",1,3,,"=""u28""","=""L7412""",
