element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Br,1,"=""436.5139""","=""0.0006""","=""436.515+""","=""2000""","=""1.5e+06""",D+,"=""66883.87""","=""89786.18""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<2>).7p""","=""2[1]*""","=""3/2""",2,4,,"=""T1857n""","=""L351""",
Br,1,"=""442.5140""","=""0.0006""","=""442.513+""","=""1500""","=""9.e+05""",D+,"=""64907.19""","=""87499.03""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(1D<2>).5p""","=""2[1]*""","=""1/2""",4,2,,"=""T1857n""","=""L351""",
Br,1,"=""444.1740""","=""0.0006""","=""444.173+""","=""10000""","=""1.5e+06""",C,"=""63436.45""","=""85943.86""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[1]*""","=""3/2""",6,4,,"=""T6936n,T9382""","=""L351""",
Br,1,"=""447.2609""","=""0.0006""","=""447.260+""","=""10000""","=""2.2e+06""",D,"=""64907.19""","=""87259.29""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""3/2""","=""4s2.4p4.(1D<2>).5p""","=""2[1]*""","=""3/2""",4,4,,"=""T6936n,T9382""","=""L351""",
Br,1,"=""447.7720""","=""0.0006""","=""447.772+""","=""20000""","=""2.1e+06""",C,"=""63436.45""","=""85762.98""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",6,8,,"=""T6936n,T9382""","=""L351""",
Br,1,"=""449.0419""","=""0.0006""","=""449.041+""","=""1000""","=""1.6e+06""",E,"=""66883.87""","=""89147.30""","=""4s2.4p4.(3P<1>).5s""","=""2[1]""","=""1/2""","=""4s2.4p4.(3P<1>).6p""","=""2[1]*""","=""1/2""",2,2,,"=""T1857n""","=""L351""",
Br,1,"=""451.3439""","=""0.0006""","=""451.344+""","=""3000""","=""5.7e+05""",D+,"=""63436.45""","=""85586.30""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""3/2""",6,4,,"=""T1857n""","=""L351""",
Br,1,"=""452.5590""","=""0.0006""","=""452.559+""","=""15000""","=""1.5e+06""",D+,"=""63436.45""","=""85526.82""","=""4s2.4p4.(3P<2>).5s""","=""2[2]""","=""5/2""","=""4s2.4p4.(3P<2>).6p""","=""2[2]*""","=""5/2""",6,6,,"=""T1857n""","=""L351""",
Br,2,"=""470.485""","=""""","=""""","=""500""","=""1.1e+08""",,"=""""","=""""","=""""","=""""","=""2""","=""""","=""""","=""3""",5,7,,"=""T8043""","=""L7484""",
Br,2,"=""478.550""","=""""","=""""","=""500""","=""9.4e+07""",,"=""""","=""""","=""""","=""""","=""2""","=""""","=""""","=""2""",5,5,,"=""T8043""","=""L7484""",
