element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
C,3,"=""""","=""""","=""180.517""","=""""","=""""","=""2.90e+05""",C,"=""308216.58""","=""363613""","=""1s2.2p.(2P*).3s""","=""3P*""","=""0""","=""1s2.2s.7s""","=""3S""","=""1""",1,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""180.622""","=""""","=""""","=""8.67e+05""",C+,"=""308248.91""","=""363613""","=""1s2.2p.(2P*).3s""","=""3P*""","=""1""","=""1s2.2s.7s""","=""3S""","=""1""",3,3,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""180.846""","=""""","=""""","=""1.44e+06""",B,"=""308317.29""","=""363613""","=""1s2.2p.(2P*).3s""","=""3P*""","=""2""","=""1s2.2s.7s""","=""3S""","=""1""",5,3,,"=""T5633LS""","=""""",
C,2,"=""""","=""""","=""185.1559""","=""0.0005""","=""""","=""7.55e+06""",B,"=""131724.382""","=""185732.93""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.7s""","=""2S""","=""1/2""",2,2,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""185.1941""","=""0.0005""","=""""","=""1.51e+07""",B,"=""131735.528""","=""185732.93""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.7s""","=""2S""","=""1/2""",4,2,,"=""T5109LS""","=""""",
C,3,"=""""","=""""","=""188.060""","=""""","=""""","=""3.28e+07""",B,"=""311721.51""","=""364896""","=""1s2.2s.4s""","=""1S""","=""0""","=""1s2.2s.7p""","=""1P*""","=""1""",1,3,,"=""T5633""","=""""",
C,2,"=""""","=""""","=""189.08235""","=""0.00014""","=""""","=""4.6e+04""",D,"=""145549.25""","=""198436.26""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""189.08753""","=""0.00014""","=""""","=""6.44e+05""",B,"=""145550.70""","=""198436.26""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""189.12090""","=""0.00014""","=""""","=""6.2e+05""",C+,"=""145549.25""","=""198425.48""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).3d""","=""2D*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
