element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ca,2,"=""180.734""","=""""","=""180.7337""","=""""","=""20""","=""4.12e+07""",C,"=""25191.51""","=""80521.53""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.6d""","=""2D""","=""3/2""",2,4,,"=""u7,LS""","=""L7256""",
Ca,3,"=""180.7885""","=""0.0008""","=""180.7882""","=""0.0006""","=""3700""","=""2.21e+08""",B,"=""225826.22""","=""281139.55""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""1P""","=""1""",5,3,,"=""T7942""","=""L262""",
Ca,3,"=""181.2153""","=""0.0008""","=""181.2157""","=""0.0004""","=""4700""","=""2.10e+08""",B,"=""227388.56""","=""282571.43""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""3P""","=""1""",5,3,,"=""T7942""","=""L262""",
Ca,3,"=""181.3585""","=""0.0008""","=""181.3588""","=""0.0005""","=""2100""","=""4.1e+07""",C,"=""227432.11""","=""282571.43""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""3P""","=""1""",3,3,,"=""T7942""","=""L262""",
Ca,2,"=""181.450""","=""""","=""181.4495""","=""""","=""40""","=""4.86e+07""",C,"=""25414.40""","=""80526.16""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6d""","=""2D""","=""5/2""",4,6,,"=""u7,LS""","=""L7256""",
Ca,2,"=""181.465""","=""""","=""181.4647""","=""""","=""4""","=""7.0e+06""",C,"=""25414.40""","=""80521.53""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.6d""","=""2D""","=""3/2""",4,4,,"=""T8043""","=""L7256""",
Ca,3,"=""183.0059""","=""0.0008""","=""183.0059""","=""0.0004""","=""2600""","=""2.6e+08""",B,"=""227432.11""","=""282075.15""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""3P""","=""0""",3,1,,"=""T7942""","=""L262""",
Ca,2,"=""183.801""","=""""","=""183.8008""","=""""","=""40""","=""2.44e+08""",C,"=""13650.19""","=""68056.91""","=""3p6.3d""","=""2D""","=""3/2""","=""3p6.4f""","=""2F*""","=""5/2""",4,6,,"=""u7,LS""","=""L7256""",
Ca,2,"=""184.006""","=""""","=""184.0061""","=""""","=""60*""","=""1.73e+07""",C,"=""13710.88""","=""68056.91""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.4f""","=""2F*""","=""5/2""",6,6,,"=""u7,LS""","=""L7256""",
Ca,2,"=""184.006""","=""""","=""184.0061""","=""""","=""60*""","=""2.60e+08""",C,"=""13710.88""","=""68056.91""","=""3p6.3d""","=""2D""","=""5/2""","=""3p6.4f""","=""2F*""","=""7/2""",6,8,,"=""u7,LS""","=""L7256""",
Ca,2,"=""184.309""","=""""","=""184.3088""","=""""","=""20""","=""1.55e+07""",C,"=""25191.51""","=""79448.28""","=""3p6.4p""","=""2P*""","=""1/2""","=""3p6.7s""","=""2S""","=""1/2""",2,2,,"=""u7,LS""","=""L7256""",
Ca,3,"=""184.5775""","=""0.0008""","=""184.5779""","=""0.0004""","=""1100""","=""1.89e+08""",B,"=""282571.43""","=""336749.11""","=""3s2.3p5.4p""","=""3P""","=""1""","=""3s2.3p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",3,3,,"=""u33""","=""L262""",
Ca,2,"=""185.069""","=""""","=""185.0691""","=""""","=""40""","=""3.08e+07""",C,"=""25414.40""","=""79448.28""","=""3p6.4p""","=""2P*""","=""3/2""","=""3p6.7s""","=""2S""","=""1/2""",4,2,,"=""u7,LS""","=""L7256""",
Ca,3,"=""""","=""""","=""185.4751""","=""0.0006""","=""""","=""1.0e+07""",D+,"=""225826.22""","=""279741.80""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""1D""","=""2""",5,5,,"=""T7942""","=""""",
Ca,3,"=""186.0432""","=""0.0008""","=""186.0431""","=""0.0004""","=""1400""","=""1.1e+07""",D+,"=""227388.56""","=""281139.55""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""1P""","=""1""",5,3,,"=""T7942""","=""L262""",
Ca,3,"=""187.0263""","=""0.0008""","=""187.0267""","=""0.0004""","=""4100""","=""1.67e+08""",B,"=""228413.95""","=""281882.24""","=""3s2.3p5.3d""","=""1F*""","=""3""","=""3s2.3p5.4p""","=""3P""","=""2""",7,5,,"=""T7942""","=""L262""",
Ca,3,"=""187.2367""","=""0.0008""","=""187.2370""","=""0.0005""","=""4100""","=""1.50e+08""",B,"=""226333.56""","=""279741.80""","=""3s2.3p5.3d""","=""3D*""","=""3""","=""3s2.3p5.4p""","=""1D""","=""2""",7,5,,"=""T7942""","=""L262""",
Ca,3,"=""189.4124""","=""0.0008""","=""189.4126""","=""0.0006""","=""1300""","=""2.0e+07""",C,"=""225826.22""","=""278621.01""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""1""",5,3,,"=""T7942""","=""L262""",
Ca,3,"=""190.7385""","=""0.0008""","=""190.7383""","=""0.0003""","=""1000""","=""2.0e+08""",C,"=""278621.01""","=""331048.86""","=""3s2.3p5.4p""","=""3D""","=""1""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""",3,1,,"=""u33""","=""L262""",
Ca,3,"=""191.0097""","=""0.0008""","=""191.0101""","=""0.0004""","=""1700""","=""3.8e+07""",B,"=""227388.56""","=""279741.80""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""1D""","=""2""",5,5,,"=""T7942""","=""L262""",
Ca,3,"=""191.1692""","=""0.0008""","=""191.1692""","=""0.0005""","=""1000""","=""2.3e+06""",C,"=""227432.11""","=""279741.80""","=""3s2.3p5.3d""","=""3D*""","=""1""","=""3s2.3p5.4p""","=""1D""","=""2""",3,5,,"=""T7942""","=""L262""",
Ca,3,"=""""","=""""","=""193.56812""","=""0.00022""","=""m(Al III)""","=""9.8e+07""",B,"=""279741.80""","=""331403.20""","=""3s2.3p5.4p""","=""1D""","=""2""","=""3s2.3p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""",5,3,,"=""u33""","=""L262""",
Ca,3,"=""193.9683""","=""0.0008""","=""193.9690""","=""0.0006""","=""1200""","=""1.8e+07""",C,"=""225826.22""","=""277380.86""","=""3s2.3p5.3d""","=""1D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""2""",5,5,,"=""T7942""","=""L262""",
Ca,3,"=""194.3012""","=""0.0008""","=""194.3017""","=""0.0003""","=""1600""","=""4.9e+08""",B,"=""272188.70""","=""323655.06""","=""3s2.3p5.4p""","=""3S""","=""1""","=""3s2.3p5.(2P*<3/2>).4d""","=""2[3/2]*""","=""2""",3,5,,"=""u33""","=""L262""",
Ca,3,"=""194.8257""","=""0.0008""","=""194.8260""","=""0.0005""","=""2000""","=""5.7e+07""",B,"=""228413.95""","=""279741.80""","=""3s2.3p5.3d""","=""1F*""","=""3""","=""3s2.3p5.4p""","=""1D""","=""2""",7,5,,"=""T7942""","=""L262""",
Ca,3,"=""195.1888""","=""0.0008""","=""195.1888""","=""0.0004""","=""240""","=""1.8e+06""",D+,"=""227388.56""","=""278621.01""","=""3s2.3p5.3d""","=""3D*""","=""2""","=""3s2.3p5.4p""","=""3D""","=""1""",5,3,,"=""T7942""","=""L262""",
