element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""""","=""""","=""180.0745""","=""0.0004""","=""""","=""6.3e+01""",C,"=""841.36""","=""56373.944""","=""3d7""","=""a 4F""","=""7/2""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""",8,6,E2,"=""u37""","=""""",
Co,3,"=""180.09595""","=""0.00015""","=""180.0939""","=""0.0013""","=""1200*""","=""5.6e+08""",C+,"=""116440.00""","=""171966.6""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d6.(1G1).4p""","=""s 2F*""","=""5/2""",8,6,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""180.09595""","=""0.00015""","=""180.09740""","=""0.00016""","=""1200*""","=""1.0e+08""",D+,"=""83791.34""","=""139316.85""","=""3d6.(3D).4s""","=""b 4D""","=""1/2""","=""3d6.(3D).4p""","=""x 4P*""","=""1/2""",2,2,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""180.1028""","=""0.0004""","=""180.10306""","=""0.00010""","=""600""","=""1.1e+08""",D+,"=""76792.604""","=""132316.37""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""","=""3d6.(3P2).4p""","=""z 2S*""","=""1/2""",4,2,,"=""u37""","=""L19543c139""",
Co,2,"=""180.1909""","=""0.0012""","=""180.19153""","=""0.00008""","=""350d""","=""1.3e+06""",E,"=""27902.161""","=""83398.664""","=""3d7.(2H).4s""","=""a 3H""","=""4""","=""3d7.(2F).4p""","=""w 3G*""","=""4""",9,9,,"=""T6999""","=""L4687c119""",
Co,3,"=""180.2621""","=""0.0005""","=""180.2621""","=""0.0005""","=""99""","=""3.6e+07""",D+,"=""112108.471""","=""167583.25""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(3P1).4p""","=""v 2P*""","=""3/2""",6,4,,"=""u37""","=""L19543c140""",
Co,3,"=""180.29158""","=""0.00022""","=""180.29123""","=""0.00004""","=""340""","=""2.2e+07""",D+,"=""77122.520""","=""132588.334""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",10,10,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""180.3519""","=""0.0005""","=""180.35129""","=""0.00007""","=""70""","=""9.e+06""",D+,"=""70935.243""","=""126382.587""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""",6,4,,"=""u37""","=""L19543c140""",
Co,2,"=""180.4537""","=""0.0009""","=""180.45464""","=""0.00004""","=""2500""","=""2.5e+07""",D,"=""41738.15""","=""97153.739""","=""3d6.4s2""","=""a 5D""","=""2""","=""3d7.(4F).5p""","=""5F*""","=""1""",5,3,,"=""T6999""","=""L4687c119""",
Co,2,"=""180.49543""","=""0.00002""","=""180.495429""","=""0.000010""","=""3400""","=""1.0e+08""",D,"=""18973.727""","=""74376.792""","=""3d8""","=""a 1G""","=""4""","=""3d7.(2H).4p""","=""y 1H*""","=""5""",9,11,,"=""T6999""","=""L9429c118""",
Co,3,"=""180.553259""","=""0.000019""","=""180.553259""","=""0.000020""","=""18000""","=""4.3e+08""",C+,"=""77122.520""","=""132507.840""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""","=""3d6.(3G).4p""","=""y 4H*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""180.5880""","=""0.0004""","=""""","=""4.9e+01""",C,"=""23060.95""","=""78435.621""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""",6,2,E2,"=""u37""","=""""",
Co,3,"=""180.60868""","=""0.00015""","=""180.60858""","=""0.00003""","=""840""","=""3.9e+07""",C,"=""76520.408""","=""131888.762""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""180.6893""","=""0.0004""","=""""","=""3.2e+01""",C,"=""1451.33""","=""56794.941""","=""3d7""","=""a 4F""","=""5/2""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""",6,4,E2,"=""u37""","=""""",
Co,3,"=""180.837563""","=""0.000025""","=""180.83756""","=""0.00003""","=""7400""","=""5.1e+08""",C+,"=""82364.601""","=""137662.847""","=""3d6.(3G).4s""","=""b 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,2,"=""180.89218""","=""0.00002""","=""180.892175""","=""0.000010""","=""2200""","=""1.0e+08""",D,"=""40695.028""","=""95976.579""","=""3d6.4s2""","=""a 5D""","=""4""","=""3d7.(4F).5p""","=""5F*""","=""4""",9,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""180.92272""","=""0.00020""","=""180.92288""","=""0.00016""","=""2100""","=""2.8e+08""",C+,"=""91716.45""","=""146988.62""","=""3d6.(1D2).4s""","=""d 2D""","=""5/2""","=""3d6.(1D2).4p""","=""w 2D*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,3,"=""181.04540""","=""0.00006""","=""181.04549""","=""0.00003""","=""1600""","=""4.7e+07""",D+,"=""72084.644""","=""127319.380""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""181.13138""","=""0.00007""","=""181.13084""","=""0.00007""","=""3700""","=""2.0e+08""",C,"=""73216.056""","=""128424.767""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",2,4,,"=""u37""","=""L19543c139,c153""",
Co,2,"=""181.1324""","=""0.0009""","=""181.13164""","=""0.00010""","=""1500""","=""2.1e+07""",D,"=""27902.161""","=""83110.627""","=""3d7.(2H).4s""","=""a 3H""","=""4""","=""3d7.(2F).4p""","=""w 3G*""","=""3""",9,7,,"=""T6999""","=""L4687c119""",
Co,3,"=""181.146167""","=""0.000019""","=""181.146165""","=""0.000020""","=""17000""","=""4.8e+08""",C+,"=""77384.2947""","=""132588.334""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""181.16934""","=""0.00017""","=""181.16952""","=""0.00010""","=""320""","=""7.5e+07""",D+,"=""83775.456""","=""138972.38""","=""3d6.(3D).4s""","=""b 4D""","=""3/2""","=""3d6.(3D).4p""","=""x 4P*""","=""3/2""",4,4,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""181.1996""","=""0.0005""","=""""","=""8.0e+00""",C,"=""24238.81""","=""79426.563""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3F2).4s""","=""b 2F""","=""5/2""",4,6,E2,"=""u37""","=""""",
Co,2,"=""181.21871""","=""0.00002""","=""181.218668""","=""0.000020""","=""2100""","=""9.e+07""",D,"=""41314.150""","=""96496.103""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).5p""","=""5F*""","=""3""",7,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""181.23334""","=""0.00025""","=""181.234337""","=""0.000020""","=""1300bl""","=""1.6e+07""",D+,"=""71875.0920""","=""127052.274""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 2G*""","=""9/2""",12,10,,"=""u37""","=""L19543c139,c153""",
