element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cs,3,"=""180.18297""","=""0.00016""","=""180.18302""","=""0.00003""","=""6000""","=""2.38e+07""",,"=""120782.636""","=""176281.761""","=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""7/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""5/2""",8,6,,"=""T8611""","=""L14869""",
Cs,3,"=""180.3389""","=""0.0003""","=""180.33885""","=""0.00006""","=""65""","=""1.44e+07""",,"=""162863.218""","=""218314.386""","=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1S<0>).4f""","=""2[3]*""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""180.7876""","=""0.0003""","=""180.787790""","=""0.000021""","=""43p""","=""2.41e+06""",,"=""120425.101""","=""175738.571""","=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",6,4,,"=""T8611""","=""L14869""",
Cs,3,"=""181.1066""","=""0.0003""","=""181.10659""","=""0.00003""","=""17""","=""1.65e+06""",,"=""121065.660""","=""176281.761""","=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""181.19555""","=""0.00017""","=""181.19554""","=""0.00003""","=""3600""","=""8.00e+06""",,"=""128532.528""","=""183721.523""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""7/2""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""7/2""",8,8,,"=""T8611""","=""L14869""",
Cs,3,"=""182.23955""","=""0.00015""","=""182.23953""","=""0.00010""","=""15000D""","=""3.65e+07""",,"=""108652.967""","=""163525.805""","=""5s.5p6""","=""2S""","=""1/2""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""1/2""",2,2,,"=""T8611""","=""L14869""",
Cs,3,"=""182.39259""","=""0.00018""","=""182.39248""","=""0.00005""","=""6600""","=""1.20e+08""",,"=""144868.730""","=""199695.552""","=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""9/2""",10,10,,"=""T8611""","=""L14869""",
Cs,3,"=""182.44349""","=""0.00019""","=""182.44340""","=""0.00003""","=""680*""","=""2.03e+03""",,"=""131782.478""","=""186593.999""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""182.44349""","=""0.00019""","=""182.44365""","=""0.00003""","=""680*""","=""2.49e+05""",,"=""125926.848""","=""180738.292""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(3P<2>).4f""","=""2[4]*""","=""7/2""",10,8,,"=""T8611""","=""L14869""",
Cs,3,"=""182.46947""","=""0.00017""","=""182.46948""","=""0.00006""","=""7800""","=""1.66e+08""",,"=""144535.128""","=""199338.813""","=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""7/2""","=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""7/2""",8,8,,"=""T8611""","=""L14869""",
Cs,3,"=""182.6193""","=""0.0003""","=""182.61924""","=""0.00013""","=""39""","=""8.05e+06""",,"=""138543.477""","=""193302.220""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(1D<2>).4f""","=""2[1]*""","=""1/2""",4,2,,"=""T8611""","=""L14869""",
Cs,3,"=""182.65828""","=""0.00017""","=""182.65823""","=""0.00003""","=""1800""","=""1.66e+07""",,"=""144591.760""","=""199338.813""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""182.90594""","=""0.00016""","=""182.905937""","=""0.000024""","=""2400""","=""9.95e+06""",,"=""121065.660""","=""175738.571""","=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<1>).6p""","=""2[2]*""","=""3/2""",4,4,,"=""T8611""","=""L14869""",
Cs,3,"=""182.9274""","=""0.0003""","=""182.92758""","=""0.00008""","=""17""","=""9.21e+07""",,"=""186160.020""","=""240826.462""","=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<1>).5g""","=""2[4]""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""183.3820""","=""0.0003""","=""183.38218""","=""0.00006""","=""11""","=""1.02e+07""",,"=""162863.218""","=""217394.145""","=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1S<0>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""183.5871""","=""0.0003""","=""183.58702""","=""0.00005""","=""9""","=""1.46e+06""",,"=""144868.730""","=""199338.813""","=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""9/2""","=""5s2.5p4.(1D<2>).4f""","=""2[4]*""","=""7/2""",10,8,,"=""T8611""","=""L14869""",
Cs,3,"=""183.7652""","=""0.0003""","=""183.76516""","=""0.00010""","=""2""","=""3.33e+06""",,"=""138464.327""","=""192881.607""","=""5s2.5p4.(3P<2>).5d""","=""2[3]""","=""5/2""","=""5s2.5p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",6,4,,"=""T8611""","=""L14869""",
Cs,3,"=""183.8744""","=""0.0003""","=""183.87437""","=""0.00009""","=""110""","=""2.68e+08""",,"=""186160.020""","=""240544.980""","=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<1>).5g""","=""2[3]""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""183.8926""","=""0.0003""","=""183.89268""","=""0.00012""","=""11""","=""6.18e+07""",,"=""186160.020""","=""240539.563""","=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<1>).5g""","=""2[3]""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""183.8996""","=""0.0002""","=""183.89945""","=""0.00006""","=""600""","=""1.32e+07""",,"=""131782.478""","=""186160.020""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(3P<1>).4f""","=""2[2]*""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""183.96499""","=""0.00015""","=""183.96481""","=""0.00003""","=""1200""","=""8.13e+06""",,"=""135081.058""","=""189439.279""","=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""5/2""","=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""184.01512""","=""0.00020""","=""184.01493""","=""0.00004""","=""1800""","=""1.25e+07""",,"=""131782.478""","=""186125.895""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""3/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""",4,4,,"=""T8611""","=""L14869""",
Cs,3,"=""184.03293""","=""0.00019""","=""184.03283""","=""0.00010""","=""3000""","=""3.03e+07""",,"=""138543.477""","=""192881.607""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(1D<2>).4f""","=""2[1]*""","=""3/2""",4,4,,"=""T8611""","=""L14869""",
Cs,3,"=""184.18028""","=""0.00019""","=""184.18027""","=""0.00003""","=""7200""","=""2.00e+08""",,"=""122346.271""","=""176640.903""","=""5s2.5p4.(3P<2>).5d""","=""2[1]""","=""1/2""","=""5s2.5p4.(3P<2>).4f""","=""2[1]*""","=""1/2""",2,2,,"=""T8611""","=""L14869""",
Cs,3,"=""184.2475""","=""0.0003""","=""184.24816""","=""0.00005""","=""9""","=""3.47e+05""",,"=""135081.058""","=""189355.684""","=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""5/2""","=""5s2.5p4.(1D<2>).4f""","=""2[2]*""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""185.78876""","=""0.00019""","=""185.78869""","=""0.00007""","=""2400""","=""1.49e+08""",,"=""164489.795""","=""218314.386""","=""5s2.5p4.(1D<2>).5d""","=""2[2]""","=""3/2""","=""5s2.5p4.(1S<0>).4f""","=""2[3]*""","=""5/2""",4,6,,"=""T8611""","=""L14869""",
Cs,3,"=""186.19658""","=""0.00018""","=""186.19651""","=""0.00004""","=""2400""","=""1.14e+05""",,"=""132419.196""","=""186125.895""","=""5s2.5p4.(3P<2>).5d""","=""2[0]""","=""1/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""3/2""",2,4,,"=""T8611""","=""L14869""",
Cs,3,"=""186.4290""","=""0.0003""","=""186.42899""","=""0.00007""","=""26""","=""2.05e+04""",,"=""137785.195""","=""191424.921""","=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""7/2""","=""5s2.5p4.(1D<2>).4f""","=""2[5]*""","=""9/2""",8,10,,"=""T8611""","=""L14869""",
Cs,3,"=""186.8642""","=""0.0003""","=""186.86408""","=""0.00006""","=""110""","=""4.53e+06""",,"=""148575.860""","=""202090.692""","=""5s2.5p4.(3P<1>).6s""","=""2[1]""","=""3/2""","=""5s2.5p4.(1D<2>).4f""","=""2[2]*""","=""3/2""",4,4,,"=""T8611""","=""L14869""",
Cs,3,"=""187.01030""","=""0.00018""","=""187.01069""","=""0.00006""","=""1200""","=""1.04e+07""",,"=""144535.128""","=""198008.006""","=""5s2.5p4.(1D<2>).5d""","=""2[4]""","=""7/2""","=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",8,6,,"=""T8611""","=""L14869""",
Cs,3,"=""187.08283""","=""0.00017""","=""187.08277""","=""0.00003""","=""5400""","=""4.88e+07""",,"=""142067.732""","=""195520.010""","=""5s2.5p4.(3P<1>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T8611""","=""L14869""",
Cs,3,"=""187.20902""","=""0.00017""","=""187.20896""","=""0.00003""","=""2400""","=""2.67e+07""",,"=""144591.760""","=""198008.006""","=""5s2.5p4.(3P<0>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<1>).4f""","=""2[3]*""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""187.36619""","=""0.00019""","=""187.36617""","=""0.00005""","=""2400""","=""3.29e+06""",,"=""137785.195""","=""191156.624""","=""5s2.5p4.(3P<1>).5d""","=""2[3]""","=""7/2""","=""5s2.5p4.(3P<1>).4f""","=""2[4]*""","=""7/2""",8,8,,"=""T8611""","=""L14869""",
Cs,3,"=""187.4746""","=""0.0003""","=""187.47460""","=""0.00011""","=""9""","=""2.99e+06""",,"=""156820.269""","=""210160.827""","=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).7p""","=""2[1]*""","=""1/2""",4,2,,"=""T8611""","=""L14869""",
Cs,3,"=""187.7901""","=""0.0003""","=""187.79002""","=""0.00004""","=""43""","=""6.23e+05""",,"=""133343.034""","=""186593.999""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""",6,6,,"=""T8611""","=""L14869""",
Cs,3,"=""188.1999""","=""0.0003""","=""188.19982""","=""0.00011""","=""6""","=""9.94e+06""",,"=""184328.767""","=""237463.780""","=""5s2.5p4.(3P<0>).4f""","=""2[3]*""","=""7/2""","=""5s2.5p4.(3P<0>).5g""","=""2[4]""","=""7/2""",8,8,,"=""T8611""","=""L14869""",
Cs,3,"=""188.21836""","=""0.00017""","=""188.21840""","=""0.00009""","=""300""","=""2.76e+08""",,"=""184328.767""","=""237458.534""","=""5s2.5p4.(3P<0>).4f""","=""2[3]*""","=""7/2""","=""5s2.5p4.(3P<0>).5g""","=""2[4]""","=""9/2""",8,10,,"=""T8611""","=""L14869""",
Cs,3,"=""188.31894""","=""0.00017""","=""188.318938""","=""0.000023""","=""3000""","=""2.65e+07""",,"=""120425.101""","=""173526.505""","=""5s2.5p4.(3P<2>).5d""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<0>).6p""","=""2[1]*""","=""3/2""",6,4,,"=""T8611""","=""L14869""",
Cs,3,"=""188.63550""","=""0.00017""","=""188.63562""","=""0.00004""","=""2400""","=""3.27e+06""",,"=""128532.528""","=""181544.785""","=""5s2.5p4.(3P<2>).5d""","=""2[4]""","=""7/2""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""5/2""",8,6,,"=""T8611""","=""L14869""",
