element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Dy,1,"=""286.270""","=""286.2694+""","=""140""","=""7.9e+06""",B+,"=""0.000""","=""34921.87""","=""4f10.6s2""","=""5I""","=""8""","=""""","=""*""","=""7""",17,15,,"=""T7148""","=""L3475""",
Dy,1,"=""296.460""","=""296.4600+""","=""220""","=""6.5e+06""",D,"=""0.000""","=""33721.52""","=""4f10.6s2""","=""5I""","=""8""","=""""","=""*""","=""8""",17,17,,"=""T4515""","=""L3475""",
Dy,1,"=""314.7694""","=""314.7689+""","=""300""","=""1.1e+07""",D,"=""4134.222""","=""35894.36""","=""4f10.6s2""","=""5I""","=""7""","=""""","=""*""","=""8""",15,17,,"=""T4515""","=""L1177""",
Dy,1,"=""326.3186""","=""326.3185+""","=""3000""","=""1.4e+07""",D,"=""4134.222""","=""34770.30""","=""4f10.6s2""","=""5I""","=""7""","=""""","=""*""","=""6""",15,13,,"=""T4515""","=""L1177""",
Dy,2,"=""338.502""","=""338.50140+""","=""5300""","=""5.39e+07""",,"=""828.314""","=""30361.810""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f10.(5I).6p""","=""4H*""","=""13/2""",16,14,,"=""""","=""L3475""",
Dy,2,"=""340.780""","=""340.77925+""","=""5300""","=""4.88e+07""",,"=""0.000""","=""29336.093""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""17/2""","=""4f10.(5I).6p""","=""6I*""","=""17/2""",18,18,,"=""T7148""","=""L3475""",
Dy,2,"=""346.097""","=""346.09661+""","=""4400""","=""2.97e+07""",,"=""0.000""","=""28885.393""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""17/2""","=""4f10.(5I).6p""","=""*""","=""15/2""",18,16,,"=""T7148""","=""L3475""",
Dy,2,"=""349.449""","=""349.44896+""","=""4400""","=""3.15e+07""",,"=""828.314""","=""29436.610""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f10.(5I).6p""","=""*""","=""15/2""",16,16,,"=""T7148""","=""L3475""",
Dy,1,"=""351.1015""","=""351.1014+""","=""1000""","=""9.4e+06""",B+,"=""4134.222""","=""32607.88""","=""4f10.6s2""","=""5I""","=""7""","=""""","=""*""","=""6""",15,13,,"=""T7148""","=""L1177""",
Dy,2,"=""353.170""","=""353.17052+""","=""22000""","=""1.56e+08""",,"=""0.000""","=""28306.843""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""17/2""","=""4f10.(5I).6p""","=""6K*""","=""19/2""",18,20,,"=""T7148""","=""L3475""",
Dy,2,"=""353.602""","=""353.60180+""","=""5500""","=""1.01e+08""",,"=""4341.104""","=""32613.423""","=""4f10.(5I<7>).6s<1/2>""","=""(7,1/2)""","=""15/2""","=""4f9.(6H*).5d2.(3F)""","=""*""","=""17/2""",16,18,,"=""T7148""","=""L3475""",
Dy,1,"=""357.1438""","=""357.1437+""","=""1000""","=""4.80e+06""",B+,"=""4134.222""","=""32126.16""","=""4f10.6s2""","=""5I""","=""7""","=""""","=""*""","=""6""",15,13,,"=""T7148""","=""L1177""",
Dy,2,"=""363.024""","=""363.02382+""","=""4000""","=""3.05e+07""",,"=""4341.104""","=""31879.655""","=""4f10.(5I<7>).6s<1/2>""","=""(7,1/2)""","=""15/2""","=""4f10.(5I).6p""","=""6K*""","=""17/2""",16,18,,"=""T7148""","=""L3475""",
Dy,2,"=""364.540""","=""364.53965+""","=""11000""","=""6.20e+07""",,"=""828.314""","=""28252.357""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f9.(6H*).5d2.(1G)""","=""*""","=""17/2""",16,18,,"=""T7148""","=""L3475""",
Dy,2,"=""369.481""","=""369.48115+""","=""4700""","=""2.37e+07""",,"=""828.314""","=""27885.593""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f9.(6H*).5d2.(3F)""","=""*""","=""15/2""",16,16,,"=""T7148""","=""L3475""",
Dy,1,"=""375.705""","=""375.7052+""","=""1200""","=""3.0e+08""",D,"=""7565.610""","=""34174.66""","=""4f9.(6H*).5d.6s2""","=""7H*""","=""8""","=""""","=""""","=""9""",17,19,,"=""T4515""","=""L3475""",
Dy,2,"=""375.737""","=""375.73674+""","=""4700""","=""2.01e+07""",,"=""828.314""","=""27435.132""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f9.(6H*).5d2.(3P)""","=""*""","=""15/2""",16,16,,"=""T7148""","=""L3475""",
Dy,1,"=""386.881""","=""386.8805+""","=""1600""","=""3.1e+08""",D,"=""7565.610""","=""33406.06""","=""4f9.(6H*).5d.6s2""","=""7H*""","=""8""","=""""","=""""","=""8""",17,17,,"=""T4515""","=""L3475""",
Dy,2,"=""387.211""","=""387.21038+""","=""7000""","=""2.54e+07""",,"=""0.000""","=""25818.435""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""17/2""","=""4f10.(5I).6p""","=""*""","=""17/2""",18,18,,"=""T7148""","=""L3475""",
