element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,3,"=""""","=""""","=""193.944""","=""""","=""2.56e-01""",C,"=""0.0""","=""51561.4""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""193.944""","=""""","=""2.7e-08""",D,"=""0.0""","=""51561.4""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""3/2""",4,4,E2,"=""T335""","=""""",
F,3,"=""""","=""""","=""193.947""","=""""","=""1.02e-01""",C,"=""0.0""","=""51560.6""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""193.947""","=""""","=""7.4e-07""",D,"=""0.0""","=""51560.6""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2P*""","=""1/2""",4,2,E2,"=""T335""","=""""",
element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
F,2,"=""""","=""""","=""222.558""","=""""","=""1.6e-03""",D,"=""0.0""","=""44918.1""","=""2s2.2p4""","=""3P""","=""2""","=""2s2.2p4""","=""1S""","=""0""",5,1,E2,"=""T333""","=""""",
F,2,"=""""","=""""","=""224.261""","=""""","=""4.90e-01""",C,"=""341.0""","=""44918.1""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1S""","=""0""",3,1,M1,"=""T333""","=""""",
F,3,"=""""","=""""","=""292.970""","=""""","=""1.34e-03""",C,"=""0.0""","=""34123.2""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""3/2""",4,4,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""292.970""","=""""","=""7.5e-05""",D,"=""0.0""","=""34123.2""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""3/2""",4,4,E2,"=""T335""","=""""",
F,3,"=""""","=""""","=""293.278""","=""""","=""1.08e-05""",C,"=""0.0""","=""34087.4""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",4,6,M1,"=""T335""","=""""",
F,3,"=""""","=""""","=""293.278""","=""""","=""1.2e-04""",D,"=""0.0""","=""34087.4""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p3""","=""2D*""","=""5/2""",4,6,E2,"=""T335""","=""""",
F,3,"=""""","=""""","=""303.4527""","=""""","=""1.84e+07""",C,"=""380250.52""","=""413195.00""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",6,6,,"=""T1115CA,LS""","=""""",
F,3,"=""303.925""","=""""","=""303.9245""","=""130""","=""2.75e+08""",C,"=""380250.52""","=""413143.86""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""7/2""",6,8,,"=""T1115CA,LS""","=""L767""",
F,3,"=""303.975""","=""""","=""303.9750""","=""120""","=""2.56e+08""",C,"=""380307.13""","=""413195.00""","=""2s2.2p2.(1D).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2F""","=""5/2""",4,6,,"=""T1115CA,LS""","=""L767""",
F,3,"=""311.362""","=""""","=""311.3606""","=""140""","=""6.7e+07""",D,"=""316709.81""","=""348817.60""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",2,4,,"=""T1115CA,LS""","=""L767""",
F,3,"=""311.570""","=""""","=""311.5695""","=""160""","=""1.1e+08""",D,"=""316920.99""","=""349007.25""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",4,6,,"=""T1115CA,LS""","=""L767""",
F,3,"=""312.154""","=""""","=""312.1536""","=""180""","=""1.6e+08""",D,"=""317239.97""","=""349266.20""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""7/2""",6,8,,"=""T1115CA,LS""","=""L767""",
F,3,"=""312.479""","=""""","=""312.4779""","=""140""","=""1.3e+08""",D,"=""316709.81""","=""348702.80""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",2,2,,"=""T1115CA,LS""","=""L767""",
F,3,"=""313.423""","=""""","=""313.4221""","=""140""","=""8.4e+07""",D,"=""316920.99""","=""348817.60""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",4,4,,"=""T1115CA,LS""","=""L767""",
F,3,"=""""","=""""","=""314.2779""","=""""","=""1.16e+08""",C,"=""384358.54""","=""416168.30""","=""2s2.2p2.(1D).3p""","=""2P*""","=""1/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",2,4,,"=""T1115CA,LS""","=""""",
F,3,"=""""","=""""","=""314.5543""","=""""","=""2.6e+07""",D,"=""316920.99""","=""348702.80""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""1/2""",4,2,,"=""T1115CA,LS""","=""""",
F,3,"=""314.699""","=""""","=""314.6982""","=""140""","=""4.7e+07""",D,"=""317239.97""","=""349007.25""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""5/2""",6,6,,"=""T1115CA,LS""","=""L767""",
F,3,"=""""","=""""","=""315.4421""","=""""","=""1.38e+08""",C,"=""384493.06""","=""416185.42""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""5/2""",4,6,,"=""T1115CA,LS""","=""""",
F,3,"=""""","=""""","=""315.6126""","=""""","=""2.30e+07""",C,"=""384493.06""","=""416168.30""","=""2s2.2p2.(1D).3p""","=""2P*""","=""3/2""","=""2s2.2p2.(1D).3d""","=""2D""","=""3/2""",4,4,,"=""T1115CA,LS""","=""""",
F,3,"=""""","=""""","=""316.5883""","=""""","=""7.7e+06""",D,"=""317239.97""","=""348817.60""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""","=""2s2.2p2.(3P).3p""","=""4D*""","=""3/2""",6,4,,"=""T1115CA,LS""","=""""",
F,3,"=""317.417""","=""""","=""317.4179""","=""180""","=""1.7e+08""",D,"=""324876.72""","=""356371.82""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",4,6,,"=""T1115CA,LS""","=""L767""",
F,3,"=""317.476""","=""""","=""317.4758""","=""170""","=""1.4e+08""",D,"=""324492.55""","=""355981.90""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",2,4,,"=""T1115CA,LS""","=""L767""",
F,2,"=""320.276""","=""""","=""320.2761""","=""170""","=""1.4e+08""",D,"=""215069.59""","=""246283.63""","=""2s2.2p3.(2D*).3s""","=""1D*""","=""2""","=""2s2.2p3.(2D*).3p""","=""1D""","=""2""",5,5,,"=""T1115CA""","=""L369""",
F,3,"=""321.400""","=""""","=""321.3970""","=""120""","=""2.7e+07""",D,"=""324876.72""","=""355981.90""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",4,4,,"=""T1115CA,LS""","=""L767""",
F,2,"=""350.139""","=""""","=""350.1390""","=""190""","=""2.86e+08""",C,"=""202449.35""","=""231001.27""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""",3,1,,"=""T1115CA,LS""","=""L369""",
F,2,"=""350.145""","=""""","=""350.1449""","=""200""","=""2.15e+08""",C,"=""202449.35""","=""231000.79""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",3,3,,"=""T1115CA,LS""","=""L369""",
F,2,"=""350.157""","=""""","=""350.1572""","=""200""","=""1.00e+08""",C,"=""202449.35""","=""230999.78""","=""2s2.2p3.(4S*).3p""","=""5P""","=""1""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""",3,5,,"=""T1115CA,LS""","=""L369""",
F,2,"=""350.284""","=""""","=""350.2840""","=""180""","=""7.2e+07""",C,"=""202460.69""","=""231000.79""","=""2s2.2p3.(4S*).3p""","=""5P""","=""2""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""",5,3,,"=""T1115CA,LS""","=""L369""",
