element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
He,1,"=""267.7135""","=""""","=""267.7128036""","=""0.0000021""","=""1*""","=""4.4174e+05""",AAA,"=""[159855.971776]""","=""[197198.33737542]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
He,1,"=""267.7135""","=""""","=""267.7128518""","=""0.0000021""","=""1*""","=""4.4174e+05""",AAA,"=""[159855.971776]""","=""[197198.33066214]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
He,1,"=""267.7135""","=""""","=""267.7128557""","=""0.0000021""","=""1*""","=""4.4174e+05""",AAA,"=""[159855.971776]""","=""[197198.33011596]""","=""1s.2s""","=""3S""","=""1""","=""1s.10p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
He,1,"=""269.6119""","=""""","=""269.6117592""","=""0.0000021""","=""1*""","=""6.0234e+05""",AAA,"=""[159855.971776]""","=""[196935.33880189]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
He,1,"=""269.6119""","=""""","=""269.6118264""","=""0.0000021""","=""1*""","=""6.0234e+05""",AAA,"=""[159855.971776]""","=""[196935.32956383]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
He,1,"=""269.6119""","=""""","=""269.6118319""","=""0.0000021""","=""1*""","=""6.0234e+05""",AAA,"=""[159855.971776]""","=""[196935.32881198]""","=""1s.2s""","=""3S""","=""1""","=""1s.9p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
He,1,"=""272.3191""","=""""","=""272.3191003""","=""0.0000021""","=""1*""","=""8.4996e+05""",AAA,"=""[159855.971776]""","=""[196566.7234987]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
He,1,"=""272.3191""","=""""","=""272.3191983""","=""0.0000021""","=""1*""","=""8.4996e+05""",AAA,"=""[159855.971776]""","=""[196566.7102909]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14924""",
He,1,"=""272.3191""","=""""","=""272.3192063""","=""0.0000021""","=""1*""","=""8.4996e+05""",AAA,"=""[159855.971776]""","=""[196566.7092158]""","=""1s.2s""","=""3S""","=""1""","=""1s.8p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14924""",
He,2,"=""""","=""""","=""273.3184772""","=""0.0000021""","=""""","=""2.5056e+07""",AA,"=""(390140.8249696)""","=""(426717.352717)""","=""3p""","=""2P*""","=""1/2""","=""6d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3195173""","=""0.0000021""","=""""","=""1.5291e+07""",AA,"=""(390140.964517)""","=""(426717.3530854)""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3199647""","=""0.0000021""","=""""","=""2.7070e+06""",AA,"=""(390140.8249696)""","=""(426717.1536654)""","=""3p""","=""2P*""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3211384""","=""0.0000021""","=""""","=""1.5293e+07""",AA,"=""(390140.964517)""","=""(426717.1361554)""","=""3s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3308860""","=""0.0000021""","=""""","=""3.2071e+07""",AA,"=""(390142.55757536)""","=""(426717.424890)""","=""3d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3309064""","=""0.0000021""","=""""","=""3.0065e+07""",AA,"=""(390142.5604306)""","=""(426717.425022)""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3314227""","=""0.0000021""","=""""","=""1.2527e+05""",AA,"=""(390142.55757536)""","=""(426717.3530854)""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3314467""","=""0.0000021""","=""""","=""5.0109e+06""",AA,"=""(390142.5604306)""","=""(426717.352717)""","=""3p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3329344""","=""0.0000021""","=""""","=""5.4160e+06""",AA,"=""(390142.5604306)""","=""(426717.1536654)""","=""3p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3330439""","=""0.0000021""","=""""","=""1.2535e+06""",AA,"=""(390142.55757536)""","=""(426717.1361554)""","=""3d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3349389""","=""0.0000021""","=""""","=""3.4360e+07""",AA,"=""(390143.13600712)""","=""(426717.461041)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3352090""","=""0.0000021""","=""""","=""2.2905e+06""",AA,"=""(390143.13600712)""","=""(426717.424890)""","=""3d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""273.3357457""","=""0.0000021""","=""""","=""1.1277e+06""",AA,"=""(390143.13600712)""","=""(426717.3530854)""","=""3d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
He,1,"=""""","=""""","=""276.3801583""","=""0.0000021""","=""2*""","=""1.2508e+06""",AAA,"=""[159855.971776]""","=""[196027.3338587]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""276.3803097""","=""0.0000021""","=""2*""","=""1.2508e+06""",AAA,"=""[159855.971776]""","=""[196027.3140350]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""276.3803221""","=""0.0000021""","=""2*""","=""1.2508e+06""",AAA,"=""[159855.971776]""","=""[196027.3124205]""","=""1s.2s""","=""3S""","=""1""","=""1s.7p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""282.9078411""","=""0.0000021""","=""4*""","=""1.9389e+06""",AAA,"=""[159855.971776]""","=""[195192.7746751]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""282.9080951""","=""0.0000021""","=""4*""","=""1.9389e+06""",AAA,"=""[159855.971776]""","=""[195192.7429528]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""282.9081157""","=""0.0000021""","=""4*""","=""1.9389e+06""",AAA,"=""[159855.971776]""","=""[195192.7403680]""","=""1s.2s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L366""",
He,1,"=""294.5106""","=""""","=""294.5098929""","=""0.0000021""","=""10*""","=""3.2006e+06""",AAA,"=""[159855.971776]""","=""[193800.7649571]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
He,1,"=""294.5106""","=""""","=""294.5103740""","=""0.0000021""","=""10*""","=""3.2006e+06""",AAA,"=""[159855.971776]""","=""[193800.7095104]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
He,1,"=""294.5106""","=""""","=""294.5104132""","=""0.0000021""","=""10*""","=""3.2006e+06""",AAA,"=""[159855.971776]""","=""[193800.7049900]""","=""1s.2s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
He,1,"=""""","=""""","=""318.7733181""","=""0.0000020""","=""""","=""5.6361e+06""",AAA,"=""[159855.971776]""","=""[191217.1576834]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
He,1,"=""318.7745""","=""""","=""318.7744395""","=""0.0000020""","=""20*""","=""5.6361e+06""",AAA,"=""[159855.971776]""","=""[191217.0473571]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
He,1,"=""318.7745""","=""""","=""318.7745310""","=""0.0000020""","=""20*""","=""5.6361e+06""",AAA,"=""[159855.971776]""","=""[191217.0383609]""","=""1s.2s""","=""3S""","=""1""","=""1s.4p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
He,2,"=""""","=""""","=""320.2946921""","=""0.0000020""","=""""","=""4.5253e+07""",AA,"=""(390140.8249696)""","=""(421353.053159)""","=""3p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.2961177""","=""0.0000020""","=""""","=""2.6220e+07""",AA,"=""(390140.964517)""","=""(421353.05378699)""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.2982222""","=""0.0000020""","=""""","=""4.8288e+06""",AA,"=""(390140.8249696)""","=""(421352.709172)""","=""3p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.2999646""","=""0.0000020""","=""""","=""2.6224e+07""",AA,"=""(390140.964517)""","=""(421352.6789311)""","=""3s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3111934""","=""0.0000020""","=""""","=""6.7879e+07""",AA,"=""(390142.55757536)""","=""(421353.177874)""","=""3d""","=""2D""","=""3/2""","=""5f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3112204""","=""0.0000020""","=""""","=""5.4301e+07""",AA,"=""(390142.5604306)""","=""(421353.178101)""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3124670""","=""0.0000020""","=""""","=""2.3944e+05""",AA,"=""(390142.55757536)""","=""(421353.05378699)""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3125027""","=""0.0000020""","=""""","=""9.0502e+06""",AA,"=""(390142.5604306)""","=""(421353.053159)""","=""3p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3160332""","=""0.0000020""","=""""","=""9.6612e+06""",AA,"=""(390142.5604306)""","=""(421352.709172)""","=""3p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3163143""","=""0.0000020""","=""""","=""2.3958e+06""",AA,"=""(390142.55757536)""","=""(421352.6789311)""","=""3d""","=""2D""","=""3/2""","=""5p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3164890""","=""0.0000020""","=""""","=""7.2724e+07""",AA,"=""(390143.13600712)""","=""(421353.240343)""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3171302""","=""0.0000020""","=""""","=""4.8481e+06""",AA,"=""(390143.13600712)""","=""(421353.177874)""","=""3d""","=""2D""","=""5/2""","=""5f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""320.3184037""","=""0.0000020""","=""""","=""2.1553e+06""",AA,"=""(390143.13600712)""","=""(421353.05378699)""","=""3d""","=""2D""","=""5/2""","=""5p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
He,1,"=""323.1266""","=""""","=""323.1270394""","=""0.0000020""","=""0""","=""5.1015e+05""",AAA,"=""[166277.437635]""","=""[197216.086955998]""","=""1s.2s""","=""1S""","=""0""","=""1s.10p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14924""",
He,1,"=""325.8275""","=""""","=""325.8273506""","=""0.0000020""","=""1""","=""6.9627e+05""",AAA,"=""[166277.437635]""","=""[196959.69020989]""","=""1s.2s""","=""1S""","=""0""","=""1s.9p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14924""",
