element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,1,"=""316.2575""","=""0.0010""","=""316.255825""","=""0.000007""","=""38000""","=""2.04e+07""",B+,"=""0.0000""","=""31610.8213""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""318.9632""","=""0.0004""","=""318.963093""","=""0.000007""","=""12000""","=""2.41e+06""",B,"=""0.0000""","=""31342.5275""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,2,"=""325.370""","=""""","=""325.3702+""","=""""","=""890""","=""2.1e+07""",,"=""3050.88""","=""33776.24""","=""5d.6s2""","=""a 2D""","=""5/2""","=""5d.6s.(3D).6p""","=""z 4F*""","=""7/2""",6,8,,"=""T7227""","=""L3475""",
Hf,1,"=""333.2737""","=""0.0010""","=""333.272468""","=""0.000008""","=""54000""","=""1.83e+07""",B+,"=""0.0000""","=""29996.8513""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""336.0060""","=""0.0004""","=""336.005287""","=""0.000008""","=""17000""","=""2.86e+06""",B+,"=""0.0000""","=""29752.8870""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,2,"=""339.980""","=""""","=""339.9793+""","=""""","=""2300""","=""3.1e+07""",,"=""0.00""","=""29405.12""","=""5d.6s2""","=""a 2D""","=""3/2""","=""5d.6s.(3D).6p""","=""z 4F*""","=""5/2""",4,6,,"=""T7227""","=""L3475""",
Hf,1,"=""340.0218""","=""0.0004""","=""340.021374""","=""0.000009""","=""16000""","=""3.6e+06""",C+,"=""0.0000""","=""29401.4784""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""341.7340""","=""0.0010""","=""341.733878""","=""0.000008""","=""23000""","=""7.00e+06""",B+,"=""2356.6756""","=""31610.8213""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""",7,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""344.8969""","=""0.0005""","=""344.897073""","=""0.000010""","=""3600""","=""3.29e+05""",B,"=""2356.6756""","=""31342.5275""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""3""",7,7,,"=""T5346""","=""L16323""",
Hf,1,"=""347.2410""","=""0.0005""","=""347.240120""","=""0.000010""","=""55000""","=""2.63e+07""",B+,"=""0.0000""","=""28790.2720""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""349.7498""","=""0.0004""","=""349.749366""","=""0.000009""","=""98000""","=""1.79e+07""",B+,"=""0.0000""","=""28583.7248""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""352.3025""","=""0.0004""","=""352.302351""","=""0.000010""","=""62000""","=""1.46e+07""",B+,"=""2356.6756""","=""30733.2723""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""4""",7,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""353.6630""","=""0.0004""","=""353.662873""","=""0.000008""","=""24000""","=""9.60e+06""",B+,"=""0.0000""","=""28267.4366""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""356.4307""","=""0.0004""","=""356.430620""","=""0.000013""","=""11000""","=""3.30e+06""",B+,"=""0.0000""","=""28047.9411""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""z 3S*""","=""1""",5,3,,"=""T5346""","=""L16323""",
Hf,1,"=""361.5034""","=""0.0005""","=""361.503562""","=""0.000012""","=""15000""","=""9.57e+05""",B,"=""0.0000""","=""27654.3580""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""3""",5,7,,"=""T5346""","=""L16323""",
Hf,1,"=""361.6892""","=""0.0004""","=""361.689056""","=""0.000009""","=""100000""","=""1.14e+07""",B+,"=""2356.6756""","=""29996.8513""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""3""",7,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""363.0872""","=""0.0004""","=""363.086632""","=""0.000011""","=""35000""","=""5.70e+06""",B,"=""0.0000""","=""27533.7873""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""364.9106""","=""0.0004""","=""364.909998""","=""0.000010""","=""34000""","=""6.00e+06""",B+,"=""2356.6756""","=""29752.8870""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""2""",7,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""368.2247""","=""0.0005""","=""368.223847""","=""0.000010""","=""140000""","=""2.56e+07""",B+,"=""0.0000""","=""27149.6642""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""369.6524""","=""0.0004""","=""369.651607""","=""0.000011""","=""17000""","=""3.1e+06""",C+,"=""2356.6756""","=""29401.4784""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",7,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""371.7802""","=""0.0004""","=""371.779700""","=""0.000014""","=""42000""","=""9.00e+06""",B+,"=""2356.6756""","=""29246.6760""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""4""",7,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""373.3786""","=""0.0004""","=""373.378146""","=""0.000011""","=""41000""","=""9.14e+06""",B+,"=""4567.6413""","=""31342.5275""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""3""",9,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""377.7658""","=""0.0004""","=""377.765021""","=""0.000010""","=""74000""","=""2.00e+07""",B+,"=""0.0000""","=""26463.9649""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1P*""","=""1""",5,3,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""378.5460""","=""0.0010""","=""378.545654""","=""0.000016""","=""110000""","=""1.24e+07""",B+,"=""4567.6413""","=""30977.0338""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""5""",9,11,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""380.0380""","=""0.0010""","=""380.036290""","=""0.000010""","=""36000""","=""2.86e+06""",B,"=""0.0000""","=""26305.8081""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""381.1781""","=""0.0004""","=""381.177553""","=""0.000010""","=""14000""","=""3.29e+06""",B+,"=""2356.6756""","=""28583.7248""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",7,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""382.0728""","=""0.0004""","=""382.072307""","=""0.000010""","=""34000""","=""1.71e+07""",B+,"=""4567.6413""","=""30733.2723""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""4""",9,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""384.9190""","=""0.0010""","=""384.917811""","=""0.000011""","=""32000""","=""2.24e+07""",B+,"=""5638.6151""","=""31610.8213""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
