element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hg,2,"=""180.0815""","=""0.0003""","=""180.081392""","=""0.000023""","=""1500""","=""1.2e+07""",,"=""50555.567""","=""106086.013""","=""5d9.6s2""","=""2D""","=""3/2""","=""5d9.6s.6p""","=""(2D<5/2>,1P<1>)*""","=""3/2""",4,4,,"=""T7226""","=""L11760""",
Hg,2,"=""180.6158""","=""0.0002""","=""180.61570""","=""0.00011""","=""90""","=""7.1e+07""",,"=""91139.508""","=""146505.679""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""9/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""7/2""",10,8,,"=""T7226""","=""L11760""",
Hg,2,"=""180.8287""","=""0.0003""","=""180.82859""","=""0.00004""","=""300""","=""7.0e+07""",,"=""84836.143""","=""140137.134""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""5/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<2>,1/2]""","=""5/2""",6,6,,"=""T7226""","=""L11760""",
Hg,2,"=""182.0720""","=""0.0003""","=""182.07207""","=""0.00011""","=""5000""","=""1.1e+09""",,"=""91139.508""","=""146062.814""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""9/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,5/2]""","=""11/2""",10,12,,"=""T7226""","=""L11760""",
Hg,2,"=""182.3859""","=""0.0002""","=""182.38594""","=""0.00011""","=""60""","=""2.6e+07""",,"=""91139.508""","=""145968.295""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""9/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,3/2]""","=""7/2""",10,8,,"=""T7226""","=""L11760""",
Hg,2,"=""182.5121""","=""0.0003""","=""182.51206""","=""0.00004""","=""3""","=""2.3e+06""",,"=""84836.143""","=""139627.043""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""5/2""","=""5d10.9d""","=""2D""","=""3/2""",6,4,,"=""T7226""","=""L11760""",
Hg,2,"=""183.6672""","=""0.0003""","=""183.66749""","=""0.00015""","=""3""","=""9.1e+07""",,"=""95187.361""","=""149633.577""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""7/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<2>,5/2]""","=""7/2""",8,8,,"=""T7226""","=""L11760""",
Hg,2,"=""184.0623""","=""0.0003""","=""184.06227""","=""0.00015""","=""1000h""","=""6.5e+08""",,"=""95304.138""","=""149633.577""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""5/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<2>,5/2]""","=""7/2""",6,8,,"=""T7226""","=""L11760""",
Hg,2,"=""184.1204""","=""0.0003""","=""184.12046""","=""0.00014""","=""7""","=""2.2e+08""",,"=""110604.447""","=""164916.716""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""7/2""","=""5d9.6s.6d""","=""[(2D<3/2>,1/2)<2>,5/2]""","=""7/2""",8,8,,"=""T7226""","=""L11760""",
Hg,2,"=""184.7417""","=""0.0003""","=""184.74167""","=""0.00013""","=""12""","=""8.2e+07""",,"=""94092.834""","=""148222.473""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""3/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<2>,3/2]""","=""3/2""",4,4,,"=""T7226""","=""L11760""",
Hg,2,"=""184.8935""","=""0.0003""","=""184.89335""","=""0.00005""","=""800""","=""3.5e+08""",,"=""84836.143""","=""138921.375""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""5/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<2>,1/2]""","=""3/2""",6,4,,"=""T7226""","=""L11760""",
Hg,1,"=""184.94994""","=""0.00002""","=""184.949946""","=""0.000017""","=""5000r""","=""7.46e+08""",A,"=""0.000""","=""54068.6829""","=""5d10.6s2""","=""1S""","=""0""","=""5d10.6s.6p""","=""1P*""","=""1""",1,3,,"=""T7227""","=""L3456""",
Hg,2,"=""185.0466""","=""0.0003""","=""185.04638""","=""0.00011""","=""5""","=""2.9e+07""",,"=""94092.834""","=""148133.339""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""3/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<2>,3/2]""","=""1/2""",4,2,,"=""T7226""","=""L11760""",
Hg,2,"=""185.3271""","=""0.0002""","=""185.32708""","=""0.00004""","=""800""","=""1.0e+08""",,"=""86178.478""","=""140137.134""","=""5d9.6s.6p""","=""(2D<5/2>,3P<1>)*""","=""3/2""","=""5d9.6s.7s""","=""[(2D<5/2>,1/2)<2>,1/2]""","=""5/2""",4,6,,"=""T7226""","=""L11760""",
Hg,2,"=""186.0721""","=""0.0003""","=""186.07205""","=""0.00014""","=""12""","=""3.5e+08""",,"=""111174.092""","=""164916.716""","=""5d9.6s.6p""","=""(2D<3/2>,3P<2>)*""","=""5/2""","=""5d9.6s.6d""","=""[(2D<3/2>,1/2)<2>,5/2]""","=""7/2""",6,8,,"=""T7226""","=""L11760""",
Hg,2,"=""186.9228""","=""0.0002""","=""186.92264""","=""0.00006""","=""50000""","=""1.0e+09""",,"=""51486.070""","=""104984.138""","=""5d10.6p""","=""2P*""","=""1/2""","=""5d10.6d""","=""2D""","=""3/2""",2,4,,"=""T7226""","=""L11760""",
Hg,2,"=""186.9863""","=""0.0002""","=""186.98631""","=""0.00011""","=""200""","=""3.7e+07""",,"=""91139.508""","=""144619.360""","=""5d9.6s.6p""","=""(2D<5/2>,3P<2>)*""","=""9/2""","=""5d9.6s.6d""","=""[(2D<5/2>,1/2)<3>,3/2]""","=""9/2""",10,10,,"=""T7226""","=""L11760""",
