element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""""","=""208.192538""","=""0.000004""","=""""","=""4.7541e+08""",AA,"=""(877919.12067)""","=""(925936.28876)""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.195216""","=""0.000004""","=""""","=""2.4840e+08""",AA,"=""(877919.74441)""","=""(925936.294951)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.207444""","=""0.000004""","=""""","=""4.9608e+07""",AA,"=""(877919.12067)""","=""(925932.85143)""","=""3p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.211294""","=""0.000004""","=""""","=""2.4853e+08""",AA,"=""(877919.74441)""","=""(925932.587659)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.225239""","=""0.000004""","=""""","=""1.0432e+09""",AA,"=""(877927.8939309)""","=""(925937.52206)""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.225292""","=""0.000004""","=""""","=""5.7049e+08""",AA,"=""(877927.908420)""","=""(925937.52429)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.230562""","=""0.000004""","=""""","=""2.8175e+06""",AA,"=""(877927.8939309)""","=""(925936.294951)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.230652""","=""0.000004""","=""""","=""9.5088e+07""",AA,"=""(877927.908420)""","=""(925936.28876)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.235263""","=""0.000004""","=""""","=""1.1176e+09""",AA,"=""(877930.8225495)""","=""(925938.13979)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
Li,3,"=""""","=""208.237943""","=""0.000004""","=""""","=""7.4511e+07""",AA,"=""(877930.8225495)""","=""(925937.52206)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
Li,3,"=""""","=""208.243267""","=""0.000004""","=""""","=""2.5368e+07""",AA,"=""(877930.8225495)""","=""(925936.294951)""","=""3d""","=""2D""","=""5/2""","=""4p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
Li,3,"=""""","=""208.245564""","=""0.000004""","=""""","=""9.9306e+07""",AA,"=""(877927.908420)""","=""(925932.85143)""","=""3p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,3,"=""""","=""208.246645""","=""0.000004""","=""""","=""2.8214e+07""",AA,"=""(877927.8939309)""","=""(925932.587659)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""1/2""",4,2,,"=""T7771""","=""""",
Li,2,"=""232.984""","=""232.9801""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597662.53]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""232.984""","=""232.9838""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597661.86]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""232.984""","=""232.9858""","=""0.0008""","=""*""","=""1.1758e+07""",AAA,"=""[554753.58]""","=""[597661.48]""","=""1s.3s""","=""3S""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""L3501""",
Li,1,"=""233.394""","=""233.3937""","=""0.0008""","=""*""","=""1.09e+05""",B',"=""0.00""","=""42832.92""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
Li,1,"=""233.394""","=""233.3937""","=""0.0008""","=""*""","=""1.09e+05""",B',"=""0.00""","=""42832.92""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.13p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
Li,1,"=""234.015""","=""234.0154""","=""0.0008""","=""*""","=""1.34e+05""",B',"=""0.00""","=""42719.14""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
Li,1,"=""234.015""","=""234.0154""","=""0.0008""","=""*""","=""1.34e+05""",B',"=""0.00""","=""42719.14""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.12p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
Li,1,"=""234.822""","=""234.840""","=""0.006""","=""*""","=""1.65e+05""",B',"=""0.00""","=""42569.1""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
Li,1,"=""234.822""","=""234.840""","=""0.006""","=""*""","=""1.65e+05""",B',"=""0.00""","=""42569.1""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.11p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
Li,1,"=""235.893""","=""235.8929""","=""0.0008""","=""*""","=""2.09e+05""",B',"=""0.00""","=""42379.16""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""3/2""",2,4,,"=""T117""","=""L7397""",
Li,1,"=""235.893""","=""235.8929""","=""0.0008""","=""*""","=""2.09e+05""",B',"=""0.00""","=""42379.16""","=""1s2.2s""","=""2S""","=""1/2""","=""1s2.10p""","=""2P*""","=""1/2""",2,2,,"=""T117""","=""L7397""",
Li,2,"=""""","=""235.82""","=""0.17""","=""""","=""7.9551e+06""",AAA,"=""[558777.01]""","=""[601169]""","=""1s.3s""","=""1S""","=""0""","=""1s.7p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""""",
