element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Lu,2,"=""219.554""","=""219.5556+""","=""1700w""","=""7.14e+07""",,"=""0.00""","=""45532.33""","=""6s2""","=""1S""","=""0""","=""5d.6p""","=""3D*""","=""1""",1,3,,"=""T7227""","=""L3475""",
Lu,2,"=""261.542""","=""261.5412+""","=""18000""","=""4.53e+08""",,"=""0.00""","=""38223.49""","=""6s2""","=""1S""","=""0""","=""6s.6p""","=""1P*""","=""1""",1,3,,"=""T7227""","=""L3475""",
Lu,1,"=""272.895""","=""272.8944+""","=""480h""","=""2.32e+07""",B,"=""0.00""","=""36633.36""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.5f""","=""2F*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,2,"=""275.417""","=""275.4168+""","=""3600""","=""9.2e+07""",,"=""12435.32""","=""48733.19""","=""5d.6s""","=""3D""","=""2""","=""5d.6p""","=""3D*""","=""3""",5,7,,"=""T7101""","=""L3475""",
Lu,1,"=""288.514""","=""288.5140+""","=""570h""","=""2.31e+07""",B,"=""1993.92""","=""36644.12""","=""5d.6s2""","=""2D""","=""5/2""","=""6s2.5f""","=""2F*""","=""7/2""",6,8,,"=""T7218""","=""L3475""",
Lu,2,"=""289.484""","=""289.4839+""","=""6300""","=""1.66e+08""",,"=""14199.08""","=""48733.19""","=""5d.6s""","=""3D""","=""3""","=""5d.6p""","=""3D*""","=""3""",7,7,,"=""T7101""","=""L3475""",
Lu,1,"=""290.305""","=""290.3046+""","=""300""","=""7.9e+06""",B+,"=""0.00""","=""34436.49""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2P*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,2,"=""291.139""","=""291.1394+""","=""9000""","=""2.42e+08""",,"=""14199.08""","=""48536.83""","=""5d.6s""","=""3D""","=""3""","=""5d.6p""","=""3F*""","=""4""",7,9,,"=""T7101""","=""L3475""",
Lu,1,"=""298.927""","=""298.9281+""","=""1800""","=""1.28e+08""",B+,"=""0.00""","=""33443.10""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(1D).6p""","=""2P*""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,2,"=""307.760""","=""307.7605+""","=""7500""","=""1.24e+08""",,"=""12435.32""","=""44918.68""","=""5d.6s""","=""3D""","=""2""","=""5d.6p""","=""3F*""","=""3""",5,7,,"=""T7101""","=""L3475""",
Lu,1,"=""308.011""","=""308.0133+""","=""390""","=""7.2e+06""",B,"=""0.00""","=""32456.70""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(1D).6p""","=""2D*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""308.147""","=""308.1475+""","=""5100h""","=""2.62e+08""",B+,"=""1993.92""","=""34436.49""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""2P*""","=""3/2""",6,4,,"=""T7218""","=""L3475""",
Lu,1,"=""311.843""","=""311.8432+""","=""3000""","=""2.03e+08""",B+,"=""0.00""","=""32058.10""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2P*""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,1,"=""317.136""","=""317.1366+""","=""2400""","=""6.6e+07""",B+,"=""0.00""","=""31523.03""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(1D).6p""","=""2P*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,2,"=""325.431""","=""325.4312+""","=""4800""","=""6.0e+07""",,"=""14199.08""","=""44918.68""","=""5d.6s""","=""3D""","=""3""","=""5d.6p""","=""3F*""","=""3""",7,7,,"=""T7101""","=""L3475""",
Lu,1,"=""327.897""","=""327.8967+""","=""3800""","=""1.00e+08""",B+,"=""0.00""","=""30488.62""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.7p""","=""2P*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""328.174""","=""328.1749+""","=""7600""","=""3.05e+08""",B+,"=""1993.92""","=""32456.70""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""2D*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,1,"=""331.211""","=""331.2110+""","=""6200""","=""1.85e+08""",B+,"=""0.00""","=""30183.55""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2F*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""335.956""","=""335.9560+""","=""7600""","=""2.44e+08""",B+,"=""1993.92""","=""31751.17""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""2F*""","=""7/2""",6,8,,"=""T7218""","=""L3475""",
Lu,1,"=""337.650""","=""337.6495+""","=""6200""","=""1.68e+08""",B+,"=""0.00""","=""29608.01""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(1D).6p""","=""2D*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""338.550""","=""338.5517+""","=""950""","=""5.0e+07""",B+,"=""1993.92""","=""31523.03""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""2P*""","=""3/2""",6,4,,"=""T7218""","=""L3475""",
Lu,1,"=""339.682""","=""339.6797+""","=""1400""","=""1.03e+08""",B+,"=""0.00""","=""29431.05""","=""5d.6s2""","=""2D""","=""3/2""","=""6s2.7p""","=""2P*""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,2,"=""350.739""","=""350.7380+""","=""8300c""","=""1.25e+07""",,"=""0.00""","=""28503.16""","=""6s2""","=""1S""","=""0""","=""6s.6p""","=""3P*""","=""1""",1,3,,"=""T7227""","=""L3475""",
Lu,1,"=""350.842""","=""350.8421+""","=""1600""","=""6.5e+07""",B+,"=""1993.92""","=""30488.62""","=""5d.6s2""","=""2D""","=""5/2""","=""6s2.7p""","=""2P*""","=""3/2""",6,4,,"=""T7218""","=""L3475""",
Lu,1,"=""356.784""","=""356.7847+""","=""4800""","=""6.9e+07""",B+,"=""0.00""","=""28020.11""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(1D).6p""","=""2F*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""362.031""","=""362.0307+""","=""170""","=""1.1e+06""",D,"=""1993.92""","=""29608.01""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""2D*""","=""3/2""",6,4,,"=""T4515""","=""L7597""",
Lu,1,"=""363.625""","=""363.6250+""","=""680""","=""6.4e+06""",B+,"=""1993.92""","=""29486.94""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""2F*""","=""7/2""",6,8,,"=""T7218""","=""L3475""",
Lu,1,"=""364.777""","=""364.7782+""","=""2600""","=""9.2e+07""",B+,"=""4136.13""","=""31542.24""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.6d""","=""2D""","=""3/2""",2,4,,"=""T7218""","=""L3475""",
Lu,1,"=""384.118""","=""384.1194+""","=""2700""","=""2.65e+07""",B+,"=""1993.92""","=""28020.11""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(1D).6p""","=""2F*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,1,"=""396.846""","=""396.8461+""","=""480""","=""2.21e+06""",B+,"=""0.00""","=""25191.56""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4P*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""405.445""","=""405.4451+""","=""670""","=""2.01e+07""",B+,"=""4136.13""","=""28793.42""","=""6s2.6p""","=""2P*""","=""1/2""","=""5d2.(3P).6s""","=""2P""","=""1/2""",2,2,,"=""T7218""","=""L3475""",
Lu,1,"=""411.267""","=""411.2696+""","=""95h""","=""4.3e+05""",C+,"=""0.00""","=""24308.09""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4P*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""412.473""","=""412.4724+""","=""3100""","=""8.9e+07""",C+,"=""7476.39""","=""31713.60""","=""6s2.6p""","=""2P*""","=""3/2""","=""6s2.6d""","=""2D""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""415.408""","=""415.4094+""","=""460""","=""1.68e+07""",B+,"=""7476.39""","=""31542.24""","=""6s2.6p""","=""2P*""","=""3/2""","=""6s2.6d""","=""2D""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""430.957""","=""430.957+""","=""150""","=""6.6e+05""",B+,"=""1993.92""","=""25191.56""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4P*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,1,"=""448.015""","=""448.020+""","=""19""","=""8.8e+04""",C+,"=""1993.92""","=""24308.09""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4P*""","=""3/2""",6,4,,"=""T7218""","=""L16197""",
Lu,1,"=""449.885""","=""449.8848+""","=""60h""","=""1.28e+05""",B+,"=""0.00""","=""22221.68""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""451.857""","=""451.8556+""","=""3300""","=""2.26e+07""",B+,"=""0.00""","=""22124.76""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2D*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""465.802""","=""465.8011+""","=""1000""","=""3.15e+06""",B+,"=""0.00""","=""21462.38""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2D*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""468.977""","=""468.977+""","=""44""","=""1.32e+06""",C+,"=""7476.39""","=""28793.42""","=""6s2.6p""","=""2P*""","=""3/2""","=""5d2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""T7218""","=""L16197""",
Lu,1,"=""471.670""","=""471.6692+""","=""30""","=""1.13e+05""",C+,"=""0.00""","=""21195.37""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""481.505""","=""481.5037+""","=""85""","=""9.0e+05""",B+,"=""0.00""","=""20762.47""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,1,"=""494.234""","=""494.232+""","=""180""","=""9.7e+05""",B+,"=""1993.92""","=""22221.68""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4D*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
