element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mg,3,"=""180.0662""","=""180.0650""","=""15""","=""8.21e+08""",A,"=""477435.7""","=""532971.2""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""1F*""","=""3""",5,7,,"=""c46""","=""L1434""",
Mg,3,"=""180.3087""","=""180.3101""","=""2""","=""1.03e+07""",C+,"=""475502.9""","=""530962.9""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,3,"=""""","=""180.663""","=""""","=""4.42e+06""",C,"=""478846.1""","=""534197.7""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.3d""","=""3D*""","=""1""",5,3,,"=""c46""","=""""",
Mg,3,"=""""","=""180.764""","=""""","=""4.62e+06""",C,"=""479456.0""","=""534776.9""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3d""","=""1D*""","=""2""",3,5,,"=""c46""","=""""",
Mg,3,"=""""","=""180.865""","=""""","=""8.55e+04""",E,"=""477435.7""","=""532725.7""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3F*""","=""2""",5,5,,"=""c46""","=""""",
Mg,3,"=""182.0421""","=""182.0419""","=""5""","=""2.98e+08""",B+,"=""479265.3""","=""534197.7""","=""2s2.2p5.3p""","=""3P""","=""0""","=""2s2.2p5.3d""","=""3D*""","=""1""",1,3,,"=""c46""","=""L1434""",
Mg,3,"=""182.0896""","=""182.0907""","=""1""","=""3.05e+06""",C,"=""475502.9""","=""530420.6""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,3,"=""182.6750""","=""182.6761""","=""1""","=""1.32e+07""",C,"=""479456.0""","=""534197.7""","=""2s2.2p5.3p""","=""3P""","=""1""","=""2s2.2p5.3d""","=""3D*""","=""1""",3,3,,"=""c46""","=""L1434""",
Mg,1,"=""182.7934""","=""182.79351""","=""g,a""","=""1.60e+07""",B,"=""0.000""","=""54706.536""","=""2p6.3s2""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",1,3,,"=""T5539""","=""L535""",
Mg,3,"=""182.8974""","=""182.8979""","=""1""","=""4.97e+07""",C+,"=""475502.9""","=""530178.2""","=""2s2.2p5.3p""","=""3D""","=""1""","=""2s2.2p5.3d""","=""3P*""","=""0""",3,1,,"=""c46""","=""L1434""",
Mg,3,"=""183.8336""","=""183.8323""","=""4""","=""1.09e+08""",B,"=""477435.7""","=""531833.1""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3F*""","=""3""",5,7,,"=""c46""","=""L1434""",
Mg,3,"=""183.9878""","=""183.9886""","=""3""","=""4.55e+07""",C+,"=""478374.5""","=""532725.7""","=""2s2.2p5.3p""","=""1P""","=""1""","=""2s2.2p5.3d""","=""3F*""","=""2""",3,5,,"=""c46""","=""L1434""",
Mg,3,"=""184.7561""","=""184.7572""","=""1""","=""3.74e+06""",C,"=""478846.1""","=""532971.2""","=""2s2.2p5.3p""","=""3P""","=""2""","=""2s2.2p5.3d""","=""1F*""","=""3""",5,7,,"=""c46""","=""L1434""",
Mg,3,"=""185.8186""","=""185.8194""","=""13""","=""1.28e+08""",B,"=""425640.3""","=""479456.0""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""1""",5,3,,"=""c46""","=""L1434""",
Mg,3,"=""186.8225""","=""186.8209""","=""7""","=""1.94e+08""",B+,"=""477435.7""","=""530962.9""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""2""",5,5,,"=""c46""","=""L1434""",
Mg,3,"=""187.9492""","=""187.9494""","=""12""","=""1.76e+08""",B+,"=""425640.3""","=""478846.1""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""3P""","=""2""",5,5,,"=""c46""","=""L1434""",
Mg,3,"=""188.7308""","=""188.7330""","=""4""","=""7.56e+07""",B,"=""477435.7""","=""530420.6""","=""2s2.2p5.3p""","=""1D""","=""2""","=""2s2.2p5.3d""","=""3P*""","=""1""",5,3,,"=""c46""","=""L1434""",
Mg,3,"=""189.6304""","=""189.6303""","=""5""","=""4.20e+07""",B,"=""425640.3""","=""478374.5""","=""2s2.2p5.3s""","=""3P*""","=""2""","=""2s2.2p5.3p""","=""1P""","=""1""",5,3,,"=""c46""","=""L1434""",
