element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mn,2,"=""181.3866""","=""0.0006""","=""181.3871""","=""0.0003""","=""30""","=""2.6e+08""",D,"=""54938.213""","=""110068.93""","=""3d4.4s2""","=""c 5D""","=""1""","=""3d4.4s.4p""","=""u 5D*""","=""2""",3,5,,"=""c88""","=""L562""",
Mn,2,"=""181.524""","=""0.0015""","=""181.5236""","=""0.0006""","=""40""","=""2.4e+08""",D,"=""55116.333""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.4s.4p""","=""u 5D*""","=""3""",5,7,,"=""c88""","=""L562""",
Mn,2,"=""181.6284""","=""0.0018""","=""181.6282""","=""0.0004""","=""25*""","=""1.6e+08""",D,"=""55371.693""","=""110429.23""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""4""",7,9,,"=""c88""","=""L562""",
Mn,2,"=""181.753""","=""0.002""","=""181.75331""","=""0.00017""","=""150D*""","=""8.e+07""",D,"=""30523.71""","=""85543.34""","=""3d6""","=""a 3H""","=""6""","=""3d5.(2H).4p""","=""w 3G*""","=""5""",13,11,,"=""c88""","=""L562""",
Mn,2,"=""182.2213""","=""0.0018""","=""182.2206""","=""0.0005""","=""30*""","=""3.7e+08""",D,"=""55116.333""","=""109994.87""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.4s.4p""","=""u 5D*""","=""1""",5,3,,"=""c88""","=""L562""",
Mn,2,"=""182.369""","=""0.0015""","=""182.3689""","=""0.0006""","=""30""","=""3.4e+08""",D,"=""55371.693""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""3""",7,7,,"=""c88""","=""L562""",
Mn,2,"=""182.7076""","=""0.0006""","=""182.7077""","=""0.0004""","=""100""","=""6.5e+08""",C,"=""55697.014""","=""110429.23""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.4s.4p""","=""u 5D*""","=""4""",9,9,,"=""c88""","=""L562""",
Mn,2,"=""182.8251""","=""0.0006""","=""182.8246""","=""0.0003""","=""10""","=""3.0e+08""",D,"=""55371.693""","=""110068.93""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.4s.4p""","=""u 5D*""","=""2""",7,5,,"=""c88""","=""L562""",
Mn,2,"=""183.457""","=""0.0015""","=""183.4573""","=""0.0006""","=""30""","=""1.8e+08""",D,"=""55697.014""","=""110205.6""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.4s.4p""","=""u 5D*""","=""3""",9,7,,"=""c88""","=""L562""",
Mn,2,"=""183.6508""","=""0.0006""","=""183.65110""","=""0.00005""","=""50""","=""3.3e+06""",D+,"=""14593.835""","=""69044.91""","=""3d6""","=""a 5D""","=""3""","=""3d5.(4P).4p""","=""z 3P*""","=""2""",7,5,,"=""T7259""","=""L562""",
Mn,2,"=""183.713""","=""0.0015""","=""183.71334""","=""0.00014""","=""80""","=""9.e+07""",D,"=""33147.71""","=""87580.34""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(a 2G).4p""","=""u 3F*""","=""4""",11,9,,"=""c88""","=""L562""",
Mn,2,"=""184.2863""","=""0.0006""","=""184.28524""","=""0.00005""","=""50*""","=""4.2e+06""",D+,"=""14781.205""","=""69044.91""","=""3d6""","=""a 5D""","=""2""","=""3d5.(4P).4p""","=""z 3P*""","=""2""",5,5,,"=""T7259""","=""L562""",
Mn,2,"=""184.693""","=""0.0015""","=""184.69367""","=""0.00005""","=""10""","=""1.2e+06""",D+,"=""14901.203""","=""69044.91""","=""3d6""","=""a 5D""","=""1""","=""3d5.(4P).4p""","=""z 3P*""","=""2""",3,5,,"=""T7259""","=""L562""",
Mn,2,"=""184.773""","=""0.002""","=""184.77379""","=""0.00020""","=""150*""","=""1.0e+08""",D,"=""30523.71""","=""84643.94""","=""3d6""","=""a 3H""","=""6""","=""3d5.(a 2G).4p""","=""x 3H*""","=""6""",13,13,,"=""c88""","=""L562""",
Mn,2,"=""184.773""","=""0.002""","=""184.7776""","=""0.0005""","=""150*""","=""3.0e+08""",D,"=""55116.333""","=""109235.44""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""1""",5,3,,"=""c88""","=""L562""",
