element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""254.8224""","=""""","=""254.82240+""","=""330""","=""1.60e+07""",B,"=""10768.332""","=""49999.575""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""256.7049""","=""""","=""256.70492+""","=""250""","=""5.9e+07""",B,"=""10768.332""","=""49711.894""","=""4d5.(6S).5s""","=""a 5S""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""261.1201""","=""""","=""261.12016+""","=""190""","=""3.7e+07""",B,"=""12346.280""","=""50631.392""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4G).5p""","=""w 3G*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""261.3084""","=""""","=""261.30842+""","=""290""","=""8.5e+07""",B,"=""11454.362""","=""49711.894""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""261.6786""","=""""","=""261.67862+""","=""400""","=""7.3e+07""",B,"=""11142.784""","=""49346.196""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""262.1063""","=""""","=""262.10631+""","=""140""","=""1.16e+07""",B,"=""11858.498""","=""49999.575""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""262.8962""","=""""","=""262.89622+""","=""80""","=""2.8e+07""",B,"=""11142.784""","=""49169.268""","=""4d4.5s2""","=""a 5D""","=""1""","=""""","=""27*""","=""1""",3,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""262.9849""","=""""","=""262.98490+""","=""440""","=""7.7e+07""",B,"=""11454.362""","=""49468.023""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""263.1502""","=""""","=""263.15020+""","=""65""","=""2.54e+07""",B,"=""10965.947""","=""48955.732""","=""4d4.5s2""","=""a 5D""","=""0""","=""""","=""26*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""263.8305""","=""""","=""263.83048+""","=""250""","=""7.6e+07""",B,"=""11454.362""","=""49346.196""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""2""",5,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""264.0984""","=""""","=""264.09840+""","=""410""","=""1.20e+08""",B,"=""11858.498""","=""49711.894""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""264.4362""","=""""","=""264.43620+""","=""154""","=""1.96e+07""",B,"=""11454.362""","=""49259.406""","=""4d4.5s2""","=""a 5D""","=""2""","=""""","=""28*""","=""3""",5,7,,"=""T5293""","=""L10250""",
Mo,1,"=""264.9458""","=""""","=""264.94583+""","=""640""","=""9.8e+07""",B,"=""11858.498""","=""49590.828""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""265.5020""","=""""","=""265.50199+""","=""560h""","=""4.1e+07""",B,"=""12346.280""","=""49999.575""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d4.5s.(4D).5p""","=""v 5P*""","=""3""",9,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""265.8110""","=""""","=""265.81100+""","=""290""","=""6.4e+07""",B,"=""11858.498""","=""49468.023""","=""4d4.5s2""","=""a 5D""","=""3""","=""4d4.5s.(4G).5p""","=""t 5F*""","=""3""",7,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""266.5093""","=""""","=""266.50937+""","=""110""","=""1.32e+07""",B,"=""11858.498""","=""49369.475""","=""4d4.5s2""","=""a 5D""","=""3""","=""""","=""29*""","=""4""",7,9,,"=""T5293""","=""L10250,L3475""",
