element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,3,"=""""","=""180.080""","=""""","=""7.06e+07""",C+,"=""332826.0""","=""388356.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.164""","=""""","=""4.70e+07""",C+,"=""332804.4""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""3/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.234""","=""""","=""1.15e+08""",C+,"=""332826.0""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",6,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.325""","=""""","=""3.82e+07""",C+,"=""332854.0""","=""388309.3""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4D""","=""5/2""",8,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.353""","=""""","=""2.86e+07""",C+,"=""332826.0""","=""388272.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""5/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",6,8,,"=""T7192LS""","=""""",
N,3,"=""""","=""180.444""","=""""","=""1.72e+08""",C+,"=""332854.0""","=""388272.8""","=""2s.2p.(3P*).3d""","=""4D*""","=""7/2""","=""2s.2p.(3P*).4f""","=""4D""","=""7/2""",8,8,,"=""T7192LS""","=""""",
N,3,"=""180.4486""","=""180.449""","=""150""","=""2.49e+08""",B,"=""245665.4""","=""301082.6""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.4s""","=""2S""","=""1/2""",2,2,,"=""T7192LS""","=""L3513""",
N,2,"=""""","=""180.524""","=""""","=""2.48e+04""",C,"=""109216.6""","=""164610.76""","=""2s.2p3""","=""3P*""","=""1""","=""2s2.2p.3p""","=""1P""","=""1""",3,3,,"=""T7333""","=""""",
N,2,"=""""","=""180.528""","=""""","=""3.05e+03""",C,"=""109217.6""","=""164610.76""","=""2s.2p3""","=""3P*""","=""2""","=""2s2.2p.3p""","=""1P""","=""1""",5,3,,"=""T7333""","=""""",
N,2,"=""""","=""180.547""","=""""","=""4.06e+03""",C,"=""109223.5""","=""164610.76""","=""2s.2p3""","=""3P*""","=""0""","=""2s2.2p.3p""","=""1P""","=""1""",1,3,,"=""T7333""","=""""",
N,3,"=""180.5669""","=""180.566""","=""200""","=""4.96e+08""",B,"=""245701.3""","=""301082.6""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.4s""","=""2S""","=""1/2""",4,2,,"=""T7192LS""","=""L3513""",
N,3,"=""""","=""180.996""","=""""","=""2.13e+07""",B,"=""311690.3""","=""366940""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s2.8d""","=""2D""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.078""","=""""","=""2.55e+07""",B,"=""311715.2""","=""366940""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""5/2""",4,6,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.078""","=""""","=""4.25e+06""",B,"=""311715.2""","=""366940""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s2.8d""","=""2D""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.632""","=""""","=""1.73e+06""",B,"=""379300.1""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.632""","=""""","=""4.32e+06""",B,"=""379300.1""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""1/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""1.38e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""3/2""",4,4,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""8.62e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""1/2""",4,2,,"=""T7192LS""","=""""",
N,3,"=""""","=""181.779""","=""""","=""3.10e+06""",B,"=""379344.8""","=""434356.6""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""","=""2s.2p.(3P*).8d""","=""4P*""","=""5/2""",4,6,,"=""T7192LS""","=""""",
