element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Na,3,"=""""","=""""","=""180.9901""","=""0.0009""","=""""","=""4.19e+05""",D,"=""411536.38""","=""466788.03""","=""2s2.2p4.(3P).3p""","=""4D*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",6,4,,"=""c51,T7317""","=""""",
Na,3,"=""""","=""""","=""182.3611""","=""0.0009""","=""""","=""2.04e+05""",D,"=""411951.78""","=""466788.03""","=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",4,4,,"=""c51,T7317""","=""""",
Na,3,"=""""","=""""","=""183.1550""","=""0.0009""","=""""","=""8.74e+05""",D,"=""412189.46""","=""466788.03""","=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""3/2""",2,4,,"=""c51,T7317""","=""""",
Na,3,"=""""","=""""","=""183.5031""","=""0.0010""","=""""","=""1.01e+07""",C+,"=""440940.20""","=""495435.20""","=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""",6,8,,"=""c51,T7317""","=""""",
Na,3,"=""183.5223""","=""0.0005""","=""183.5214""","=""0.0010""","=""10bl""","=""3.31e+08""",B+,"=""440940.20""","=""495429.75""","=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""",6,6,,"=""c51,T7317""","=""L1882""",
Na,3,"=""183.8122""","=""0.0005""","=""183.8118""","=""0.0010""","=""8bl""","=""6.77e+07""",B+,"=""406190.15""","=""460593.62""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""3/2""",6,4,,"=""c51,T7317""","=""L1882""",
Na,3,"=""183.8944""","=""0.0005""","=""183.8927""","=""0.0010""","=""10""","=""3.31e+08""",B+,"=""441055.67""","=""495435.20""","=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""7/2""",8,8,,"=""c51,T7317""","=""L1882""",
Na,3,"=""""","=""""","=""183.9112""","=""0.0010""","=""""","=""1.86e+07""",C+,"=""441055.67""","=""495429.75""","=""2s2.2p4.(1D).3p""","=""2F*""","=""7/2""","=""2s2.2p4.(1D).3d""","=""2F""","=""5/2""",8,6,,"=""c51,T7317""","=""""",
Na,3,"=""184.4362""","=""0.0005""","=""184.4353""","=""0.0010""","=""11""","=""3.00e+08""",B+,"=""406190.15""","=""460409.70""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",6,6,,"=""c51,T7317""","=""L1882""",
Na,3,"=""184.5149""","=""0.0005""","=""184.5143""","=""0.0010""","=""9""","=""1.69e+08""",B+,"=""406550.63""","=""460746.98""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""1/2""",4,2,,"=""c51,T7317""","=""L1882""",
Na,3,"=""184.9564""","=""0.0005""","=""184.9555""","=""0.0010""","=""15""","=""6.87e+08""",A,"=""406190.15""","=""460257.21""","=""2s2.2p4.(3P).3p""","=""4P*""","=""5/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""7/2""",6,8,,"=""c51,T7317""","=""L1882""",
Na,3,"=""""","=""""","=""184.9792""","=""0.0010""","=""""","=""5.09e+04""",E,"=""411951.78""","=""466011.91""","=""2s2.2p4.(3P).3p""","=""4D*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""",4,2,,"=""c51,T7317""","=""""",
Na,3,"=""185.0379""","=""0.0005""","=""185.0379""","=""0.0010""","=""12""","=""4.37e+08""",B+,"=""406550.63""","=""460593.62""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""3/2""",4,4,,"=""c51,T7317""","=""L1882""",
Na,3,"=""""","=""""","=""185.2935""","=""0.0010""","=""""","=""1.30e+07""",C+,"=""410976.94""","=""464945.37""","=""2s2.2p4.(3P).3p""","=""4D*""","=""7/2""","=""2s2.2p4.(3P).3d""","=""4P""","=""5/2""",8,6,,"=""c51,T7317""","=""""",
Na,3,"=""185.592""","=""0.0010""","=""185.5912""","=""0.0010""","=""10bl""","=""5.77e+08""",B+,"=""406865.11""","=""460746.98""","=""2s2.2p4.(3P).3p""","=""4P*""","=""1/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""1/2""",2,2,,"=""c51,T7317""","=""L1882""",
Na,3,"=""185.671""","=""0.0010""","=""185.6697""","=""0.0010""","=""10bl""","=""4.22e+08""",B+,"=""406550.63""","=""460409.70""","=""2s2.2p4.(3P).3p""","=""4P*""","=""3/2""","=""2s2.2p4.(3P).3d""","=""4D""","=""5/2""",4,6,,"=""c51,T7317""","=""L1882""",
Na,3,"=""""","=""""","=""185.7961""","=""0.0010""","=""""","=""4.10e+05""",D,"=""412189.46""","=""466011.91""","=""2s2.2p4.(3P).3p""","=""4D*""","=""1/2""","=""2s2.2p4.(3P).3d""","=""2P""","=""1/2""",2,2,,"=""c51,T7317""","=""""",
Na,3,"=""186.0610""","=""0.0005""","=""186.0615""","=""0.0010""","=""1""","=""4.97e+07""",B,"=""440940.20""","=""494685.86""","=""2s2.2p4.(1D).3p""","=""2F*""","=""5/2""","=""2s2.2p4.(1D).3d""","=""2D""","=""3/2""",6,4,,"=""c51,T7317""","=""L1882""",
