element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Ne,3,"=""180.731""","=""""","=""180.7339""","=""0.0004""","=""100bl""","=""2.7e+06""",D,"=""435555.356""","=""490885.32""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""3""","=""2s2.2p3.(2D*).4f""","=""3H""","=""4""",7,9,,"=""T8046""","=""L10704""",
Ne,3,"=""181.0663""","=""""","=""181.0668""","=""0.0005""","=""180""","=""5.3e+08""",D,"=""435583.09""","=""490811.32""","=""2s2.2p3.(2D*).3d""","=""1S*""","=""0""","=""2s2.2p3.(2D*).4f""","=""1P""","=""1""",1,3,,"=""T8046""","=""L10704""",
Ne,3,"=""181.2205""","=""""","=""181.2206""","=""0.0004""","=""800""","=""9.6e+08""",D,"=""435608.467""","=""490789.83""","=""2s2.2p3.(2D*).3d""","=""3F*""","=""4""","=""2s2.2p3.(2D*).4f""","=""3G""","=""5""",9,11,,"=""T8046""","=""L10704""",
Ne,3,"=""""","=""""","=""181.456""","=""0.003""","=""""","=""2.06e+00""",A,"=""642.876""","=""55752.7""","=""2s2.2p4""","=""3P""","=""1""","=""2s2.2p4""","=""1S""","=""0""",3,1,M1,"=""c52""","=""""",
Ne,3,"=""182.2468""","=""""","=""182.2467""","=""0.0003""","=""600""","=""1.2e+09""",D,"=""394681.481+x""","=""449552.15+x""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""4""","=""2s2.2p3.(4S*).4f""","=""5F""","=""5""",9,11,,"=""T8046""","=""L10704""",
Ne,3,"=""182.2546""","=""""","=""182.2546""","=""0.0004""","=""500""","=""1.0e+09""",D,"=""394684.08+x""","=""449552.39+x""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""3""","=""2s2.2p3.(4S*).4f""","=""5F""","=""4""",7,9,,"=""T8046""","=""L10704""",
Ne,3,"=""182.2652""","=""""","=""182.2652""","=""0.0004""","=""300""","=""8.5e+08""",D,"=""394687.67+x""","=""449552.77+x""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""2""","=""2s2.2p3.(4S*).4f""","=""5F""","=""3""",5,7,,"=""T8046""","=""L10704""",
Ne,3,"=""182.2746""","=""""","=""182.2746""","=""0.0010""","=""200""","=""7.0e+08""",D,"=""394690.72+x""","=""449553.0+x""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""1""","=""2s2.2p3.(4S*).4f""","=""5F""","=""2""",3,5,,"=""T8046""","=""L10704""",
Ne,3,"=""182.2806""","=""""","=""182.2805""","=""0.0010""","=""160""","=""5.8e+08""",D,"=""394692.40+x""","=""449552.9+x""","=""2s2.2p3.(4S*).3d""","=""5D*""","=""0""","=""2s2.2p3.(4S*).4f""","=""5F""","=""1""",1,3,,"=""T8046""","=""L10704""",
