element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,3,"=""""","=""180.382""","=""""","=""1.83e+07""",C+,"=""370902.22""","=""426340""","=""2s2.2p.(2P*).4p""","=""1D""","=""2""","=""2s.2p2.(2D).3p""","=""1D*""","=""2""",5,5,,"=""T5376""","=""""",
O,2,"=""182.1545""","=""182.1551""","=""10""","=""1.02e+07""",C,"=""206971.68""","=""261869.94""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",6,6,,"=""T5723LS""","=""L10549""",
O,2,"=""""","=""182.1586""","=""""","=""7.27e+05""",D,"=""206972.72""","=""261869.94""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""5/2""",4,6,,"=""T5723LS""","=""L11267""",
O,1,"=""""","=""182.706""","=""""","=""1.52e+05""",D,"=""88630.587""","=""143363.4""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""2""",3,5,,"=""T5803""","=""""",
O,1,"=""""","=""182.706""","=""""","=""7.79e+04""",D,"=""88630.587""","=""143363.4""","=""2s2.2p3.(4S*).3p""","=""3P""","=""1""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""1""",3,3,,"=""T5803""","=""""",
O,1,"=""""","=""182.708""","=""""","=""1.96e+05""",D,"=""88631.146""","=""143363.4""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""3""",5,7,,"=""T5803""","=""""",
O,1,"=""""","=""182.708""","=""""","=""1.12e+05""",D,"=""88631.303""","=""143363.4""","=""2s2.2p3.(4S*).3p""","=""3P""","=""0""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""1""",1,3,,"=""T5803""","=""""",
O,1,"=""""","=""182.708""","=""""","=""4.32e+04""",D,"=""88631.146""","=""143363.4""","=""2s2.2p3.(4S*).3p""","=""3P""","=""2""","=""2s2.2p3.(2P*).4d""","=""3D*""","=""2""",5,5,,"=""T5803""","=""""",
O,2,"=""182.7276""","=""182.7249""","=""8*""","=""1.08e+06""",D,"=""206971.68""","=""261698.75""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""","=""2s2.2p2.(3P).5p""","=""2D*""","=""3/2""",6,4,,"=""T5723LS""","=""L10549""",
