element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Os,3,"=""180.11256""","=""0.0005""","=""180.1119""","=""0.0003""","=""611""","=""6.09e+07""",,"=""28702.51""","=""84223.56""","=""5d5.(4G).6s""","=""5G""","=""5""","=""5d5.(4G).6p""","=""5F*""","=""5""",11,11,,"=""T9870""","=""L20381""",
Os,3,"=""180.23020""","=""0.0005""","=""180.2304""","=""0.0003""","=""72""","=""1.71e+07""",,"=""21136.37""","=""76620.91""","=""5d6""","=""3D""","=""2""","=""5d5.6p""","=""76620*""","=""3""",5,7,,"=""T9870""","=""L20381""",
Os,3,"=""180.35471""","=""0.0005""","=""180.3554""","=""0.0004""","=""16""","=""1.09e+07""",,"=""41236.86""","=""96682.95""","=""5d5.(4F).6s""","=""5F""","=""5""","=""5d5.(4D).6p""","=""5F*""","=""5""",11,11,,"=""T9870""","=""L20381""",
Os,3,"=""180.37651""","=""0.0005""","=""180.3765""","=""0.0003""","=""1703""","=""5.44e+08""",,"=""4578.41""","=""60018.00""","=""5d5.(6S).6s""","=""7S""","=""3""","=""5d5.(6S).6p""","=""7P*""","=""2""",7,5,,"=""T9870""","=""L20381""",
Os,3,"=""180.51633""","=""0.0005""","=""180.5160""","=""0.0003""","=""427""","=""6.82e+07""",,"=""43997.75""","=""99394.49""","=""5d5.(4G).6s""","=""3G""","=""5""","=""5d5.6p""","=""99394*""","=""5""",11,11,,"=""T9870""","=""L20381""",
Os,3,"=""180.60369""","=""0.0005""","=""180.6036""","=""0.0004""","=""28""","=""3.44e+07""",,"=""48302.11""","=""103672.00""","=""5d5.(2G2).6s""","=""3G""","=""5""","=""5d5.6p""","=""103672*""","=""4""",11,9,,"=""T9870""","=""L20381""",
Os,3,"=""180.72951""","=""0.0005""","=""180.7289""","=""0.0004""","=""300""","=""3.57e+07""",,"=""25936.28""","=""81267.77""","=""5d5.6s""","=""25936""","=""3""","=""5d5.6p""","=""81267*""","=""3""",7,7,,"=""T9870""","=""L20381""",
Os,3,"=""181.16970""","=""0.0005""","=""181.1703""","=""0.0005""","=""29""","=""2.56e+07""",,"=""50499.32""","=""105695.99""","=""5d5.6s""","=""50499""","=""4""","=""5d5.6p""","=""105695*""","=""4""",9,9,,"=""T9870""","=""L20381""",
Os,3,"=""""","=""""","=""181.3242""","=""0.0005""","=""m(Os III)""","=""1.00e+08""",,"=""29237.90""","=""84387.74""","=""5d5.6s""","=""29237""","=""2""","=""""","=""84387*""","=""1""",5,3,,"=""T9870""","=""L20381""",
Os,3,"=""181.32586""","=""0.0005""","=""181.3261""","=""0.0003""","=""1056""","=""2.06e+08""",,"=""26118.50""","=""81267.77""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d5.6p""","=""81267*""","=""3""",5,7,,"=""T9870""","=""L20381""",
Os,3,"=""181.64846""","=""0.0010""","=""181.6473""","=""0.0005""","=""358bl""","=""3.33e+07""",,"=""35710.22""","=""90761.97""","=""5d5.(4D).6s""","=""5D""","=""3""","=""5d5.6p""","=""90761*""","=""4""",7,9,,"=""T9870""","=""L20381""",
Os,3,"=""181.66241""","=""0.0005""","=""181.6620""","=""0.0003""","=""1161""","=""2.58e+08""",,"=""42871.88""","=""97919.16""","=""5d5.(2I).6s""","=""3I""","=""7""","=""5d5.(2I).6p""","=""3H*""","=""6""",15,13,,"=""T9870""","=""L20381""",
Os,3,"=""182.14760""","=""0.0005""","=""182.1475""","=""0.0004""","=""71""","=""4.82e+07""",,"=""47785.16""","=""102685.72""","=""5d5.(2I).6s""","=""1I""","=""6""","=""""","=""102685*""","=""5""",13,11,,"=""T9870""","=""L20381""",
Os,3,"=""182.22961""","=""0.0005""","=""182.2294""","=""0.0003""","=""444""","=""5.00e+07""",,"=""21745.01""","=""76620.91""","=""5d6""","=""3D""","=""3""","=""5d5.6p""","=""76620*""","=""3""",7,7,,"=""T9870""","=""L20381""",
Os,3,"=""182.52813""","=""0.0005""","=""182.5286""","=""0.0004""","=""38""","=""3.60e+07""",,"=""44000.29""","=""98786.22""","=""""","=""44000""","=""3""","=""""","=""98786*""","=""2""",7,5,,"=""T9870""","=""L20381""",
Os,3,"=""182.54497""","=""0.0005""","=""182.5454""","=""0.0003""","=""988""","=""2.38e+08""",,"=""43997.75""","=""98778.65""","=""5d5.(4G).6s""","=""3G""","=""5""","=""5d5.(4G).6p""","=""3G*""","=""5""",11,11,,"=""T9870""","=""L20381""",
Os,3,"=""182.67644""","=""0.0005""","=""182.6768""","=""0.0003""","=""388""","=""5.31e+07""",,"=""38705.98""","=""93447.48""","=""5d5.(2I).6s""","=""3I""","=""5""","=""5d5.(4G).6p""","=""3H*""","=""6""",11,13,,"=""T9870""","=""L20381""",
Os,3,"=""182.86891""","=""0.0005""","=""182.8695""","=""0.0003""","=""80""","=""1.00e+07""",,"=""25936.28""","=""80620.07""","=""5d5.6s""","=""25936""","=""3""","=""5d5.6p""","=""80620*""","=""2""",7,5,,"=""T9870""","=""L20381""",
Os,3,"=""182.97522""","=""0.0005""","=""182.9750""","=""0.0004""","=""89""","=""9.11e+07""",,"=""53663.39""","=""108315.66""","=""5d5.6s""","=""53663""","=""4""","=""""","=""108315*""","=""4""",9,9,,"=""T9870""","=""L20381""",
Os,3,"=""182.99324""","=""0.0005""","=""182.9928""","=""0.0005""","=""25""","=""3.40e+07""",,"=""39842.60""","=""94489.56""","=""""","=""39842""","=""2""","=""5d5.6p""","=""94489*""","=""2""",5,5,,"=""T9870""","=""L20381""",
Os,3,"=""183.01333""","=""0.0005""","=""183.0134""","=""0.0004""","=""1065""","=""1.98e+08""",,"=""38847.26""","=""93488.08""","=""5d5.(4G).6s""","=""3G""","=""3""","=""5d5.(4G).6p""","=""3H*""","=""4""",7,9,,"=""T9870""","=""L20381""",
Os,3,"=""183.08389""","=""0.0005""","=""183.0841""","=""0.0003""","=""1328""","=""2.37e+08""",,"=""28702.51""","=""83322.22""","=""5d5.(4G).6s""","=""5G""","=""5""","=""5d5.6p""","=""83322*""","=""4""",11,9,,"=""T9870""","=""L20381""",
Os,3,"=""183.09532""","=""0.0005""","=""183.0956""","=""0.0003""","=""30""","=""4.85e+07""",,"=""47785.16""","=""102401.44""","=""5d5.(2I).6s""","=""1I""","=""6""","=""5d5.6p""","=""102401*""","=""6""",13,13,,"=""T9870""","=""L20381""",
Os,3,"=""183.15608""","=""0.0005""","=""183.1560""","=""0.0004""","=""880""","=""2.07e+08""",,"=""47785.16""","=""102383.43""","=""5d5.(2I).6s""","=""1I""","=""6""","=""5d5.(2I).6p""","=""1K*""","=""7""",13,15,,"=""T9870""","=""L20381""",
Os,3,"=""183.33701""","=""0.0005""","=""183.3369""","=""0.0004""","=""260""","=""8.00e+07""",,"=""43501.91""","=""98046.31""","=""5d5.(4F).6s""","=""5F""","=""4""","=""""","=""98046*""","=""4""",9,9,,"=""T9870""","=""L20381""",
Os,3,"=""183.45909""","=""0.0005""","=""183.4586""","=""0.0003""","=""80""","=""4.44e+07""",,"=""43997.75""","=""98505.95""","=""5d5.(4G).6s""","=""3G""","=""5""","=""5d5.6p""","=""98505*""","=""4""",11,9,,"=""T9870""","=""L20381""",
Os,3,"=""183.48099""","=""0.0005""","=""183.4810""","=""0.0003""","=""774bl(Al II)""","=""1.04e+08""",,"=""26118.50""","=""80620.07""","=""5d5.(4G).6s""","=""5G""","=""2""","=""5d5.6p""","=""80620*""","=""2""",5,5,,"=""T9870""","=""L20381""",
Os,3,"=""183.55334""","=""0.0005""","=""183.5535""","=""0.0004""","=""125""","=""1.06e+08""",,"=""45225.11""","=""99705.14""","=""5d5.6s""","=""45225""","=""2""","=""""","=""99705*""","=""3""",5,7,,"=""T9870""","=""L20381""",
Os,3,"=""183.67296""","=""0.0005""","=""183.6727""","=""0.0004""","=""23""","=""1.57e+07""",,"=""36473.90""","=""90918.56""","=""5d5.6s""","=""36473""","=""2""","=""5d5.6p""","=""90918*""","=""3""",5,7,,"=""T9870""","=""L20381""",
Os,3,"=""183.83257""","=""0.0005""","=""183.8329""","=""0.0004""","=""219""","=""1.22e+08""",,"=""45223.77""","=""99621.00""","=""5d5.(4D).6s""","=""3D""","=""3""","=""""","=""99621*""","=""2""",7,5,,"=""T9870""","=""L20381""",
Os,3,"=""183.90117""","=""0.0010""","=""183.9023""","=""0.0006""","=""14""","=""2.33e+07""",,"=""51319.29""","=""105695.99""","=""5d5.6s""","=""51319""","=""4""","=""5d5.6p""","=""105695*""","=""4""",9,9,,"=""T9870""","=""L20381""",
Os,3,"=""184.02627""","=""0.0005""","=""184.0256""","=""0.0004""","=""272""","=""3.33e+07""",,"=""50499.32""","=""104839.58""","=""5d5.6s""","=""50499""","=""4""","=""""","=""104839*""","=""4""",9,9,,"=""T9870""","=""L20381""",
Os,3,"=""184.06730""","=""0.0005""","=""184.0672""","=""0.0004""","=""61""","=""8.29e+07""",,"=""49019.74""","=""103347.71""","=""5d5.(2G2).6s""","=""3G""","=""3""","=""""","=""103347*""","=""3""",7,7,,"=""T9870""","=""L20381""",
Os,3,"=""184.20362""","=""0.0005""","=""184.2046""","=""0.0003""","=""26""","=""2.00e+07""",,"=""40611.66""","=""94899.13""","=""5d5.(4G).6s""","=""3G""","=""4""","=""5d5.6p""","=""94899*""","=""4""",9,9,,"=""T9870""","=""L20381""",
