element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pr,2,"=""379.251""","=""379.2436+""","=""210""","=""6.1e+06""",C+,"=""1649.01""","=""28009.80""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""385.155""","=""385.1497+""","=""720c*""","=""1.16e+07""",C+,"=""441.95""","=""26398.52""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""388.934""","=""388.9334+""","=""440c""","=""9.3e+06""",C+,"=""441.95""","=""26146.01""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""392.053""","=""392.0532+""","=""250*""","=""4.9e+06""",C+,"=""0.00""","=""25499.52""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""4f3.(4I*).6p?""","=""""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""392.547""","=""392.5466+""","=""960""","=""2.29e+07""",C+,"=""0.00""","=""25467.47""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""""","=""4""",9,9,,"=""T8137""","=""L3475""",
Pr,2,"=""394.943""","=""394.9429+""","=""900c""","=""2.25e+07""",B,"=""1649.01""","=""26961.96""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""396.426""","=""396.4262+""","=""560""","=""1.92e+07""",B,"=""1743.72""","=""26961.96""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""396.481""","=""396.4812+""","=""1600c""","=""3.8e+07""",B+,"=""441.95""","=""25656.69&dagger;""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p""","=""5I""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""396.657""","=""396.6566+""","=""560c""","=""1.85e+07""",B,"=""2998.36""","=""28201.95""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5I""","=""8""",15,17,,"=""T8137""","=""L3475""",
Pr,2,"=""397.116""","=""397.1134+""","=""500*""","=""1.91e+06""",C+,"=""2998.36""","=""28172.96""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""""","=""7""",15,15,,"=""T8137""","=""L3475""",
Pr,2,"=""397.116""","=""397.1137+""","=""500*""","=""1.90e+07""",C+,"=""3403.21""","=""28577.79""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""4f3.(4I*).6p?""","=""3I?""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""397.214""","=""397.2136+""","=""620c""","=""1.38e+07""",B+,"=""441.95""","=""25610.20""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""398.968""","=""398.9682+""","=""1300c""","=""2.01e+07""",B,"=""441.95""","=""25499.52""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""399.479""","=""399.4791+""","=""1600""","=""4.4e+07""",B,"=""441.95""","=""25467.47""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""4""",11,9,,"=""T8137""","=""L3475""",
Pr,2,"=""399.704""","=""399.7040+""","=""560c""","=""1.71e+07""",B,"=""2998.36""","=""28009.80""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""4f3.(4I*).6p?""","=""""","=""7""",15,15,,"=""T8137""","=""L3475""",
Pr,2,"=""400.017""","=""400.0173+""","=""620c""","=""1.15e+07""",B,"=""1649.01""","=""26640.86""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""400.470""","=""400.4702+""","=""730""","=""2.13e+07""",B+,"=""1743.72""","=""26707.31""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""401.539""","=""401.5391+""","=""730""","=""1.64e+07""",B+,"=""1743.72""","=""26640.86""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""403.175""","=""403.1753+""","=""730c""","=""1.45e+07""",B,"=""1649.01""","=""26445.11""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""403.383""","=""403.3830+""","=""960""","=""2.15e+07""",B+,"=""2998.36""","=""27781.69""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""""","=""8""",15,17,,"=""T8137""","=""L3475""",
