element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rb,1,"=""299.9776""","=""0.0005""","=""299.9774""","=""""","=""5.7e+02""",D+,"=""0.000""","=""33326.13""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.20p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""300.3862""","=""0.0005""","=""300.3859""","=""""","=""2.05e+03""",B,"=""0.000""","=""33280.81""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.19p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""300.3923""","=""0.0005""","=""300.3920""","=""""","=""8.7e+02""",C+,"=""0.000""","=""33280.13""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.19p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""300.8847""","=""0.0005""","=""300.8844""","=""""","=""2.64e+03""",C+,"=""0.000""","=""33225.67""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.18p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""300.8923""","=""0.0005""","=""300.8920""","=""""","=""1.05e+03""",C+,"=""0.000""","=""33224.83""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.18p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""301.4938""","=""0.0005""","=""301.4936""","=""""","=""3.26e+03""",B,"=""0.000""","=""33158.54""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.17p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""301.5029""","=""0.0005""","=""301.5027""","=""""","=""1.39e+03""",C+,"=""0.000""","=""33157.54""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.17p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""302.2478""","=""0.0005""","=""302.2475""","=""""","=""4.12e+03""",B,"=""0.000""","=""33075.83""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.16p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""302.2591""","=""0.0005""","=""302.2589""","=""""","=""1.77e+03""",B,"=""0.000""","=""33074.59""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.16p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""303.1979""","=""0.0005""","=""303.1976""","=""""","=""4.93e+03""",B+,"=""0.000""","=""32972.19""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.15p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""303.2120""","=""0.0005""","=""303.2117""","=""""","=""2.49e+03""",B+,"=""0.000""","=""32970.66""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.15p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""304.4182""","=""0.0005""","=""304.4179""","=""""","=""8.20e+03""",B,"=""0.000""","=""32840.02""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.14p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""304.4368""","=""0.0005""","=""304.4365""","=""""","=""3.72e+03""",B+,"=""0.000""","=""32838.02""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.14p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,2,"=""305.1362""","=""0.0005""","=""305.13654""","=""1000""","=""3.0e+07""",,"=""134869.751""","=""167632.436""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""0""",3,1,,"=""T3743""","=""L2590""",
Rb,1,"=""306.0247""","=""0.0005""","=""306.0245""","=""""","=""1.05e+04""",B+,"=""0.000""","=""32667.63""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.13p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""306.0491""","=""0.0005""","=""306.0488""","=""""","=""4.51e+03""",B,"=""0.000""","=""32665.03""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.13p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""308.2003""","=""0.0005""","=""308.2000""","=""2""","=""1.49e+04""",B+,"=""0.000""","=""32437.04""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.12p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""308.2340""","=""0.0005""","=""308.2337""","=""""","=""6.98e+03""",B,"=""0.000""","=""32433.50""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.12p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
Rb,1,"=""311.2566""","=""0.0005""","=""311.25657""","=""10""","=""2.51e+04""",B,"=""0.000""","=""32118.52""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.11p""","=""2P*""","=""3/2""",2,4,,"=""T7227""","=""L3287""",
Rb,1,"=""311.3047""","=""0.0005""","=""311.30474""","=""3""","=""1.27e+04""",B,"=""0.000""","=""32113.55""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.11p""","=""2P*""","=""1/2""",2,2,,"=""T7227""","=""L3287""",
