element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Re,3,"=""180.10843""","=""0.0006""","=""180.1088""","=""0.0004""","=""440""","=""1.42e+08""",,"=""53402.71""","=""108924.72""","=""5d4.(3H).6s""","=""2H""","=""11/2""","=""5d4.6p""","=""108924*""","=""11/2""",12,12,,"=""T9867""","=""L20378""",
Re,3,"=""180.11100""","=""0.0006""","=""180.1103""","=""0.0003""","=""366""","=""1.50e+07""",,"=""36927.52""","=""92449.06""","=""5d5""","=""2H""","=""11/2""","=""5d4.6p""","=""92449*""","=""9/2""",12,10,,"=""T9867""","=""L20378""",
Re,3,"=""180.14042""","=""0.0006""","=""180.1408""","=""0.0004""","=""35""","=""3.75e+07""",,"=""39595.72""","=""95107.85""","=""5d4.(5D).6s""","=""4D""","=""5/2""","=""""","=""95107*""","=""3/2""",6,4,,"=""T9867""","=""L20378""",
Re,3,"=""180.21002""","=""0.0006""","=""180.2101""","=""0.0004""","=""36""","=""2.50e+07""",,"=""41210.25""","=""96701.04""","=""5d5""","=""2D2""","=""3/2""","=""5d4.6p""","=""96701*""","=""3/2""",4,4,,"=""T9867""","=""L20378""",
Re,3,"=""180.28501""","=""0.0006""","=""180.2847""","=""0.0003""","=""578""","=""1.00e+08""",,"=""45608.03""","=""101075.86""","=""""","=""45608""","=""7/2""","=""""","=""101075*""","=""7/2""",8,8,,"=""T9867""","=""L20378""",
Re,3,"=""180.31485""","=""0.0006""","=""180.3148""","=""0.0003""","=""308""","=""1.33e+07""",,"=""15771.98""","=""71230.53""","=""5d5""","=""15771""","=""3/2""","=""5d4.(5D).6p""","=""6F*""","=""5/2""",4,6,,"=""T9867""","=""L20378""",
Re,3,"=""180.42184""","=""0.0006""","=""180.4219""","=""0.0005""","=""183""","=""1.55e+08""",,"=""39790.02""","=""95215.65""","=""5d4.6s""","=""39790""","=""3/2""","=""""","=""95215*""","=""1/2""",4,2,,"=""T9867""","=""L20378""",
Re,3,"=""180.48996""","=""0.0006""","=""180.4904""","=""0.0004""","=""1131""","=""1.73e+08""",,"=""43191.67""","=""98596.29""","=""""","=""43191""","=""5/2""","=""5d4.6p""","=""98596*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""180.84870""","=""0.0006""","=""180.8492""","=""0.0003""","=""191""","=""2.63e+07""",,"=""18345.56""","=""73640.25""","=""5d5""","=""4G""","=""9/2""","=""5d4.(5D).6p""","=""6F*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""181.11068""","=""0.0006""","=""181.1109""","=""0.0003""","=""35""","=""3.63e+07""",,"=""42600.54""","=""97815.34""","=""""","=""42600""","=""5/2""","=""""","=""97815*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
