element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
S,1,"=""180.73108""","=""0.00008""","=""180.731248""","=""0.000009""","=""3700000g""","=""3.27e+08""",C+,"=""0.0000""","=""55330.775""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""",4,2,,"=""T8595,T6054""","=""L5666""",
S,1,"=""182.03426""","=""0.00008""","=""182.034245""","=""0.000010""","=""3500000g""","=""1.71e+08""",C+,"=""396.05648""","=""55330.775""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""",2,2,,"=""T8595,T6054""","=""L5666""",
S,1,"=""182.62451""","=""0.00008""","=""182.624455""","=""0.000010""","=""3000000g""","=""5.64e+07""",C,"=""573.59573""","=""55330.775""","=""3s2.3p4""","=""3P""","=""0""","=""3s2.3p3.(4S*).4s""","=""3S*""","=""1""",1,2,,"=""T8595,T7942c84""","=""L5666""",
S,1,"=""190.02863""","=""0.00008""","=""190.028790""","=""0.000016""","=""4900g""","=""7.09e+04""",D+,"=""0.0000""","=""52623.605""","=""3s2.3p4""","=""3P""","=""2""","=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""",4,4,,"=""T8595,T6607""","=""L5666""",
S,1,"=""191.46982""","=""0.00008""","=""191.469833""","=""0.000016""","=""3500g""","=""2.14e+04""",D,"=""396.05648""","=""52623.605""","=""3s2.3p4""","=""3P""","=""1""","=""3s2.3p3.(4S*).4s""","=""5S*""","=""2""",2,4,,"=""T8595,T6607""","=""L5666""",
S,2,"=""193.0819""","=""0.0015""","=""193.0813""","=""0.0004""","=""6300bl""","=""6.99e+05""",D,"=""79395.52""","=""131187.175""","=""3s.3p4""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",6,6,,"=""T3186c85""","=""L5883""",
S,2,"=""193.6731""","=""0.0005""","=""193.6734""","=""0.0004""","=""30000""","=""2.55e+07""",D+,"=""79395.52""","=""131028.847""","=""3s.3p4""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",6,4,,"=""T3186c85""","=""L5883""",
S,2,"=""194.4379""","=""0.0007""","=""194.4379""","=""0.0004""","=""390""","=""2.96e+05""",E,"=""79756.86""","=""131187.175""","=""3s.3p4""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""5/2""",4,6,,"=""T3186c85""","=""L5883""",
S,2,"=""195.0378""","=""0.0005""","=""195.0383""","=""0.0004""","=""28000""","=""2.55e+07""",D+,"=""79756.86""","=""131028.847""","=""3s.3p4""","=""4P""","=""3/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",4,4,,"=""T3186c85""","=""L5883""",
S,2,"=""195.1379""","=""0.0007""","=""195.1386""","=""0.0004""","=""370""","=""4.55e+05""",E,"=""79395.52""","=""130641.154""","=""3s.3p4""","=""4P""","=""5/2""","=""3s2.3p2.(3P).4p""","=""2D*""","=""3/2""",6,4,,"=""T3186c85""","=""L5883""",
S,2,"=""195.8239""","=""0.0005""","=""195.8242""","=""0.0004""","=""18000""","=""1.57e+07""",D+,"=""79962.63""","=""131028.847""","=""3s.3p4""","=""4P""","=""1/2""","=""3s2.3p2.(3P).4p""","=""4S*""","=""3/2""",2,4,,"=""T3186c85""","=""L5883""",
