element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Sb,1,"=""206.833""","=""206.83440""","=""0.00003""","=""1000r""","=""1.81e+08""",,"=""0.000""","=""48332.424""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""5/2""",4,6,,"=""T3880""","=""L7406""",
Sb,1,"=""213.969""","=""213.96981""","=""0.00003""","=""100r""","=""1.74e+08""",,"=""8512.125""","=""55232.963""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(1D).6s""","=""2D""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
Sb,1,"=""217.581""","=""217.58175""","=""0.00003""","=""1500r""","=""1.75e+08""",,"=""0.000""","=""45945.340""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
Sb,1,"=""217.919""","=""217.91898""","=""0.00003""","=""250r""","=""2.39e+08""",,"=""9854.018""","=""55728.264""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(1D).6s""","=""2D""","=""5/2""",6,6,,"=""T3880""","=""L7406""",
Sb,1,"=""231.147""","=""231.14633""","=""0.00004""","=""2500r""","=""1.69e+08""",,"=""0.000""","=""43249.337""","=""5p3""","=""4S*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
Sb,1,"=""252.852""","=""252.85088""","=""0.00005""","=""2000r""","=""1.77e+08""",,"=""9854.018""","=""49391.133""","=""5p3""","=""2D*""","=""5/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",6,4,,"=""T3880""","=""L7406""",
Sb,1,"=""259.805""","=""259.80480""","=""0.00005""","=""1500r""","=""2.10e+07""",,"=""8512.125""","=""46991.058""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
Sb,1,"=""287.792""","=""287.79128""","=""0.00006""","=""1000r""","=""4.24e+07""",,"=""8512.125""","=""43249.337""","=""5p3""","=""2D*""","=""3/2""","=""5p2.(3P).6s""","=""4P""","=""1/2""",4,2,,"=""T3880""","=""L7406""",
Sb,1,"=""323.252""","=""323.24948""","=""0.00007""","=""600r""","=""3.07e+07""",,"=""18464.202""","=""49391.133""","=""5p3""","=""2P*""","=""3/2""","=""5p2.(3P).6s""","=""2P""","=""3/2""",4,4,,"=""T3880""","=""L7406""",
Sb,1,"=""326.751""","=""326.74913""","=""0.00008""","=""700r""","=""4.95e+07""",,"=""16395.359""","=""46991.058""","=""5p3""","=""2P*""","=""1/2""","=""5p2.(3P).6s""","=""2P""","=""1/2""",2,2,,"=""T3880""","=""L7406""",
