element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Si,3,"=""""","=""180.3018""","=""""","=""1.27e+08""",C,"=""159069.61""","=""214532.17""","=""3s.4s""","=""1S""","=""0""","=""3s.5p""","=""1P*""","=""1""",1,3,,"=""T6298c4""","=""""",
Si,3,"=""""","=""180.4349""","=""""","=""3.25e+07""",D+,"=""199164.10""","=""254585.75""","=""3p.3d""","=""3F*""","=""4""","=""3s.8g""","=""3G""","=""5""",9,11,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""180.438""","=""""","=""3.98e+04""",E,"=""199164.10""","=""254584.8""","=""3p.3d""","=""3F*""","=""4""","=""3s.8g""","=""3G""","=""3""",9,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""180.438""","=""""","=""2.04e+06""",E,"=""199164.10""","=""254584.8""","=""3p.3d""","=""3F*""","=""4""","=""3s.8g""","=""3G""","=""4""",9,9,,"=""T6298c4,LS""","=""""",
Si,2,"=""180.800""","=""180.8013""","=""150""","=""2.54e+06""",C,"=""0.00""","=""55309.35""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s.3p2""","=""2D""","=""3/2""",2,4,,"=""c22,T6106""","=""L3541""",
Si,1,"=""180.909""","=""180.91046""","=""50w""","=""6.83e+07""",C,"=""6298.850""","=""61574.814""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""3""",5,7,,"=""T5071""","=""L3521""",
Si,1,"=""""","=""181.3269""","=""""","=""1.04e+06""",E,"=""6298.850""","=""61447.86""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""3D*""","=""2""",5,5,,"=""T5071""","=""""",
Si,1,"=""181.407""","=""181.4079""","=""500w""","=""1.15e+08""",C,"=""6298.850""","=""61423.23""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.5d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""L3521""",
Si,2,"=""181.692""","=""181.6928""","=""200""","=""2.65e+06""",C,"=""287.24""","=""55325.18""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2D""","=""5/2""",4,6,,"=""c22,T6106""","=""L3541""",
Si,2,"=""181.745""","=""181.7451""","=""10""","=""3.23e+05""",C,"=""287.24""","=""55309.35""","=""3s2.3p""","=""2P*""","=""3/2""","=""3s.3p2""","=""2D""","=""3/2""",4,4,,"=""c22,T6106""","=""L3541""",
Si,1,"=""183.651""","=""183.65100""","=""200""","=""1.31e+07""",D+,"=""77.115""","=""54528.220""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""2""",3,5,,"=""T5071""","=""L3521""",
Si,3,"=""""","=""183.8466""","=""""","=""2.28e+07""",D+,"=""175230.01""","=""229623.19""","=""3s.4p""","=""3P*""","=""0""","=""3s.6s""","=""3S""","=""1""",1,3,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""183.9585""","=""""","=""6.84e+07""",C,"=""175263.10""","=""229623.19""","=""3s.4p""","=""3P*""","=""1""","=""3s.6s""","=""3S""","=""1""",3,3,,"=""T6298c4,LS""","=""""",
Si,1,"=""184.115""","=""184.11521""","=""100w""","=""1.50e+07""",D,"=""0.000""","=""54313.818""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.5s""","=""3P*""","=""1""",1,3,,"=""T5071""","=""L3521""",
Si,1,"=""184.144""","=""184.14489""","=""200""","=""3.67e+07""",D+,"=""223.157""","=""54528.220""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""2""",5,5,,"=""T5071""","=""L3521""",
Si,3,"=""""","=""184.2064""","=""""","=""1.13e+08""",C,"=""175336.26""","=""229623.19""","=""3s.4p""","=""3P*""","=""2""","=""3s.6s""","=""3S""","=""1""",5,3,,"=""T6298c4,LS""","=""""",
Si,3,"=""184.255""","=""184.2548""","=""9""","=""2.99e+08""",B,"=""122214.52""","=""176487.19""","=""3p2""","=""1D""","=""2""","=""3s.4p""","=""1P*""","=""1""",5,3,,"=""c44,T5038""","=""L4833""",
Si,1,"=""184.377""","=""184.37699""","=""200""","=""3.35e+07""",D+,"=""77.115""","=""54313.818""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""1""",3,3,,"=""T5071""","=""L3521""",
Si,1,"=""184.551""","=""184.55202""","=""300""","=""1.68e+08""",C+,"=""0.000""","=""54185.264""","=""3s2.3p2""","=""3P""","=""0""","=""3s2.3p.3d""","=""3D*""","=""1""",1,3,,"=""T8363c22""","=""L3521""",
Si,1,"=""184.610""","=""184.61116""","=""100""","=""5.68e+07""",E,"=""77.115""","=""54245.020""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.5s""","=""3P*""","=""0""",3,1,,"=""T8363""","=""L3521""",
Si,1,"=""184.747""","=""184.74735""","=""400""","=""2.33e+08""",C+,"=""77.115""","=""54205.090""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""2""",3,5,,"=""T8363c22""","=""L3521""",
Si,1,"=""184.814""","=""184.81505""","=""200""","=""1.23e+08""",C+,"=""77.115""","=""54185.264""","=""3s2.3p2""","=""3P""","=""1""","=""3s2.3p.3d""","=""3D*""","=""1""",3,3,,"=""T8363c22""","=""L3521""",
Si,1,"=""184.874""","=""184.87480""","=""100""","=""3.92e+07""",D+,"=""223.157""","=""54313.818""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T5071""","=""L3521""",
Si,1,"=""185.067""","=""185.06720""","=""500""","=""3.05e+08""",C+,"=""223.157""","=""54257.582""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",5,7,,"=""T8363c22""","=""L3521""",
Si,1,"=""185.246""","=""185.24716""","=""200""","=""7.40e+07""",C+,"=""223.157""","=""54205.090""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",5,5,,"=""T8363c22""","=""L3521""",
Si,1,"=""185.315""","=""185.31522""","=""50""","=""7.92e+06""",C,"=""223.157""","=""54185.264""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",5,3,,"=""T8363c22""","=""L3521""",
Si,3,"=""""","=""185.6070""","=""""","=""2.06e+08""",C,"=""176487.19""","=""230364.46""","=""3s.4p""","=""1P*""","=""1""","=""3s.6s""","=""1S""","=""0""",3,1,,"=""T6298c4""","=""""",
Si,1,"=""187.484""","=""187.48424""","=""500w""","=""1.07e+08""",D,"=""6298.850""","=""59636.667""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",5,3,,"=""T5071""","=""L3521""",
Si,1,"=""188.185""","=""188.1854""","=""200""","=""5.00e+06""",D+,"=""223.157""","=""53362.24""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T5814""","=""L3521""",
Si,3,"=""""","=""188.8242""","=""""","=""3.77e+07""",D,"=""201597.73""","=""254557.03""","=""3s.4d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",3,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8254""","=""""","=""4.00e+07""",D+,"=""201598.28""","=""254557.26""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",5,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8262""","=""""","=""7.00e+06""",E,"=""201598.28""","=""254557.03""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",5,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8283""","=""""","=""4.50e+07""",D+,"=""201599.48""","=""254557.64""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",7,9,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8297""","=""""","=""4.99e+06""",E,"=""201599.48""","=""254557.26""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""3""",7,7,,"=""T6298c4,LS""","=""""",
