element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
V,2,"=""180.5605""","=""0.0016""","=""180.56065""","=""0.00006""","=""1200hD""","=""1.3e+08""",D+,"=""30673.089""","=""86056.143""","=""3d4""","=""d 3F1""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""q 3D*""","=""1""",5,3,,"=""T9770""","=""L10089c179""",
V,2,"=""180.59217""","=""0.00008""","=""180.59217""","=""0.00003""","=""8300""","=""1.2e+08""",D+,"=""30318.5317""","=""85691.918""","=""3d3.(2F).4s""","=""c 3F""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""s 3F*""","=""4""",9,9,,"=""T9770""","=""L18516""",
V,2,"=""180.64902""","=""0.00004""","=""180.649034""","=""0.000010""","=""21000""","=""2.3e+07""",D+,"=""14556.0689""","=""69912.025""","=""3d4""","=""a 3G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""4""",9,9,,"=""T9770""","=""L18516""",
V,2,"=""180.7145""","=""0.0006""","=""180.713831""","=""0.000013""","=""2300""","=""5.0e+06""",D+,"=""13608.9393""","=""68945.047""","=""3d4""","=""b 3F2""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""u 3D*""","=""3""",9,7,,"=""T9770""","=""L10089c179""",
V,2,"=""180.8349""","=""0.0008""","=""180.8349""","=""0.0004""","=""820""","=""5.0e+07""",D+,"=""20522.148""","=""75821.22""","=""3d3.(2D2).4s""","=""b 3D""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""y 1S*""","=""0""",3,1,,"=""T9770""","=""L10089c179""",
V,2,"=""180.97434""","=""0.00015""","=""180.974457""","=""0.000010""","=""9000""","=""4.1e+06""",D+,"=""14655.6082""","=""69912.025""","=""3d4""","=""a 3G""","=""5""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""4""",11,9,,"=""T9770""","=""L18516""",
V,2,"=""180.9795""","=""0.0016""","=""180.979258""","=""0.000016""","=""2900D""","=""4.5e+06""",D+,"=""13542.6461""","=""68797.597""","=""3d4""","=""b 3F2""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""u 3D*""","=""2""",7,5,,"=""T9770""","=""L10089c179""",
V,2,"=""181.21711""","=""0.00005""","=""181.217050""","=""0.000013""","=""17000""","=""2.3e+07""",D+,"=""14461.7495""","=""69644.195""","=""3d4""","=""a 3G""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""3""",7,7,,"=""T9770""","=""L18516""",
V,2,"=""181.4664""","=""0.0008""","=""181.46507""","=""0.00004""","=""1200""","=""9.e+06""",D+,"=""30267.511""","=""85374.535""","=""3d3.(2F).4s""","=""c 3F""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""s 3F*""","=""3""",5,7,,"=""T9770""","=""L10089c179""",
V,2,"=""181.52726""","=""0.00010""","=""181.527322""","=""0.000013""","=""5300""","=""4.3e+06""",D+,"=""14556.0689""","=""69644.195""","=""3d4""","=""a 3G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""3""",9,7,,"=""T9770""","=""L18516""",
V,2,"=""181.59316""","=""0.00005""","=""181.59318""","=""0.00003""","=""6800""","=""1.1e+08""",D+,"=""30306.389""","=""85374.535""","=""3d3.(2F).4s""","=""c 3F""","=""3""","=""3d2.(3F).4s.4p.(1P*)""","=""s 3F*""","=""3""",7,7,,"=""T9770""","=""L18516""",
V,2,"=""181.6311""","=""0.0023""","=""181.63324""","=""0.00003""","=""28000h*""","=""7.0e+06""",D+,"=""30318.5317""","=""85374.535""","=""3d3.(2F).4s""","=""c 3F""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""s 3F*""","=""3""",9,7,,"=""T9770""","=""L8201c179""",
V,2,"=""182.28112""","=""0.00009""","=""182.28112""","=""0.00005""","=""3600""","=""1.2e+08""",D+,"=""30267.511""","=""85127.827""","=""3d3.(2F).4s""","=""c 3F""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""s 3F*""","=""2""",5,5,,"=""T9770""","=""L18516""",
V,2,"=""182.3642""","=""0.0006""","=""182.36468""","=""0.00020""","=""3800""","=""1.0e+07""",D+,"=""30267.511""","=""85102.69""","=""3d3.(2F).4s""","=""c 3F""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""u 3P*""","=""2""",5,5,,"=""T9770""","=""L10089c179""",
V,2,"=""183.03789""","=""0.00018""","=""183.03783""","=""0.00005""","=""31000""","=""4.6e+07""",D+,"=""20089.6495""","=""74723.163""","=""3d3.(4P).4s""","=""c 3P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""x 3S*""","=""1""",3,3,,"=""T9770""","=""L18516""",
V,2,"=""183.35762""","=""0.00021""","=""183.357586""","=""0.000013""","=""14000""","=""1.1e+07""",D+,"=""13608.9393""","=""68147.179""","=""3d4""","=""b 3F2""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3F*""","=""4""",9,9,,"=""T9770""","=""L18516""",
V,2,"=""183.88297""","=""0.00009""","=""183.88287""","=""0.00003""","=""2300""","=""1.2e+08""",D+,"=""30613.910""","=""84996.354""","=""3d4""","=""d 3F1""","=""4""","=""3d2.(3F).4s.4p.(1P*)""","=""t 3G*""","=""5""",9,11,,"=""T9770""","=""L18516""",
V,2,"=""183.89080""","=""0.00013""","=""183.89075""","=""0.00005""","=""38000""","=""8.e+07""",D+,"=""20343.0477""","=""74723.163""","=""3d3.(4P).4s""","=""c 3P""","=""2""","=""3d2.(3P).4s.4p.(3P*)""","=""x 3S*""","=""1""",5,3,,"=""T9770""","=""L18516""",
V,2,"=""183.95084""","=""0.00019""","=""183.950845""","=""0.000014""","=""17000""","=""9.e+06""",D+,"=""13542.6461""","=""67904.995""","=""3d4""","=""b 3F2""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3F*""","=""3""",7,7,,"=""T9770""","=""L18516""",
V,2,"=""184.3422""","=""0.0006""","=""184.342417""","=""0.000014""","=""2800""","=""1.0e+07""",D+,"=""13490.8843""","=""67737.759""","=""3d4""","=""b 3F2""","=""2""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3F*""","=""2""",5,5,,"=""T9770""","=""L10089c179""",
V,2,"=""185.09502""","=""0.00018""","=""185.09499""","=""0.00003""","=""2200""","=""1.2e+08""",D+,"=""30641.7674""","=""84668.080""","=""3d4""","=""d 3F1""","=""3""","=""3d2.(3F).4s.4p.(1P*)""","=""t 3G*""","=""4""",7,9,,"=""T9770""","=""L18516""",
V,2,"=""185.85199""","=""0.00018""","=""185.851947""","=""0.000010""","=""7900""","=""3.2e+06""",D+,"=""16421.5292""","=""70227.799""","=""3d3.(2G).4s""","=""b 3G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""5""",9,11,,"=""T9770""","=""L18516""",
V,2,"=""186.1405""","=""0.0006""","=""186.14063""","=""0.00007""","=""1800""","=""1.2e+08""",D+,"=""30673.089""","=""84395.911""","=""3d4""","=""d 3F1""","=""2""","=""3d2.(3F).4s.4p.(1P*)""","=""t 3G*""","=""3""",5,7,,"=""T9770""","=""L10089c179""",
V,2,"=""186.237718""","=""0.000015""","=""186.237722""","=""0.000010""","=""71000""","=""8.e+07""",D+,"=""16532.9841""","=""70227.799""","=""3d3.(2G).4s""","=""b 3G""","=""5""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""5""",11,11,,"=""T9770""","=""L18516""",
V,2,"=""186.5982""","=""0.0008""","=""186.598113""","=""0.000010""","=""840""","=""2.6e+06""",D+,"=""14556.0689""","=""68147.179""","=""3d4""","=""a 3G""","=""4""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3F*""","=""4""",9,9,,"=""T9770""","=""L10089c179""",
V,2,"=""186.66802""","=""0.00014""","=""186.668016""","=""0.000010""","=""8700""","=""3.7e+06""",D+,"=""16340.9837""","=""69912.025""","=""3d3.(2G).4s""","=""b 3G""","=""3""","=""3d2.(3F).4s.4p.(3P*)""","=""v 3G*""","=""4""",7,9,,"=""T9770""","=""L18516""",
V,2,"=""186.7494""","=""0.0006""","=""186.7498""","=""0.0004""","=""9600""","=""1.8e+08""",D+,"=""22273.6366""","=""75821.22""","=""3d3.(2P).4s""","=""a 1P""","=""1""","=""3d2.(3P).4s.4p.(3P*)""","=""y 1S*""","=""0""",3,1,,"=""T9770""","=""L10089c179""",
