element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Xe,1,"=""368.590""","=""0.001""","=""368.5900+""","=""40""","=""4.5e+05""",D,"=""67067.547""","=""94190.24""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""2""",5,5,,"=""T3269""","=""L4739""",
Xe,1,"=""369.349""","=""0.001""","=""369.3487+""","=""40""","=""3.1e+05""",D+,"=""67067.547""","=""94134.53""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""",5,7,,"=""T3269""","=""L4739""",
Xe,1,"=""379.630""","=""0.001""","=""379.63060+""","=""40""","=""1.6e+05""",C,"=""67067.547""","=""93401.466""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",5,7,,"=""T3269""","=""L4739""",
Xe,1,"=""395.0924""","=""0.0002""","=""395.09237+""","=""120""","=""5.6e+05""",C+,"=""67067.547""","=""92370.923""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[3/2]""","=""2""",5,5,,"=""T3269""","=""L7292""",
Xe,1,"=""396.75411""","=""0.00005""","=""396.75405+""","=""200""","=""5.3e+05""",C+,"=""67067.547""","=""92264.950""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""3""",5,7,,"=""T3269""","=""L7292""",
Xe,1,"=""397.4417""","=""0.0002""","=""397.44158+""","=""40""","=""1.4e+05""",D+,"=""67067.547""","=""92221.362""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).8p""","=""2[5/2]""","=""2""",5,5,,"=""T3269""","=""L7292""",
Xe,1,"=""419.3528""","=""0.0002""","=""419.35296+""","=""150""","=""2.20e+05""",B,"=""67067.547""","=""90907.090""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",5,7,,"=""T3269""","=""L7292""",
Xe,1,"=""420.3695""","=""0.0002""","=""420.3695+""","=""""","=""1.1e+05""",D+,"=""67067.547""","=""90849.440""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",5,5,,"=""T3269""","=""L7292""",
Xe,2,"=""433.052""","=""""","=""433.052+""","=""1000""","=""1.4e+08""",,"=""113512.36""","=""136597.81""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""5/2""","=""5s2.5p4.(3P<2>).6d""","=""2[4]""","=""7/2""",6,8,,"=""T8043""","=""L6925""",
Xe,2,"=""441.484""","=""""","=""441.482+""","=""300*""","=""1.0e+08""",,"=""109563.14""","=""132207.76""","=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).6p""","=""2[2]*""","=""5/2""",6,6,,"=""T8043""","=""L6925""",
Xe,1,"=""450.0978""","=""0.0002""","=""450.0979+""","=""""","=""1.46e+06""",C+,"=""67067.547""","=""89278.706""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",5,3,,"=""T3269""","=""L7292""",
Xe,1,"=""452.46805""","=""0.00005""","=""452.4681+""","=""""","=""4.6e+05""",C+,"=""67067.547""","=""89162.356""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",5,5,,"=""T3269""","=""L7292""",
Xe,1,"=""458.27472""","=""0.00005""","=""458.2747+""","=""""","=""1.3e+06""",C,"=""68045.156""","=""89860.015""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""",3,1,,"=""T5100n,T4106n""","=""L7292""",
Xe,2,"=""460.303""","=""""","=""460.304+""","=""600h""","=""8.2e+07""",,"=""95064.38""","=""116783.09""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""3/2""","=""5s2.5p4.(3P<2>).6p""","=""2[1]*""","=""3/2""",4,4,,"=""T8043""","=""L6925""",
Xe,1,"=""461.18882""","=""0.00005""","=""461.1890+""","=""100""","=""3.0e+04""",D,"=""67067.547""","=""88744.559""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",5,3,,"=""T8608""","=""L7292""",
Xe,1,"=""462.42756""","=""0.00005""","=""462.4276+""","=""""","=""2.42e+06""",B,"=""67067.547""","=""88686.500""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",5,5,,"=""T8608n,T6672""","=""L7292""",
Xe,1,"=""467.12258""","=""0.00005""","=""467.1226+""","=""""","=""2.49e+06""",B,"=""67067.547""","=""88469.213""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""3""",5,7,,"=""T8608""","=""L7292""",
Xe,1,"=""469.0970""","=""0.0002""","=""469.0972+""","=""100""","=""2.8e+05""",C+,"=""67067.547""","=""88379.126""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",5,3,,"=""T3269""","=""L7292""",
Xe,1,"=""469.70208""","=""0.00005""","=""469.7021+""","=""""","=""7.36e+05""",B,"=""67067.547""","=""88351.681""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",5,5,,"=""T8608n,T6672""","=""L7292""",
Xe,1,"=""473.41518""","=""0.00005""","=""473.4152+""","=""600""","=""1.38e+06""",C+,"=""68045.156""","=""89162.356""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",3,5,,"=""T5100n,T3269""","=""L7292c110""",
Xe,1,"=""479.2619""","=""0.0002""","=""479.2620+""","=""150""","=""1.2e+05""",D+,"=""67067.547""","=""87927.131""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",5,3,,"=""T8608""","=""L7292c110""",
Xe,1,"=""480.70190""","=""0.00005""","=""480.7019+""","=""500""","=""4.29e+06""",B,"=""68045.156""","=""88842.256""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",3,1,,"=""T8608n,T6672""","=""L7292c110""",
Xe,1,"=""482.9708""","=""0.0002""","=""482.9708+""","=""400""","=""6.e+05""",D+,"=""68045.156""","=""88744.559""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",3,3,,"=""T8608""","=""L7292""",
Xe,1,"=""484.32934""","=""0.00005""","=""484.3293+""","=""300""","=""7.02e+05""",B,"=""68045.156""","=""88686.500""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",3,5,,"=""T8608n,T6672""","=""L7292""",
Xe,2,"=""484.433""","=""""","=""484.432+""","=""2000""","=""1.1e+08""",,"=""93068.44""","=""113705.40""","=""5s2.5p4.(3P<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(3P<2>).6p""","=""2[3]*""","=""7/2""",6,8,,"=""T8043""","=""L6925""",
Xe,2,"=""487.650""","=""""","=""487.649+""","=""500h""","=""6.3e+07""",,"=""109563.14""","=""130063.96""","=""5s2.5p4.(1D<2>).6s""","=""2[2]""","=""5/2""","=""5s2.5p4.(1D<2>).6p""","=""2[3]*""","=""7/2""",6,8,,"=""T8043""","=""L6925""",
Xe,1,"=""491.6507""","=""0.0002""","=""491.6506+""","=""500""","=""1.6e+06""",C+,"=""68045.156""","=""88379.126""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",3,3,,"=""T5100n,T3269""","=""L7292c110""",
Xe,1,"=""492.3152""","=""0.0002""","=""492.3151+""","=""500""","=""9.74e+05""",B,"=""68045.156""","=""88351.681""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",3,5,,"=""T8608n,T6672""","=""L7292""",
Xe,1,"=""502.82794""","=""0.00005""","=""502.8279+""","=""200""","=""1.6e+05""",D+,"=""68045.156""","=""87927.131""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",3,3,,"=""T8608""","=""L7292""",
Xe,1,"=""520.607""","=""0.001""","=""520.607+""","=""1""","=""1.10e+05""",C,"=""77269.145""","=""96472.13""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",3,5,,"=""T5818""","=""L4739""",
