element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,1,"=""274.25018""","=""274.250022""","=""0.000015""","=""70""","=""6.6e+05""",B,"=""0.000""","=""36452.295""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""288.64547""","=""288.64547""","=""0.00003""","=""95""","=""1.72e+06""",C+,"=""11359.757""","=""45994.176""","=""5s2.5p""","=""z 2P*""","=""3/2""","=""5p2.(3P).4d?""","=""f 2P""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""294.8406""","=""294.840250""","=""0.000009""","=""390""","=""3.56e+07""",B+,"=""0.000""","=""33906.761""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",4,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""297.4588""","=""297.458610""","=""0.000009""","=""480""","=""3.52e+07""",B+,"=""0.000""","=""33608.312""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",4,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""298.4254""","=""298.425284""","=""0.000020""","=""750""","=""4.78e+07""",B+,"=""530.351""","=""34029.802""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""7/2""",6,8,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""299.52574""","=""299.525466""","=""0.000013""","=""70""","=""5.1e+06""",B+,"=""530.351""","=""33906.761""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2D*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""299.6939""","=""299.694300""","=""0.000009""","=""140""","=""8.4e+06""",B+,"=""0.000""","=""33357.608""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",4,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""300.52618""","=""300.525976""","=""0.000009""","=""70""","=""4.7e+06""",B+,"=""0.000""","=""33265.298""","=""4d.5s2""","=""a 2D""","=""3/2""","=""4d2.(3F).5p""","=""y 4D*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""302.22814""","=""302.228076""","=""0.000013""","=""90""","=""6.6e+06""",B+,"=""530.351""","=""33608.312""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""x 2F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""303.8467""","=""303.846861""","=""0.000013""","=""12""","=""5.2e+05""",B+,"=""530.351""","=""33432.092""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""z 2G*""","=""7/2""",6,8,,"=""T9421""","=""L7610""",
Y,1,"=""304.53628""","=""304.536308""","=""0.000013""","=""190""","=""1.07e+07""",B+,"=""530.351""","=""33357.608""","=""4d.5s2""","=""a 2D""","=""5/2""","=""4d2.(3F).5p""","=""y 4D*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
