element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""180.5193""","=""180.51933""","=""8000000""","=""2.38e+08""",,"=""681.59""","=""56077.32""","=""4d2""","=""3F""","=""3""","=""4d.5p""","=""3F*""","=""3""",7,7,,"=""T6869""","=""L9267""",
Zr,3,"=""182.2295""","=""182.22899""","=""40""","=""6.67e+05""",,"=""681.59""","=""55557.60""","=""4d2""","=""3F""","=""3""","=""4d.5p""","=""3F*""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""183.1814""","=""183.1808""","=""150000""","=""5.29e+06""",,"=""1486.45""","=""56077.32""","=""4d2""","=""3F""","=""4""","=""4d.5p""","=""3F*""","=""3""",9,7,,"=""T6869""","=""L9267""",
Zr,3,"=""183.2131""","=""183.21280""","=""200""","=""2.87e+07""",,"=""55557.60""","=""110138.94""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""3P""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""183.3054""","=""183.3053""","=""70""","=""2.63e+07""",,"=""56077.32""","=""110631.13""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""1G""","=""4""",7,9,,"=""T6869""","=""L9267""",
Zr,3,"=""185.2306""","=""185.23060""","=""2""","=""1.04e+07""",,"=""55615.87""","=""109602.63""","=""4d.5p""","=""3D*""","=""1""","=""4d.5d""","=""3P""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""185.3357""","=""185.33593""","=""150000""","=""4.40e+07""",,"=""5743.39""","=""59699.47""","=""4d2""","=""1D""","=""2""","=""4d.5p""","=""3P*""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""185.6967""","=""185.6967""","=""6""","=""1.42e+07""",,"=""59699.47""","=""113550.71""","=""4d.5p""","=""3P*""","=""1""","=""4d.5d""","=""1S""","=""0""",3,1,,"=""T6869""","=""L9267""",
Zr,3,"=""185.9071""","=""185.90716""","=""10000""","=""1.35e+07""",,"=""8327.12""","=""62117.41""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""1P*""","=""1""",3,3,,"=""T6869""","=""L9267""",
Zr,3,"=""186.1671""","=""186.16739""","=""10000""","=""1.99e+08""",,"=""55557.60""","=""109272.70""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""1D""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""186.3972""","=""186.39718""","=""700000""","=""1.21e+08""",,"=""0.00""","=""53648.88""","=""4d2""","=""3F""","=""2""","=""4d.5p""","=""1D*""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""186.5379""","=""186.5382""","=""9000""","=""1.92e+08""",,"=""53648.88""","=""107257.20""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""3F""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""186.5813""","=""186.5817""","=""200""","=""7.60e+07""",,"=""55615.87""","=""109211.69""","=""4d.5p""","=""3D*""","=""1""","=""4d.5d""","=""3P""","=""0""",3,1,,"=""T6869""","=""L9267""",
Zr,3,"=""187.6963""","=""187.69671""","=""150000""","=""4.71e+07""",,"=""8839.97""","=""62117.41""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""1P*""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""187.9856""","=""187.98625""","=""80""","=""2.30e+07""",,"=""56077.32""","=""109272.70""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""1D""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""188.0935""","=""188.09417""","=""1000""","=""9.70e+07""",,"=""56437.77""","=""109602.63""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3P""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""189.1937""","=""189.19478""","=""125000""","=""2.79e+08""",,"=""53648.88""","=""106504.46""","=""4d.5p""","=""1D*""","=""2""","=""4d.(2D<5/2>).6s""","=""2[5/2]""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""189.4289""","=""189.42953""","=""800""","=""5.34e+07""",,"=""57348.86""","=""110138.94""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""3P""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""191.3273""","=""191.32751""","=""60""","=""1.21e+07""",,"=""55557.60""","=""107824.00""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""3F""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""191.4167""","=""191.4170""","=""800""","=""4.92e+07""",,"=""56077.32""","=""108319.29""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""3F""","=""4""",7,9,,"=""T6869""","=""L9267""",
Zr,3,"=""192.1920""","=""192.19208""","=""180000""","=""8.64e+07""",,"=""8327.12""","=""60358.40""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3P*""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""192.5896""","=""192.58976""","=""100""","=""2.64e+07""",,"=""57348.86""","=""109272.70""","=""4d.5p""","=""3D*""","=""3""","=""4d.5d""","=""1D""","=""2""",7,5,,"=""T6869""","=""L9267""",
Zr,3,"=""192.6566""","=""192.65677""","=""75""","=""1.70e+07""",,"=""53648.88""","=""105554.66""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""1P""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""193.2492""","=""193.24911""","=""150000""","=""4.87e+08""",,"=""56077.32""","=""107824.00""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""3F""","=""3""",7,7,,"=""T6869""","=""L9267""",
